,HG02309,HG01883,HG03103,NA19114,HG02703,NA19238,NA18913,NA19403,HG03307,HG02111,HG02143,NA20348,NA20346,HG03521,HG03476,HG02971,HG03048,NA20127,HG02580,NA20314,HG02307,NA19835,HG02332,HG02595,HG02478,HG01880,NA20357,HG02585,HG02561,NA18520,HG03132,HG02938,HG02634,HG02611,HG02679,HG01915,HG03301,HG01985,HG01879,HG01890,HG03485,HG03171,HG03539,HG03108,HG02010,HG02445,HG03212,HG03393,NA19024,HG02284,HG02266,HG00637,HG01054,HG01259,HG01121,HG00736,HG01453,NA19675,HG01047,HG01992,HG02277,HG01464,HG01412,HG02292,HG01133,HG02274,HG00551,NA19747,HG01465,HG01275,HG01148,HG01577,HG01362,HG01168,HG00739,HG01286,HG01392,HG01967,HG01396,HG01918,HG01108,HG01187,NA19740,HG01571,HG01982,NA19723,HG01119,HG02006,HG02003,HG01311,HG01356,HG01366,NA19735,HG01134,HG01455,HG01048,HG01055,HG01107,HG01344,HG01073,HG00983,HG02081,HG02060,HG01794,NA18944,NA18642,HG00442,NA18989,HG02020,NA18968,HG02180,HG01597,NA18960,NA18555,HG02152,HG02189,HG00404,NA18537,NA18632,HG02182,HG02138,HG00607,NA18553,NA18971,HG02521,HG00565,NA18612,HG01863,HG01815,HG00632,HG02382,HG00759,HG00479,HG00650,NA18980,HG02384,HG02064,HG00702,HG00418,NA18546,HG02087,NA18988,HG00844,HG00530,HG02137,HG00446,NA18566,HG02364,NA18941,HG00657,HG00342,HG02239,HG00255,HG00368,HG00111,HG00274,HG00146,NA12802,HG00365,HG00381,HG00367,HG00120,HG00268,HG01504,HG00173,HG01700,NA20525,HG01512,HG00325,NA20805,HG00338,NA20762,HG00357,HG00141,HG01518,HG00137,HG00125,NA20503,HG01779,HG01680,HG00243,HG00130,HG00252,HG00242,HG00139,HG00254,NA20801,NA10843,HG00361,HG00133,HG01776,NA12890,NA20753,HG00158,HG00278,HG01766,HG02224,NA12891,HG02223,HG00261,HG03816,HG03009,NA21101,HG03856,HG03729,HG03821,HG03784,HG02657,NA21099,HG03753,HG04140,HG03687,HG03709,HG03794,HG02781,HG02684,HG04062,HG03931,NA21102,HG01589,HG02793,HG03812,HG03016,HG03640,HG03645,HG04200,HG03019,HG02688,HG04149,NA20866,HG02490,HG03686,HG03929,HG03746,HG03604,NA21103,HG04039,HG04017,HG03837,HG04020,HG03595,HG02724,HG03976,HG04131,NA20899,HG03882,HG03973,NA20861,HG03854,HG03972
HG02309,0.0,8368.0,9149.5,7107.5,15813.0,5862.5,8415.0,5954.5,10790.0,10256.0,6059.5,6254.5,2909.5,8804.0,8378.5,4845.0,7217.0,10315.5,13127.0,6424.0,5523.5,7085.0,7104.5,7319.5,7561.5,5513.0,6653.0,10539.5,13728.0,5124.0,7194.0,3924.5,7814.5,9020.5,11101.5,10428.5,15220.5,5241.0,10778.5,4506.0,7425.0,7766.0,6253.5,6765.5,12759.0,5162.5,8464.5,9612.5,3967.0,8249.0,4274.5,9197.5,7772.0,9267.0,5079.5,1445.0,7721.0,7194.5,8342.0,7318.5,7046.5,5651.5,4219.0,1665.5,4932.5,7175.0,3639.5,4474.5,13194.0,4390.5,12502.5,14290.0,13496.5,8385.5,16937.5,7837.0,5438.5,12813.0,6942.0,6537.0,4300.5,13389.0,12216.0,14874.5,6742.0,4431.0,4936.5,15227.5,12792.5,6826.5,7685.0,4463.0,8232.5,5379.5,7437.0,2417.0,3864.0,3547.5,5076.5,8248.5,8131.5,5165.0,5355.5,9610.5,8181.5,5752.5,7455.0,10417.0,4806.5,9937.5,8759.5,4488.5,7386.5,10633.5,10105.5,16044.5,5734.5,11872.5,7163.0,7545.5,2786.5,7174.5,11070.5,7028.0,9967.5,3254.0,6221.5,3584.0,4983.0,19372.0,10208.5,14813.5,6692.0,9440.5,5545.5,4415.0,5524.5,5761.0,7397.5,7506.0,7008.5,8457.5,5013.0,6855.0,6894.5,10928.0,4827.5,4793.0,3618.5,14945.5,4298.0,3966.0,3856.0,7697.5,3814.0,3440.0,7128.0,7115.5,10907.5,10384.5,7467.0,3638.0,6531.5,7934.0,3466.5,7577.5,3322.5,15080.0,3561.0,7608.5,7294.0,7142.0,7192.5,5044.0,3873.0,1028.0,11421.0,6957.0,3466.5,7974.5,4887.0,3732.5,7242.0,7345.0,7199.5,5860.0,7770.5,5124.0,6560.0,6786.5,8422.5,7357.0,5316.0,7963.5,7215.5,6053.0,7692.0,8230.0,7744.0,2801.0,5921.0,12982.5,5490.0,12373.5,5203.0,8049.0,8529.5,7171.5,7207.0,7738.5,5973.0,7137.0,8665.0,4841.0,11647.0,7873.5,6624.0,6214.5,3590.5,6414.0,5196.5,5240.0,8539.0,3710.5,5500.0,12441.0,13192.5,5720.0,7468.0,7202.0,11452.5,9512.5,6203.0,8006.0,10521.5,8346.5,9982.0,8163.0,4799.5,7522.0,5126.5,13112.0,1053.5,5260.0,7347.5,5648.0,6029.5,8132.5,10802.0,12368.0
HG01883,8368.0,0.0,7111.0,3253.0,3444.5,1306.0,3410.5,7280.5,13942.0,4538.5,3206.0,2366.0,4054.0,7714.5,4716.5,4852.0,1360.5,13580.5,1664.0,3405.5,8033.5,6722.0,5967.0,1491.0,5463.0,6128.5,5309.0,5233.0,1455.5,1122.0,4441.0,6517.0,2135.5,11329.0,7542.5,9166.5,3121.5,3505.0,4688.0,3140.0,2479.5,6968.5,3043.5,3584.5,7421.0,4376.5,7269.0,4792.5,6851.0,15626.0,7031.0,10150.5,10495.5,2100.0,3174.5,8420.5,1883.5,1703.5,6948.0,1483.5,1972.5,6052.5,6947.0,9513.5,1396.0,5470.0,10228.5,2416.0,2013.5,2841.5,11010.0,2555.0,7811.0,5011.0,3329.5,2578.5,4281.0,1785.5,10013.5,15265.0,10655.0,3744.0,22621.5,2832.0,12049.0,9368.0,1407.0,2330.0,3785.5,1928.0,5877.0,4857.0,2328.5,3511.5,1793.5,7116.5,10286.5,4715.0,1569.5,11727.0,6484.5,3695.5,3712.5,7801.5,4784.5,2582.5,2030.0,11014.5,1461.0,8736.5,6729.0,3292.5,10500.0,11926.5,10577.5,11235.0,8139.0,7934.0,1553.5,6207.0,6154.0,1999.5,9422.0,1916.0,5741.0,7833.5,3273.0,4043.5,7464.5,3378.0,8597.5,3408.0,7957.0,3913.0,1990.0,5552.0,2327.0,12226.5,3405.5,1710.0,1992.5,3001.0,3349.0,2235.0,3255.0,9376.0,7598.5,3612.0,10715.5,3211.5,6345.0,8176.5,6755.0,1677.5,5089.5,6711.0,2095.0,2127.5,1503.5,6774.5,5738.5,3472.5,2942.5,2352.5,6600.5,5843.0,11681.0,1353.0,6494.0,1783.0,5694.0,1871.5,5376.0,3556.0,4742.0,6029.5,9347.0,1813.5,5466.0,1887.5,4999.5,6211.5,1479.0,5686.5,5309.0,9908.5,2537.0,3918.0,8419.5,3727.0,7148.5,1369.0,3370.0,2510.5,2196.0,12537.0,5933.0,4624.5,1777.0,7968.0,5116.0,1756.0,1409.5,3082.0,6308.5,1946.0,6765.0,1462.5,7715.0,1783.5,1617.5,1592.0,3161.0,3907.5,2229.5,3512.5,5585.0,3075.5,4111.5,11966.0,5108.5,1915.0,5268.5,7945.5,5690.5,1483.5,3280.5,7766.5,3850.0,1752.0,1659.0,3733.5,3074.5,1659.5,1368.5,6814.0,4030.5,3103.0,7462.5,2018.0,8748.0,1486.0,6689.5,4015.0,1390.0,1809.0,4859.0,2671.0,1311.5,6367.5
HG03103,9149.5,7111.0,0.0,5860.5,12608.5,6168.0,6623.0,13182.5,18000.0,8835.0,6640.5,3596.5,14049.0,17086.0,9468.5,5865.0,6910.5,16487.5,9377.5,5359.5,13017.0,9228.5,7370.5,7484.5,6760.0,5658.5,2500.0,8693.5,8136.0,10809.0,8768.0,12182.0,7797.0,13559.5,11642.5,6519.0,7456.5,5428.5,10668.0,3097.5,7432.5,3948.5,3474.0,6160.0,9910.0,8385.0,5806.0,7721.0,10400.5,12397.0,12236.5,14888.0,13608.0,5445.0,3982.0,13083.0,7512.0,6656.5,1693.5,5753.0,5874.5,11746.0,4666.5,6774.0,4560.5,3077.0,11129.0,7823.5,8660.0,5144.0,12766.0,9656.0,11120.5,8377.5,14608.5,7805.5,7806.0,7928.5,12902.0,16041.0,15365.0,9657.0,18823.0,13132.0,22472.0,6413.5,4717.5,12895.5,10138.0,5852.0,3430.0,5074.5,7384.0,14021.5,5766.0,6174.0,8043.0,10805.5,4140.0,15886.5,4162.5,6208.0,8197.0,3193.5,3213.5,6745.5,7314.0,10632.0,18329.0,2980.0,3157.5,9856.0,14295.5,23514.0,6712.5,21187.0,13778.0,13519.0,7213.0,4011.0,14533.0,10231.5,4575.0,7248.5,6276.5,3574.5,6854.5,7839.0,12035.5,19686.5,2684.5,13287.5,16940.5,7621.5,13985.5,7439.0,2332.0,7854.5,4753.0,7244.5,7165.5,5892.5,5201.5,5971.0,5767.0,4778.0,12951.0,9673.0,7810.5,9302.5,13033.5,7854.0,11564.0,5698.0,10025.5,11815.5,5524.0,5864.5,8615.5,13557.0,2707.5,3236.5,6555.5,6158.5,10162.5,1978.0,12917.5,12857.5,17463.0,7058.0,2692.0,6646.5,3180.5,7018.0,9124.0,7185.0,6503.5,5658.0,7950.0,5993.5,4991.5,12062.0,5890.5,2504.5,2056.5,4124.5,5849.0,4155.0,11920.0,8281.5,4595.5,5711.0,5438.5,5750.0,6887.0,9075.5,3153.0,4896.5,7087.5,13904.0,16312.0,9211.0,12350.5,10436.0,8209.5,6672.5,4097.5,7290.0,2051.5,7222.5,4000.5,7283.0,6737.5,9695.0,8381.0,7376.5,2928.5,8749.5,3549.0,11683.0,20128.0,13029.0,7986.5,11673.0,8511.0,8315.5,8779.0,13437.0,5381.5,6327.0,8117.0,7166.0,6475.5,6057.0,8742.0,3167.0,3765.0,8067.5,11908.5,8919.5,4967.5,7904.0,7138.0,5594.0,5757.0,8025.5,6404.5,8056.0,8309.5,10478.5
NA19114,7107.5,3253.0,5860.5,0.0,3128.0,1386.0,1592.0,5453.0,10614.0,3229.5,1570.0,3382.0,3168.0,5747.0,4741.0,3875.0,2924.5,11845.0,2489.0,1776.0,8606.0,4853.5,5739.0,2075.0,4270.5,6115.5,4245.0,3646.5,1355.5,2760.0,1930.0,6296.5,4286.0,12756.0,9111.0,9395.5,1982.5,4838.5,5282.0,1959.0,2873.5,6693.0,3052.0,1979.0,4767.0,1612.0,5044.0,2648.0,4632.0,14938.5,6647.0,9808.0,7746.5,2821.0,4236.5,7500.5,2268.0,2867.0,6758.5,2138.5,2277.5,6176.0,7806.0,11694.5,2278.5,5904.5,10009.0,1585.5,2708.5,1755.5,10869.5,3693.5,2476.0,10112.0,4116.5,1886.5,4799.5,6804.5,9809.5,13855.5,10393.0,3145.0,22751.5,2292.5,11257.5,7937.0,3697.5,2458.5,3887.0,2254.5,5938.5,3574.0,2439.0,2225.5,7648.5,8089.0,10558.0,4614.0,2426.0,11907.0,6245.0,3264.5,2331.5,5921.5,1707.5,2067.5,1460.5,9116.0,2395.5,5941.0,6346.5,3620.0,10255.0,11962.0,9267.5,10511.0,9323.0,8229.5,2733.5,6633.5,6526.0,2310.0,8321.5,2026.0,3656.5,5755.5,1375.5,2805.5,6239.5,13563.5,6572.5,2419.5,6062.5,2631.0,2271.5,3698.0,6524.0,11015.0,4562.5,2627.5,1595.5,2792.5,2020.0,1997.5,1038.5,7756.0,8007.0,2672.0,9846.5,2305.0,6966.0,6512.0,6744.0,5020.5,9980.0,7212.0,2334.5,1765.5,2309.5,6912.5,6303.5,3092.5,1993.5,2185.0,6881.5,5981.0,12369.5,2512.0,6918.5,2403.5,6682.5,2653.0,6576.0,3821.5,5917.5,6461.0,9771.0,2242.5,5680.5,7388.5,3813.0,6561.0,4855.0,6387.5,8766.0,7136.0,1623.5,3384.5,8709.5,1872.0,5754.0,3359.5,4142.5,1331.5,2847.5,12727.0,7725.5,3212.0,2720.0,7626.0,5517.5,2305.5,2076.0,3967.0,5721.0,6795.5,7827.0,2091.5,5127.0,2033.5,7164.0,1448.5,3086.0,4664.0,2565.5,1859.5,6020.5,2030.0,3544.5,10773.5,2691.0,1873.0,2571.5,7670.0,5421.5,2035.0,2389.0,8755.5,2496.5,2169.0,6878.5,3030.0,2041.0,2456.5,2212.5,5791.0,3208.5,3376.0,7164.5,2463.0,11714.5,2148.0,5572.0,4014.5,5813.5,3367.0,5350.5,3455.0,2134.0,6305.5
HG02703,15813.0,3444.5,12608.5,3128.0,0.0,1117.5,3517.5,7195.0,12828.0,4471.5,2963.0,1649.0,8563.5,15332.0,4598.0,7248.5,1787.0,11918.0,6868.5,3430.0,7907.0,5279.0,3840.5,2232.0,2421.5,2199.5,8160.0,4006.5,4319.5,6515.5,4200.5,6855.5,7439.0,15801.5,10113.0,5366.5,9833.0,2035.5,5470.5,9855.0,3137.0,5022.5,2856.0,2672.0,6312.0,5850.0,3584.0,4354.5,7259.5,12983.5,6903.0,10187.5,8635.5,12284.0,1689.0,8330.5,2172.5,1958.0,3768.0,2247.5,3804.0,6265.0,8394.0,6481.0,3144.5,2005.0,10287.0,2233.5,6715.0,4733.0,11059.5,6454.0,6766.5,7425.5,4357.5,3259.0,3285.5,3318.0,9762.0,15629.5,18934.5,9085.5,20777.0,4203.0,14268.0,12461.5,3128.0,8650.0,8030.0,3516.5,4669.5,5341.0,2822.5,4995.5,2256.5,7342.5,10841.0,5523.5,20017.5,12661.0,2669.5,11440.0,9154.0,8084.5,4960.0,2440.0,1775.5,11123.0,17434.0,4524.0,7413.5,6035.0,10333.5,12823.5,6361.0,14192.0,7530.5,9900.5,2060.5,2357.0,9303.0,2414.0,4391.0,1801.5,10621.0,7187.0,3103.5,5410.0,6655.0,17617.5,21648.5,4745.5,12722.0,4556.0,2997.0,3221.0,3477.0,8458.0,2918.0,2155.5,1804.0,3392.0,3620.5,1825.0,3175.5,6121.0,6273.5,3265.5,10989.5,8240.5,10135.0,6550.0,6905.5,2569.5,7383.0,6706.0,3356.0,2014.0,6777.5,11781.5,6691.0,1837.0,3497.5,1951.0,8183.0,5554.0,18223.0,3580.0,8322.0,2407.0,2852.0,5477.5,4450.5,7977.0,5309.5,5917.5,9842.0,1963.0,3461.0,2978.0,5778.5,6790.0,2053.0,5686.5,1720.0,5389.0,2595.5,5529.5,8431.5,3892.5,7482.5,2125.0,4125.0,2910.0,2217.5,10859.5,7958.5,3184.5,3796.0,9423.5,5163.0,6409.0,3402.5,6118.5,6833.5,2488.5,1958.0,2097.0,3489.0,2166.5,3021.5,1991.5,3404.5,6679.0,4609.5,4585.5,3307.5,9254.0,9725.0,13808.5,10931.0,3284.0,5286.0,6456.5,6870.5,7263.5,7910.0,7374.0,4040.5,2135.0,6246.0,3429.5,5115.5,3474.0,6173.5,7688.5,22052.5,3587.5,6717.0,3235.5,24411.5,6929.0,11197.0,3007.5,2086.5,2864.5,8674.0,2371.5,8585.5,7337.5
NA19238,5862.5,1306.0,6168.0,1386.0,1117.5,0.0,941.5,4909.0,12264.0,2398.5,559.5,1386.0,2545.0,1573.0,3983.0,3831.5,1557.0,10644.5,1853.0,1062.0,6676.0,3011.5,5627.5,1786.0,3087.0,6278.0,2950.0,1772.5,535.0,1806.0,1879.0,6422.5,2114.5,10602.0,1655.0,8990.0,2132.5,3816.0,5317.5,972.5,738.5,4926.0,1895.0,1070.0,4239.0,1866.5,3068.0,2038.0,5222.5,14867.0,6600.0,9943.5,6518.0,1900.0,3572.0,6479.5,1855.5,1709.0,6712.0,1824.5,1722.5,3813.0,7518.5,9597.5,1243.0,5840.0,8350.0,1584.5,1787.0,913.5,10586.5,1447.5,3214.5,5051.0,1968.5,2419.5,3652.5,1524.5,9546.5,13263.5,10550.0,2153.0,22135.0,2122.0,10553.0,6993.5,1226.0,1848.0,3897.5,1482.5,6004.0,2991.0,2292.5,1902.0,2153.0,7428.5,10375.5,3035.0,1231.0,11622.5,6187.0,3520.5,1873.0,5578.5,1692.5,1366.0,1422.0,9270.5,4262.5,5572.0,5671.0,3312.5,10085.0,11301.0,8502.0,10836.0,7010.0,8246.0,1798.0,6304.5,6040.0,1792.5,6514.5,1642.0,2116.5,5532.5,736.5,3641.0,5929.5,13409.5,5322.5,1488.0,6235.0,2013.0,1833.5,2767.5,2309.0,10292.5,2509.5,1877.5,1587.5,1910.5,1609.5,1501.0,1202.5,5618.5,6177.0,1340.0,10298.0,2002.0,6961.5,5618.0,6717.0,2172.0,4924.0,6144.0,1330.5,1119.5,1671.0,6868.5,5871.0,1293.5,1114.0,1576.5,6225.0,6073.0,10233.5,1719.0,6371.5,1973.5,5119.5,1525.0,5656.5,3735.0,5276.5,5584.5,9549.5,1535.0,3503.5,2459.0,3615.0,6452.0,2001.0,5696.0,5841.5,6225.0,1318.0,3457.5,7574.5,1818.0,5992.5,2109.0,3713.0,1455.5,2041.5,10826.0,5900.5,1428.5,1850.0,5977.0,4945.5,1466.5,1902.5,1782.0,4562.5,2192.0,5820.5,1607.5,5535.0,1995.0,2240.0,1742.0,1684.5,2699.5,2339.0,2449.0,5225.0,1048.5,4033.5,11790.0,3278.5,1320.0,3432.0,6209.0,4152.5,1082.5,1642.0,6811.5,1694.5,1811.5,2202.0,2766.0,2771.0,1990.0,1163.0,5591.5,2362.5,1451.5,6242.5,1602.0,9402.5,1722.0,4739.0,3701.0,1970.5,2047.0,4893.0,1305.5,1230.0,5376.0
NA18913,8415.0,3410.5,6623.0,1592.0,3517.5,941.5,0.0,5423.0,10530.5,1673.5,1135.0,3259.0,2698.5,1896.0,4460.0,3947.0,1902.5,12768.0,1387.0,607.5,8017.0,2528.0,6171.5,1208.0,3404.0,5673.0,3518.5,1186.0,1247.0,1923.5,3706.5,5882.5,1561.5,10282.0,7695.5,8456.0,2766.5,3640.5,5072.5,1525.5,1068.5,5875.5,1459.5,1383.0,5208.5,2524.0,2840.5,2025.5,5405.0,14607.0,6400.0,9444.5,6599.0,1738.0,3610.5,8438.5,1637.0,1534.5,7261.5,1919.0,1141.0,6047.0,6985.5,9649.5,1301.5,5439.5,8861.0,1759.5,2218.0,1124.0,10909.5,3325.0,2614.0,5059.0,3436.0,2767.0,4322.5,1374.5,9305.0,14782.0,10615.0,1574.0,22405.0,1396.0,12522.0,6180.5,3081.5,1192.0,3873.5,2026.0,6355.5,3185.5,1764.0,1300.5,2123.5,7108.5,9835.5,3079.5,2421.0,11723.0,7786.0,3870.0,1544.0,5622.5,1561.5,2067.0,1869.0,11194.0,7193.5,6342.0,5816.5,2918.0,10121.0,10718.5,9075.0,11150.0,8268.5,8471.5,1563.0,6295.0,5607.5,2044.5,5956.0,1967.0,1758.0,6061.0,1208.0,3857.5,6344.0,13851.0,6282.5,2050.5,6408.0,1461.5,6153.5,5508.5,2332.5,10892.5,3757.0,1530.5,1853.5,1588.0,3308.5,1623.0,1403.0,5536.0,7701.5,2007.5,11241.0,2340.5,6408.5,5059.0,6467.5,2156.0,5147.5,6181.5,4829.0,1232.5,1239.5,6459.0,6284.5,1776.5,1564.0,1848.0,6228.0,6111.0,11984.0,1819.0,8104.5,1454.0,6754.0,2084.0,5652.0,4023.0,5158.0,5375.0,8932.0,965.0,4851.5,2057.0,3747.0,6660.5,1895.0,5787.0,5816.5,7872.5,1475.5,3438.0,8170.0,1250.5,6201.5,2036.5,3221.0,1627.5,2094.5,12456.0,5451.0,2686.0,2592.5,6067.0,5247.0,1253.5,1455.5,1505.0,4196.0,2252.5,7197.5,1902.5,5705.5,1779.0,2285.5,1879.5,1179.0,3695.0,1731.0,2610.0,5629.0,1640.5,2495.0,13590.5,7223.0,1675.5,3544.0,6050.0,4019.0,1637.0,3164.0,6560.5,1970.5,1951.5,2135.0,1805.5,2457.0,2212.5,1482.0,5166.5,1939.0,1289.0,5774.5,1333.0,9329.5,1865.0,5092.5,3360.5,1954.0,1665.0,5067.0,3477.5,1624.0,5042.0
NA19403,5954.5,7280.5,13182.5,5453.0,7195.0,4909.0,5423.0,0.0,14662.5,7601.0,4498.5,3110.0,3255.0,3657.5,8222.0,3463.0,6186.5,16396.0,1937.0,5170.5,12381.0,8914.5,1982.0,6080.0,5961.0,4427.5,1543.0,7580.0,945.5,4069.0,5053.0,10891.0,6594.5,11287.5,7748.5,5437.0,1575.0,4237.0,9644.0,1173.5,6269.0,3113.5,3132.5,5588.0,10135.0,6324.0,5118.0,6471.0,8649.5,11430.5,11192.0,14571.0,12751.0,1952.0,3680.0,5057.0,6622.5,6082.0,7729.5,6013.5,5443.0,5575.5,3966.0,6470.0,3933.0,2113.5,8348.5,7677.0,2098.0,2965.5,10857.0,3132.5,11704.0,5077.5,4112.0,6636.0,4213.5,1635.5,13605.0,13564.5,6707.5,2524.0,18381.5,2685.5,13671.5,6814.5,3581.5,1948.5,3773.5,5685.5,2529.5,3150.0,7068.0,2261.0,5941.0,6526.0,6861.5,7186.5,2043.0,15560.0,2945.0,4086.5,1746.0,2071.5,1927.5,1627.0,6444.5,7620.0,1188.5,5441.5,2351.5,5698.5,14028.0,12019.5,4572.5,10985.5,12634.0,10610.5,6157.0,2080.0,5544.5,5590.0,3829.5,5968.5,5723.0,1721.5,4692.0,7438.5,11841.0,14407.0,3055.5,1870.0,6010.0,6431.5,2441.5,1275.0,2084.0,10856.5,4216.0,5807.0,5859.0,6218.0,1985.5,5487.0,5370.5,4138.0,11809.0,3430.0,6775.0,2406.0,9193.0,7087.5,10742.0,6015.5,7026.5,10377.0,5874.5,5646.0,2178.5,7365.0,2531.5,3549.0,5013.5,5910.0,10474.5,2178.0,12075.5,2272.5,8285.5,6400.5,2215.5,5999.5,1981.5,3458.5,9153.0,5979.5,6227.5,5773.5,7061.0,6166.5,3491.0,10576.5,5914.0,2342.5,1773.5,7652.0,7893.5,4176.5,12032.5,1761.0,6319.0,6019.5,4283.0,8231.5,6068.0,9113.0,2495.5,5311.5,6596.5,9856.0,5568.5,2087.0,2328.0,3690.5,6951.0,6323.0,3796.0,6135.0,1618.5,6750.5,4113.0,6115.0,6200.0,8520.0,2082.5,5814.0,1990.5,1642.0,2129.5,10126.5,1885.5,1606.5,5758.0,10623.5,4025.5,1598.0,2043.5,12467.5,6187.5,6026.5,1965.5,6714.5,7464.0,6347.0,1679.0,2353.5,1903.5,7176.5,10488.0,3694.5,5390.0,1712.5,2971.0,4306.5,6026.5,2585.0,5229.5,6911.5,1423.0,9800.0
HG03307,10790.0,13942.0,18000.0,10614.0,12828.0,12264.0,10530.5,14662.5,0.0,12557.0,10504.5,12898.0,5820.0,12787.5,7696.5,12867.5,12932.0,4361.5,12426.0,10788.0,8816.5,8075.0,15150.5,13114.5,14217.5,17463.0,12791.0,12657.5,12418.0,13282.0,11494.5,14007.5,11771.0,5486.5,6298.5,20006.0,12363.5,15192.5,16195.0,10932.0,12378.0,16565.5,12494.0,10981.5,17114.5,11775.0,14485.0,11299.5,14258.0,7403.0,7924.5,8099.0,8290.5,12612.5,13282.5,19639.0,12774.0,12928.0,16924.0,11133.5,11124.5,15904.0,10894.0,9238.0,13131.0,16719.0,8777.0,6927.5,12758.5,10573.0,20170.5,13094.5,17780.0,14134.0,13550.0,13483.5,13872.0,10746.5,6585.0,6851.5,13753.0,11260.0,7782.5,11385.5,15250.5,16073.5,14297.5,11453.5,12623.5,11386.0,17458.0,12552.5,13299.0,11145.0,11052.5,10837.5,11944.5,8193.5,14030.5,1268.0,17471.5,14515.5,11029.0,14884.5,10714.5,12336.0,12386.5,21497.0,10676.5,18191.5,15065.0,9039.0,1335.0,3327.5,18399.5,1075.0,10788.5,17677.0,12727.5,14967.0,14383.5,11619.5,17372.5,12338.5,13177.5,25581.0,10337.0,5735.5,7491.0,17732.5,17937.0,11428.0,5801.0,11609.0,11715.5,15811.5,11021.0,11956.0,13948.5,10986.0,10568.0,12699.5,14526.5,11234.5,10188.5,17473.0,7939.0,11290.0,13894.5,11166.0,11401.5,7541.5,8049.5,11049.5,14015.5,7697.0,11539.0,11015.0,13253.5,8247.5,17360.5,8340.0,10918.0,12245.5,6293.5,15328.0,10406.5,12698.0,8163.0,13233.0,17958.5,11755.5,16763.5,12897.0,14862.0,8484.0,20376.0,11224.0,9221.0,11318.0,12800.5,7776.5,10821.0,14949.5,15212.0,12821.5,11893.5,12934.0,18034.0,10447.0,16276.5,11007.0,15105.5,11707.0,12705.5,12747.0,15995.0,14576.5,14486.0,9096.0,6566.0,13057.5,13110.5,13401.5,6247.0,11137.0,17435.5,13365.0,14634.5,12989.0,11257.5,12483.0,11304.5,9432.0,11557.5,11489.0,16956.0,12533.0,7009.5,21083.5,16065.0,11501.5,12684.0,8352.0,13800.0,12945.0,14588.0,9483.0,11387.0,11407.5,11102.5,11654.5,12499.5,11772.5,12382.5,15074.5,11016.5,12974.5,7962.5,11227.5,18395.5,11149.0,9724.0,15135.0,10976.0,13442.5,15936.5,12941.0,7941.0,14534.5
HG02111,10256.0,4538.5,8835.0,3229.5,4471.5,2398.5,1673.5,7601.0,12557.0,0.0,3412.0,4558.0,3244.5,3223.5,5738.0,5812.0,2902.0,13121.0,1868.5,2940.0,8345.5,3777.5,5960.5,2129.5,3254.5,5775.0,6056.0,2063.0,2546.0,2588.0,3966.5,6606.0,1431.5,11387.5,8126.0,9307.5,4556.0,4093.0,5646.0,3471.0,2322.5,6861.0,3681.5,3006.0,6360.5,4698.5,4985.0,2512.0,7242.5,15503.5,7073.0,10667.0,7270.0,2818.5,3848.0,10001.0,2448.0,2840.5,8905.0,2574.5,3238.5,4834.0,7323.0,9677.0,2437.5,6198.0,10644.5,2189.5,3311.5,3432.5,11438.5,3944.0,4512.5,5291.0,3487.5,3029.5,5903.5,2049.5,10239.0,16360.0,12178.0,2360.5,23505.0,1750.0,13995.5,10574.0,4154.5,1896.0,3462.0,4871.5,7166.5,5441.5,2698.0,3031.0,2291.0,7765.5,10835.0,3424.0,2967.5,13123.0,6800.0,4237.5,2688.0,5620.5,2244.0,2537.5,2430.0,11603.5,7975.0,7112.5,6071.0,3166.0,10193.5,11422.0,10488.5,12483.0,8562.5,9537.5,2469.5,6975.5,6030.5,2720.5,12854.0,2506.5,2527.5,7309.0,3181.5,5092.0,6948.0,3217.5,7376.5,3803.5,7858.5,1624.5,6647.5,7149.0,1950.5,11320.5,4388.5,2620.5,2519.5,3027.5,4090.0,2160.5,3320.5,6671.0,8262.5,3493.5,11930.5,2332.0,7353.5,6114.0,7471.0,2324.5,5399.0,7230.5,7455.5,2303.0,2213.0,7063.0,7378.0,2892.5,3466.5,2192.0,7994.5,6516.5,12234.5,2724.0,7134.0,2359.0,7674.5,2435.0,6413.0,5098.0,5426.5,6839.0,9766.5,1897.5,5820.5,2261.0,5539.0,7123.5,2421.0,6002.0,5996.0,9062.0,3338.0,4706.0,9027.0,2617.0,7303.0,2220.0,4037.0,2849.0,3113.5,12975.5,7229.0,3710.0,3752.0,6785.5,5823.5,1997.0,2316.5,2243.5,4354.0,1870.5,7883.0,2450.5,6999.0,2481.5,3189.5,2371.5,1601.0,4781.0,2796.5,4199.5,6433.5,1799.0,8225.5,13709.0,8603.0,2677.0,4730.5,6871.5,5651.5,2451.5,3940.5,7013.0,2511.5,2147.5,2367.5,2615.0,2860.5,3793.0,2533.5,5072.5,2567.5,2787.0,6013.0,2517.5,9490.5,2614.5,6786.5,3859.5,2295.0,2385.5,6045.0,3396.5,1727.5,6437.0
