Sample1,Sample2,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
HG02445,NA19238,0.0193,0.02425,0.015450000000000002,0.0052,0.0012000000000000001,0.00125,0.00445,0.0036,0.03125,0.0073999999999999995
HG02445,HG02678,0.00745,0.0175,0.0199,0.01925,0.0132,0.0041,0.07095,0.07369999999999999,0.0634,0.011
HG02445,HG03039,0.0278,0.0238,0.0158,0.018699999999999998,0.0119,0.005549999999999999,0.0101,0.061399999999999996,0.0416,0.014199999999999999
HG02445,HG03159,0.01875,0.0208,0.01175,0.0191,0.01105,0.0007,0.03805,0.03435,0.06125,0.008549999999999999
HG02445,NA19024,0.02115,0.011600000000000001,0.0287,0.01755,0.00405,0.005,0.03205,0.0392,0.03065,0.00665
HG02445,HG02611,0.010100000000000001,0.0159,0.0215,0.0023,0.0113,0.0007999999999999999,0.038,0.033999999999999996,0.0607,0.01505
HG02445,HG02836,0.02625,0.01725,0.016399999999999998,0.019499999999999997,0.0055,0.0033,0.07095,0.0741,0.06185,0.00865
HG02445,HG01890,0.01845,0.013349999999999999,0.03345,0.0055,0.00215,0.005,0.00595,0.02325,0.0355,0.01265
HG02445,NA19921,0.0198,0.00915,0.024300000000000002,0.00545,0.0012,0.00075,0.0694,0.06764999999999999,0.06259999999999999,0.0060999999999999995
HG02445,HG02003,0.019000000000000003,0.0241,0.015550000000000001,0.0163,0.0136,0.00405,0.06315,0.07685,0.066,0.0078
HG02445,HG01455,0.0156,0.02155,0.011649999999999999,0.017750000000000002,0.0109,0.0056500000000000005,0.0631,0.07735,0.058649999999999994,0.0031
HG02445,NA19675,0.0077,0.02045,0.007300000000000001,0.01875,0.011699999999999999,0.0017499999999999998,0.06634999999999999,0.07164999999999999,0.06839999999999999,0.0028499999999999997
HG02445,HG01085,0.0237,0.0234,0.0115,0.01745,0.0116,0.00125,0.0703,0.06845,0.0437,0.011099999999999999
HG02445,HG01048,0.0207,0.0153,0.0115,0.0176,0.011349999999999999,0.0011,0.0627,0.07325000000000001,0.06485,0.009649999999999999
HG02445,HG02275,0.01485,0.0072,0.02345,0.00575,0.0155,0.0015500000000000002,0.0323,0.0382,0.0477,0.007549999999999999
HG02445,HG01577,0.0023,0.024149999999999998,0.0114,0.01755,0.010799999999999999,0.005350000000000001,0.036449999999999996,0.02565,0.0644,0.02485
HG02445,HG01950,0.02055,0.01755,0.0159,0.0175,0.0108,0.0054,0.06635,0.0731,0.07200000000000001,0.0164
HG02445,HG00739,0.021699999999999997,0.024149999999999998,0.0237,0.01755,0.0037999999999999996,0.00385,0.07085,0.07375,0.0637,0.02385
HG02445,HG01241,0.018099999999999998,0.0077,0.02025,0.015550000000000001,0.011600000000000001,0.0007499999999999999,0.0059499999999999996,0.02325,0.07195,0.0036
HG02445,HG00634,0.02185,0.019799999999999998,0.0338,0.0175,0.0142,0.02895,0.036199999999999996,0.06625,0.06455,0.02375
HG02445,NA18983,0.0054,0.019700000000000002,0.01575,0.0023,0.00295,0.0086,0.0664,0.07300000000000001,0.06509999999999999,0.0077
HG02445,HG02390,0.02315,0.0208,0.012799999999999999,0.01765,0.013649999999999999,0.00445,0.005,0.0258,0.020200000000000003,0.01035
HG02445,HG02382,0.0214,0.0193,0.011300000000000001,0.00245,0.00435,0.0013,0.035050000000000005,0.061149999999999996,0.03855,0.0077
HG02445,HG02184,0.019000000000000003,0.02005,0.00695,0.0163,0.013949999999999999,0.0014,0.0044,0.029400000000000003,0.03045,0.010499999999999999
HG02445,NA18941,0.0311,0.01435,0.016050000000000002,0.01825,0.013749999999999998,0.00235,0.033949999999999994,0.03975,0.06525,0.020399999999999998
HG02445,HG00436,0.031,0.01205,0.010450000000000001,0.017849999999999998,0.01175,0.0104,0.034100000000000005,0.03975,0.0645,0.0075
HG02445,HG02156,0.021699999999999997,0.0155,0.01455,0.0161,0.0039,0.02115,0.0041,0.029400000000000003,0.032600000000000004,0.029900000000000003
HG02445,HG02017,0.01815,0.0208,0.00625,0.01625,0.01295,0.02625,0.03305,0.04005,0.03685,0.010499999999999999
HG02445,NA18566,0.02055,0.0158,0.024399999999999998,0.00255,0.01325,0.0042,0.037250000000000005,0.036649999999999995,0.0625,0.011349999999999999
HG02445,HG00125,0.01485,0.0173,0.007549999999999999,0.01795,0.01175,0.0104,0.06634999999999999,0.07365,0.0663,0.01845
HG02445,HG00368,0.019000000000000003,0.02255,0.0101,0.0179,0.011999999999999999,0.0013,0.0633,0.07214999999999999,0.07295,0.007
HG02445,NA20801,0.01915,0.0212,0.0196,0.0025499999999999997,0.0026,0.0014,0.03225,0.03385,0.0463,0.01125
HG02445,HG01678,0.01915,0.0185,0.02,0.01765,0.011899999999999999,0.0011,0.06975,0.06709999999999999,0.0649,0.00475
HG02445,HG00117,0.01815,0.0162,0.024050000000000002,0.01765,0.00375,0.00645,0.06559999999999999,0.0672,0.0655,0.007200000000000001
HG02445,HG00271,0.008,0.02225,0.0075,0.01765,0.00375,0.00365,0.036500000000000005,0.03915,0.029599999999999998,0.0106
HG02445,NA20753,0.018500000000000003,0.023899999999999998,0.0114,0.0056,0.00605,0.004200000000000001,0.0667,0.06789999999999999,0.06625,0.0091
HG02445,HG02224,0.00825,0.021949999999999997,0.0114,0.01755,0.01095,0.0083,0.0358,0.0341,0.054400000000000004,0.01715
HG02445,HG00254,0.01995,0.02085,0.008,0.004,0.013749999999999998,0.0011,0.0028499999999999997,0.00305,0.03865,0.019049999999999997
HG02445,NA10850,0.008150000000000001,0.0175,0.0139,0.0178,0.00375,0.00365,0.03155,0.035949999999999996,0.0552,0.0050999999999999995
HG02445,HG02684,0.0061,0.02265,0.006500000000000001,0.0174,0.01075,0.00815,0.0347,0.0666,0.0338,0.006999999999999999
HG02445,NA20899,0.0165,0.012199999999999999,0.00395,0.017750000000000002,0.010950000000000001,0.0015999999999999999,0.06275,0.07225,0.07105,0.0071
HG02445,HG03931,0.0172,0.024399999999999998,0.01035,0.0055,0.02365,0.0033,0.00415,0.02415,0.0308,0.007600000000000001
HG02445,HG03598,0.017849999999999998,0.017750000000000002,0.0172,0.01735,0.011,0.00365,0.00655,0.02775,0.0181,0.008150000000000001
HG02445,NA21102,0.01825,0.0158,0.01705,0.0195,0.01475,0.00635,0.039400000000000004,0.03375,0.0617,0.0052
HG02445,HG03742,0.002,0.02305,0.006500000000000001,0.01765,0.00765,0.00885,0.034,0.03885,0.07185,0.00515
HG02445,NA20883,0.00215,0.02205,0.0112,0.01915,0.01345,0.00845,0.0339,0.03835,0.07050000000000001,0.0060999999999999995
HG02445,HG04149,0.024399999999999998,0.021150000000000002,0.0095,0.01765,0.01095,0.0015,0.0014,0.027700000000000002,0.005350000000000001,0.00935
HG02445,HG03900,0.026500000000000003,0.0131,0.0201,0.0174,0.00395,0.0038,0.06384999999999999,0.07189999999999999,0.06395,0.01875
HG02445,NA21101,0.005,0.024599999999999997,0.0094,0.0033,0.01075,0.0084,0.0667,0.07285,0.06445,0.00805
NA19238,HG02678,0.0184,0.02185,0.02185,0.016,0.013600000000000001,0.00465,0.0712,0.0714,0.0124,0.0066
