Sample1,Sample2,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
HG02558,HG02307,144.0,29.0,39.0,2.0,1.0,2.0,7.0,1.0,158.0,38.0
HG02558,HG03115,40.0,29.0,3.0,3.0,316.0,19.0,11.0,1.0,0.0,40.0
HG02558,HG02308,41.0,58.0,75.0,1.0,4.0,107.0,316.0,286.0,141.0,44.0
HG02558,HG02943,8.0,30.0,11.0,4.0,0.0,439.0,498.0,398.0,176.0,37.0
HG02558,NA20348,3.0,76.0,18.0,16.0,0.0,434.0,22.0,322.0,141.0,12.0
HG02558,HG02283,40.0,23.0,2.0,56.0,319.0,434.0,91.0,293.0,141.0,8.0
HG02558,HG02643,17.0,0.0,5.0,74.0,319.0,4.0,177.0,287.0,158.0,35.0
HG02558,HG02485,9.0,4.0,71.0,54.0,319.0,141.0,307.0,287.0,163.0,19.0
HG02558,HG03476,62.0,1.0,4.0,2.0,0.0,435.0,501.0,408.0,0.0,40.0
HG02558,HG02275,62.0,63.0,13.0,6.0,27.0,11.0,181.0,287.0,73.0,9.0
HG02558,HG01366,40.0,77.0,6.0,1.0,39.0,437.0,22.0,322.0,98.0,11.0
HG02558,HG01073,39.0,73.0,75.0,2.0,35.0,9.0,8.0,4.0,67.0,11.0
HG02558,HG01187,63.0,79.0,58.0,56.0,31.0,190.0,1.0,1.0,77.0,2992.0
HG02558,HG01136,46.0,21.0,39.0,55.0,27.0,434.0,6.0,2.0,140.0,17.0
HG02558,HG01058,82.0,11.0,59.0,55.0,85.0,10.0,11.0,1.0,141.0,42.0
HG02558,HG02274,63.0,64.0,51.0,73.0,26.0,181.0,93.0,3.0,143.0,11.0
HG02558,HG02292,63.0,30.0,40.0,4.0,31.0,8.0,176.0,299.0,144.0,21.0
HG02558,HG01341,1.0,1.0,4.0,56.0,27.0,129.0,92.0,14.0,144.0,10.0
HG02558,NA19774,60.0,6.0,52.0,53.0,34.0,11.0,176.0,287.0,157.0,38.0
HG02558,HG00583,138.0,68.0,51.0,51.0,15.0,190.0,5.0,1.0,141.0,21.0
HG02558,HG02178,135.0,7.0,12.0,3.0,321.0,520.0,167.0,286.0,73.0,7.0
HG02558,HG02017,139.0,88.0,58.0,70.0,323.0,162.0,176.0,298.0,157.0,10.0
