,HG02558,HG02307,HG03115,HG02308,HG02943,NA20348,HG02283,HG02643,HG02485,HG03476,HG02275,HG01366,HG01073,HG01187,HG01136,HG01058,HG02274,HG02292,HG01341,NA19774,HG00583,HG02178,HG02017,NA18971,HG01597,HG00634,HG00844,NA18980,HG00596,HG00607,NA20801,HG01776,HG00325,HG02223,HG00313,HG01506,HG00148,HG02239,HG00338,HG00255,HG03882,HG04039,HG03904,NA21099,HG03941,HG03977,NA21111,NA21110,HG03009,NA20899
HG02558,0.0,39.0,3.0,75.0,11.0,18.0,2.0,5.0,71.0,4.0,13.0,6.0,75.0,58.0,39.0,59.0,51.0,40.0,4.0,52.0,51.0,12.0,58.0,11.0,12.0,12.0,66.0,72.0,40.0,72.0,4.0,71.0,40.0,12.0,13.0,72.0,70.0,4.0,40.0,11.0,64.0,66.0,58.0,13.0,39.0,40.0,11.0,40.0,12.0,59.0
HG02307,39.0,0.0,158.0,65.0,0.0,149.0,0.0,65.0,64.0,68.0,41.0,68.0,68.0,61.0,0.0,62.0,41.0,1.0,64.0,42.0,41.0,42.0,59.0,62.0,160.0,160.0,59.0,62.0,1.0,62.0,61.0,64.0,1.0,61.0,1.0,65.0,61.0,61.0,1.0,68.0,57.0,57.0,61.0,66.0,2.0,1.0,16.0,1.0,61.0,62.0
HG03115,3.0,158.0,0.0,156.0,1.0,17.0,5.0,4.0,157.0,3.0,12.0,5.0,156.0,148.0,158.0,149.0,153.0,153.0,3.0,154.0,153.0,11.0,148.0,10.0,11.0,11.0,150.0,165.0,159.0,164.0,3.0,157.0,159.0,11.0,12.0,157.0,160.0,3.0,159.0,10.0,152.0,148.0,148.0,12.0,158.0,157.0,10.0,149.0,11.0,149.0
HG02308,75.0,65.0,156.0,0.0,65.0,155.0,65.0,35.0,37.0,0.0,56.0,0.0,0.0,33.0,65.0,34.0,56.0,56.0,37.0,6.0,5.0,57.0,25.0,5.0,159.0,159.0,5.0,1.0,4.0,4.0,37.0,34.0,4.0,6.0,64.0,1.0,6.0,6.0,37.0,0.0,27.0,27.0,33.0,2.0,38.0,37.0,59.0,28.0,33.0,34.0
HG02943,11.0,0.0,1.0,65.0,0.0,19.0,0.0,8.0,64.0,7.0,14.0,9.0,68.0,61.0,0.0,62.0,41.0,1.0,7.0,42.0,41.0,13.0,59.0,12.0,13.0,13.0,59.0,62.0,1.0,62.0,7.0,64.0,1.0,13.0,1.0,65.0,61.0,7.0,1.0,12.0,57.0,57.0,61.0,14.0,2.0,1.0,12.0,1.0,13.0,62.0
NA20348,18.0,149.0,17.0,155.0,19.0,0.0,20.0,15.0,0.0,14.0,17.0,16.0,155.0,143.0,148.0,144.0,152.0,147.0,14.0,153.0,152.0,16.0,143.0,15.0,16.0,16.0,149.0,157.0,150.0,156.0,14.0,151.0,147.0,16.0,17.0,154.0,156.0,14.0,147.0,15.0,150.0,147.0,143.0,17.0,151.0,150.0,15.0,148.0,16.0,144.0
HG02283,2.0,0.0,5.0,65.0,0.0,20.0,0.0,7.0,64.0,6.0,15.0,8.0,68.0,61.0,0.0,62.0,41.0,1.0,6.0,42.0,41.0,14.0,59.0,13.0,14.0,14.0,59.0,62.0,1.0,62.0,6.0,64.0,1.0,14.0,1.0,65.0,61.0,6.0,1.0,13.0,57.0,57.0,61.0,15.0,2.0,1.0,13.0,1.0,14.0,62.0
HG02643,5.0,65.0,4.0,35.0,8.0,15.0,7.0,0.0,35.0,1.0,10.0,3.0,35.0,3.0,65.0,3.0,58.0,58.0,1.0,59.0,58.0,9.0,20.0,8.0,9.0,9.0,20.0,73.0,66.0,73.0,1.0,1.0,66.0,9.0,10.0,0.0,4.0,1.0,4.0,8.0,22.0,7.0,28.0,10.0,36.0,35.0,8.0,21.0,9.0,29.0
HG02485,71.0,64.0,157.0,37.0,64.0,0.0,64.0,35.0,0.0,37.0,57.0,37.0,37.0,32.0,64.0,32.0,57.0,57.0,0.0,58.0,57.0,58.0,29.0,66.0,162.0,162.0,29.0,66.0,63.0,67.0,29.0,0.0,65.0,65.0,65.0,35.0,33.0,65.0,33.0,37.0,0.0,27.0,33.0,35.0,1.0,0.0,58.0,28.0,33.0,4.0
HG03476,4.0,68.0,3.0,0.0,7.0,14.0,6.0,1.0,37.0,0.0,9.0,0.0,0.0,33.0,68.0,34.0,56.0,56.0,0.0,57.0,56.0,8.0,25.0,7.0,8.0,8.0,25.0,72.0,69.0,71.0,0.0,34.0,69.0,8.0,9.0,1.0,37.0,0.0,37.0,0.0,27.0,27.0,33.0,2.0,38.0,37.0,7.0,28.0,8.0,34.0
