Population,Locus,Diversity
ACB,HFE,1.068503169303051
ACB,HLA-A,3.161422396462462
ACB,HLA-B,3.21950742155999
ACB,HLA-C,3.088521761631328
ACB,HLA-DMA,1.0864734667924494
ACB,HLA-DMB,2.039611762385177
ACB,HLA-DOA,2.806367691027162
ACB,HLA-DOB,1.5617337147374508
ACB,HLA-DPA1,2.3846849722724652
ACB,HLA-DPA2,1.2532456974654929
ACB,HLA-DPB1,3.3043705901022022
ACB,HLA-DPB2,1.0468985562142972
ACB,HLA-DQA1,2.837509039576958
ACB,HLA-DQA2,1.852249079574422
ACB,HLA-DQB1,3.015478679051489
ACB,HLA-DQB2,1.7542270261328796
ACB,HLA-DRA,2.9405258347587377
ACB,HLA-DRB1,3.7375313598262667
ACB,HLA-DRB3,1.9221132467387743
ACB,HLA-DRB4,1.8686247007266945
ACB,HLA-DRB5,1.7796949112544571
ACB,HLA-E,1.5895577311822324
ACB,HLA-F,2.7131852294576975
ACB,HLA-G,2.7355289578423756
ACB,HLA-H,2.5581054998352823
ACB,HLA-J,2.3053743075991617
ACB,HLA-K,1.566991245889337
ACB,HLA-L,0.9643431558469079
ACB,HLA-N,1.1050795277079404
ACB,HLA-P,1.3741497826259035
ACB,HLA-S,1.5403437565799374
ACB,HLA-T,1.773570845746557
ACB,HLA-U,0.9758332649448966
ACB,HLA-V,1.2019867693779211
ACB,HLA-W,1.9747636086110396
ACB,HLA-Y,0.27619092240707505
ACB,MICA,2.146597796905561
ACB,MICB,1.5772095251140887
ACB,TAP1,1.254536847581085
ACB,TAP2,1.877182096358992
ASW,HFE,1.0861747584002373
ASW,HLA-A,3.5026168405331655
ASW,HLA-B,3.2867686930190114
ASW,HLA-C,3.035742975928321
ASW,HLA-DMA,1.2161874829878734
ASW,HLA-DMB,1.8578767496437372
ASW,HLA-DOA,2.666193545878544
ASW,HLA-DOB,1.6225849844053497
ASW,HLA-DPA1,2.383620435331374
ASW,HLA-DPA2,1.4582006616132246
ASW,HLA-DPB1,3.5745109423963823
ASW,HLA-DPB2,1.0996006462768753
ASW,HLA-DQA1,2.924437203842363
ASW,HLA-DQA2,1.8242904639213913
ASW,HLA-DQB1,3.2260145335319113
ASW,HLA-DQB2,1.7857259606808298
ASW,HLA-DRA,3.007134384218922
ASW,HLA-DRB1,3.7756834043511405
ASW,HLA-DRB3,1.7680688555230801
ASW,HLA-DRB4,2.1985010395531748
ASW,HLA-DRB5,2.0564562735244474
ASW,HLA-E,1.6197561887612668
ASW,HLA-F,2.7050385864390925
ASW,HLA-G,2.438546146061756
ASW,HLA-H,2.519166355473206
