Group1,Group2,JSD
GBR,GBR,0.0
GBR,FIN,0.30853932258047423
GBR,CHS,0.4711567784883476
GBR,PUR,0.31924260674313787
GBR,CDX,0.4934270556600305
GBR,CLM,0.32716105682958624
GBR,IBS,0.28512189637152735
GBR,PEL,0.37979105509496064
GBR,PJL,0.4078346836814705
GBR,KHV,0.4358719577630587
GBR,ACB,0.39532586449211427
GBR,GWD,0.4509444946191475
GBR,ESN,0.43500793512945285
GBR,BEB,0.4072825127846801
GBR,MSL,0.45547436145889536
GBR,STU,0.40279504122782045
GBR,ITU,0.39077501335399056
GBR,CEU,0.2894973064062179
GBR,YRI,0.45304172799705444
GBR,CHB,0.4167773046893349
GBR,JPT,0.4739086157198251
GBR,LWK,0.4332717757864791
GBR,MXL,0.36898933778496745
GBR,ASW,0.382661070694677
GBR,TSI,0.3352362474862414
GBR,GIH,0.38073542146202355
FIN,GBR,0.30853932258047423
FIN,FIN,0.0
FIN,CHS,0.4595311637568825
FIN,PUR,0.34364999297196286
FIN,CDX,0.49228245947874866
FIN,CLM,0.33213219179631737
FIN,IBS,0.3366019454638448
FIN,PEL,0.3929685846903819
FIN,PJL,0.4160870974714289
FIN,KHV,0.4328182009680785
FIN,ACB,0.4457168304676711
FIN,GWD,0.5128206811616821
FIN,ESN,0.480705304408201
FIN,BEB,0.3930899892510165
FIN,MSL,0.4984163039336678
FIN,STU,0.403316508180561
FIN,ITU,0.3979245812801265
FIN,CEU,0.3206644156067597
FIN,YRI,0.4945900887429455
FIN,CHB,0.41357867267781534
FIN,JPT,0.4541959028477937
FIN,LWK,0.4733213171116444
FIN,MXL,0.3745762865009701
FIN,ASW,0.4264314950311942
FIN,TSI,0.33391910859149476
FIN,GIH,0.3869837948000695
CHS,GBR,0.4711567784883476
CHS,FIN,0.4595311637568825
CHS,CHS,0.0
CHS,PUR,0.4635256312009019
CHS,CDX,0.3060624833487319
CHS,CLM,0.4639981686615049
CHS,IBS,0.4595790161387463
CHS,PEL,0.43746948324270263
CHS,PJL,0.4444204218176299
