,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HLA-E,HLA-F,HLA-G,HLA-H,HLA-J,HLA-K,HLA-L,HLA-P,HLA-V,HLA-DQA2,HLA-DPA2,HLA-N,HLA-S,HLA-T,HLA-U,HLA-W,MICA,MICB,TAP1,TAP2,HFE
HG03198,23,21,24,59,27,29,22,31,38,93,50,45,60,117,56,43,26,40,30,14,20,22,19,31,21,9,54,28,11,3,33,56,24,126,156,24,27,8
HG03812,16,20,21,31,25,20,26,38,38,86,54,36,61,117,9,64,43,38,20,30,15,28,16,18,26,5,48,36,2,1,23,54,19,104,145,36,32,6
HG03650,7,10,20,39,13,11,10,19,24,61,41,34,63,107,6,33,58,21,11,8,17,9,5,15,19,7,40,21,6,3,21,34,6,98,76,28,23,7
HG03397,9,18,18,35,14,13,18,29,39,87,41,30,56,124,31,44,38,27,19,13,17,14,14,12,10,5,48,41,4,3,42,26,15,130,128,26,25,6
HG03727,16,12,9,27,19,13,12,30,27,63,39,29,57,121,26,43,24,28,19,15,9,18,13,12,8,7,44,31,4,3,32,24,24,96,124,20,30,8
HG03307,16,24,28,38,38,15,22,41,29,56,33,30,59,121,23,23,40,35,28,24,13,26,8,31,25,5,47,42,2,2,25,29,20,84,133,30,33,3
HG03394,33,50,47,109,50,43,47,84,93,236,125,99,184,340,36,98,133,97,30,24,34,41,33,36,37,14,146,83,14,6,89,74,40,291,299,90,77,16
HG03484,10,15,11,25,16,9,14,24,24,38,29,18,42,81,15,36,18,18,16,12,11,11,13,16,12,1,26,23,4,3,21,26,10,57,93,17,20,2
HG03593,16,28,25,71,27,21,26,44,49,125,60,50,90,214,46,87,62,54,14,13,18,18,17,28,20,8,76,49,14,4,42,36,22,165,226,54,39,14
HG03705,25,29,25,86,30,21,22,48,75,167,94,78,121,300,38,114,91,47,18,23,14,26,14,36,25,18,114,63,21,4,40,50,25,216,258,58,45,14
HG03792,18,23,17,65,32,23,22,32,54,107,40,32,92,198,16,60,41,36,35,20,29,22,20,22,23,5,59,62,4,2,43,52,25,120,186,35,33,10
HG03372,13,22,15,29,19,16,13,25,31,80,39,22,46,65,7,19,38,20,15,15,14,19,17,12,13,5,36,34,6,3,19,28,13,64,80,21,17,4
HG03761,13,19,16,41,16,18,22,30,46,101,56,37,64,160,23,55,41,33,21,15,12,9,18,17,13,5,44,46,5,3,20,30,14,117,155,21,32,5
HG03598,26,32,38,110,34,33,42,72,86,213,115,69,134,291,33,89,164,75,31,23,26,23,27,27,27,19,107,64,24,7,54,49,31,285,268,66,54,18
HG03449,7,17,19,59,19,33,17,24,32,130,55,49,98,176,44,50,41,43,15,13,9,15,13,22,10,7,65,45,7,2,18,31,17,167,157,32,34,12
