,HG02445,NA19238,HG02678,HG03039,HG03159,NA19024,HG02611,HG02836,HG01890,NA19921,HG02003,HG01455,NA19675,HG01085,HG01048,HG02275,HG01577,HG01950,HG00739,HG01241,HG00634,NA18983,HG02390,HG02382,HG02184,NA18941,HG00436,HG02156,HG02017,NA18566,HG00125,HG00368,NA20801,HG01678,HG00117,HG00271,NA20753,HG02224,HG00254,NA10850,HG02684,NA20899,HG03931,HG03598,NA21102,HG03742,NA20883,HG04149,HG03900,NA21101
HG02445,0.0,0.04788927332921226,0.12619638465502883,0.08896736761307486,0.08866824403358847,0.0728180266142938,0.08638103090378117,0.12689339029279656,0.060775303372340314,0.12019488341855487,0.12633823649236203,0.12133979149479367,0.12347074552297801,0.11550981560023374,0.12177898012382926,0.07702468760079459,0.08901204974608776,0.12897308827813653,0.13053108825103696,0.08330435162703087,0.11742300668948995,0.12160807950132262,0.053440176833539764,0.08659083381051369,0.05652194264177409,0.09677174174313491,0.0934859481419534,0.06695166166720586,0.07801557536799944,0.09073513652384065,0.1253314705092061,0.12657340755466764,0.07531057362681551,0.12314771617857961,0.12123837057631547,0.06933767013680227,0.12107929220143303,0.08291292118843721,0.054563243122087234,0.07918940901408471,0.08892872145713106,0.12300550800675554,0.056618283266097004,0.05071358299311931,0.08964871722450914,0.09423474677633512,0.09414183448393175,0.04951668910579543,0.12368617546031568,0.12202520231493165
NA19238,0.04788927332921226,0.0,0.11009408476389637,0.07399618233395558,0.0634124002068996,0.08057650091683058,0.0605192118256674,0.11204924140751692,0.06478717079792881,0.10543231240943167,0.11866982556656938,0.11958686173656369,0.10469108128202707,0.10394420378260638,0.12397171048267423,0.08089357205612817,0.05793697006230133,0.1152023545766318,0.10541226209507128,0.06345074861654511,0.09603643839710009,0.10573154685333985,0.054449035804135223,0.08652106679878606,0.05614022621970809,0.07221130451667523,0.07121184943532922,0.052960622164019186,0.07512321545301424,0.07240074239950858,0.11089482629951679,0.11934025934277166,0.0773965761516619,0.10708056546357979,0.10470888214473498,0.06770040620262185,0.10371694654201886,0.0680442870489507,0.05050284645443265,0.07495163440512821,0.09157218464140734,0.11142942833919592,0.045594325304800815,0.05850993505380091,0.07830515627977508,0.07399209417228303,0.07717337623818205,0.0838473911341313,0.11597010390613609,0.10317978241884405
HG02678,0.12619638465502883,0.11009408476389637,0.0,0.08899328626362778,0.059060244665934125,0.12322468299817209,0.06845949532387746,0.04464216056599411,0.12017000457684937,0.04285087513692106,0.10937337427363207,0.11358223892845218,0.08424758156766282,0.07659862923055477,0.10969279830508473,0.12669734606533792,0.0878334361163219,0.09275777595436406,0.0487337665279424,0.1304449692399059,0.11922325695937014,0.06317628115044442,0.11852349977957957,0.08644569104356793,0.10692188737578476,0.115169928800881,0.12110941334182078,0.12128205761776965,0.12623457331492036,0.07842525103561991,0.06645188108699407,0.13067860383398652,0.12568757894080068,0.05419098172205409,0.0694269580206421,0.09911975080678925,0.06358598509105604,0.09380892814652558,0.11506336297883875,0.1159363079453542,0.1251495705146446,0.12030517445230691,0.11567944934170458,0.11719242722974894,0.08351157105455508,0.1191059087535123,0.11017655149803882,0.1213568910280747,0.12547592398544033,0.076291627981057
HG03039,0.08896736761307486,0.07399618233395558,0.08899328626362778,0.0,0.06906627252139787,0.09760548140345397,0.0741089232144146,0.08359766743157371,0.10566193732844388,0.09126188963636464,0.11177072514750899,0.11130973677086835,0.11858713041472924,0.10135085100777398,0.10418440382322107,0.0959720792730886,0.09114957487558567,0.11249518878600986,0.10093497907068688,0.10304200599755423,0.10953973023519822,0.09232958626572525,0.09127614693883612,0.08205284882318224,0.06986386762841003,0.09138637754063786,0.09712888344874557,0.09338076622088726,0.09673158739522472,0.08034709079985411,0.09576606914768926,0.1221029176555581,0.08882530607884219,0.1042772626222994,0.10113095470725074,0.08173611502879251,0.08987089350841015,0.07168511002990789,0.07512842338289817,0.08885513491070735,0.1022076318089799,0.11990497279095642,0.08857139775345085,0.08567677631657251,0.0862511159348098,0.09499447352346345,0.08806202359700803,0.09384893446384993,0.11732956788465557,0.09959978664635784
HG03159,0.08866824403358847,0.0634124002068996,0.059060244665934125,0.06906627252139787,0.0,0.10801389956852776,0.03953128507903581,0.0692699068860353,0.10800348374010905,0.06419334077612723,0.12103959063050404,0.12364699753734418,0.09196033112163092,0.08387584574834403,0.12067092649018651,0.10003408169219129,0.06898012394885936,0.09747794622374847,0.07540825551622315,0.10762654180080301,0.10617692781390879,0.07101869472188292,0.08999774997187429,0.0726004648745447,0.06575631148414576,0.0776992599707359,0.08779474642596788,0.0830074394256322,0.09133992828987769,0.06589106540343691,0.08138393576130365,0.1325022641315989,0.09804076958082285,0.07127629339408721,0.07984128004985891,0.07927613133850567,0.06605751282026898,0.0752414613095732,0.06683747077799998,0.09236948901017046,0.10853800025797417,0.12396562023399876,0.06789585775288504,0.08209575202164848,0.05696781986349838,0.08689356995773623,0.08135679135757505,0.08263384597124837,0.12823559373278545,0.07800360568589121
NA19024,0.0728180266142938,0.08057650091683058,0.12322468299817209,0.09760548140345397,0.10801389956852776,0.0,0.10016433996188463,0.1266184919354199,0.0697758733374223,0.11948938237349795,0.08782250565771851,0.08260207321853369,0.10625165881058045,0.109662106034856,0.07622499590029506,0.06777890527295348,0.08518406541131975,0.08156831492681457,0.11551878635096544,0.06121452033627316,0.08487299334888572,0.08148937047247327,0.0990249589749978,0.09483013761457906,0.09464333045703749,0.08198888644200505,0.08101803811497783,0.09806429013662415,0.066395670039544,0.09114971201271016,0.09551433138539997,0.07715957490810846,0.0817240019822818,0.11830820977430095,0.09205433178292047,0.06698697634615254,0.10690126285502899,0.07924785486055759,0.09482485170038497,0.06487977342747121,0.05327576841304122,0.08275184287978124,0.09599470037455193,0.08653005258290324,0.10233597852173007,0.06031519294506153,0.08475504409768188,0.08693445807043372,0.08324744740831397,0.09413466417850547
HG02611,0.08638103090378117,0.0605192118256674,0.06845949532387746,0.0741089232144146,0.03953128507903581,0.10016433996188463,0.0,0.07051015884253843,0.11519142763244147,0.06223146310348167,0.12226372111137467,0.11914611827499878,0.09337741964736443,0.07940665904066233,0.11928763557049825,0.09778780598827239,0.07269109298944405,0.09514261663418765,0.07710594983527536,0.10528448366212374,0.10537038246110716,0.067345601192654,0.09379966684375804,0.07715769566284364,0.0662518678981959,0.08727863426979138,0.08325735703227674,0.08381179809549488,0.09441472342807557,0.0610870076202788,0.08019021137271057,0.1250391238772889,0.09545907500075622,0.0697678471790552,0.07206392995112047,0.07612337026170084,0.07157668964125122,0.06778314687295066,0.07161256872923914,0.08340089927572723,0.10366691854203057,0.12324844826609382,0.0645383994223594,0.07593625616265264,0.05957480591659532,0.0842911175628844,0.08370143367947767,0.0831665497661169,0.1259261291392696,0.07526097926548657
HG02836,0.12689339029279656,0.11204924140751692,0.04464216056599411,0.08359766743157371,0.0692699068860353,0.1266184919354199,0.07051015884253843,0.0,0.13450019516714465,0.05465013723679017,0.11602651636587216,0.11922692648894377,0.08897322630994113,0.0781138272010788,0.11695902060123452,0.13038803626100057,0.09079654453777412,0.08603006741831602,0.060774789181041185,0.13189148949041404,0.12285157711645382,0.06971807513120253,0.13035186995206474,0.08444905268858853,0.10797243861282381,0.11698430450278362,0.1202403634392378,0.12061311081304553,0.12863724188585512,0.08062783328355042,0.07355149556603183,0.12678686840520986,0.12892833280547764,0.06432779337113936,0.0785903301939876,0.10107241216078698,0.07497072762085212,0.09270964081475022,0.11483161585556478,0.12326528302810974,0.12684817696758593,0.1269667476152713,0.11760612228961552,0.11802044314439766,0.08985306060452254,0.12297619688378723,0.12162855339105205,0.12368307281111672,0.12729347980159864,0.07665642504056655
HG01890,0.060775303372340314,0.06478717079792881,0.12017000457684937,0.10566193732844388,0.10800348374010905,0.0697758733374223,0.11519142763244147,0.13450019516714465,0.0,0.12349629549099843,0.1258559692664595,0.12432846616925668,0.1276377491183545,0.11212573299648926,0.12410955845542276,0.10076716975285156,0.08531361263010728,0.12459419127712175,0.12765534653903063,0.037863934026986686,0.11373598814799123,0.1369450893606631,0.07290629259535832,0.10662872502285677,0.0899123323020819,0.09835706634502678,0.11782514587302662,0.08279553128037768,0.08932752935125879,0.0973721341041676,0.1366166443007586,0.12156999012914331,0.09605844575049087,0.11968834529727614,0.11190041331469693,0.08638363560304695,0.11950630736492529,0.10418843505879144,0.08748521303626117,0.09052640498771616,0.09077315131689546,0.13727942307571078,0.08649985549120877,0.08671346492904086,0.10444766632146456,0.09857691159698603,0.10655923235459235,0.07634557943980777,0.10964486992103187,0.1311826398575665
NA19921,0.12019488341855487,0.10543231240943167,0.04285087513692106,0.09126188963636464,0.06419334077612723,0.11948938237349795,0.06223146310348167,0.05465013723679017,0.12349629549099843,0.0,0.1261372268602731,0.11875432623698388,0.06713631655073132,0.06616913933247129,0.11320600690776086,0.12279271151008922,0.08332636137501745,0.08879211676719956,0.04908263440362589,0.12421763159873883,0.11780701379799081,0.07244546224574731,0.12863000233227082,0.06520634555010732,0.10885307758625845,0.1141316016710534,0.11359464115881523,0.1181038526043922,0.12631509213075054,0.057471906180324314,0.077043331963253,0.12152748660282578,0.11631304741945332,0.038605148620358916,0.06485832637372013,0.09733285673399297,0.06473073072351339,0.08716121557206508,0.10868951191352365,0.11739914820815354,0.12351714455896395,0.11641416365717704,0.1087445400928249,0.11072331506959139,0.07445676597865368,0.1153439530274561,0.11702952618890672,0.12427602343171429,0.11228046357225285,0.07909484812552585
