,HG02445,NA19238,HG02678,HG03039,HG03159,NA19024,HG02611,HG02836,HG01890,NA19921,HG02003,HG01455,NA19675,HG01085,HG01048,HG02275,HG01577,HG01950,HG00739,HG01241,HG00634,NA18983,HG02390,HG02382,HG02184,NA18941,HG00436,HG02156,HG02017,NA18566,HG00125,HG00368,NA20801,HG01678,HG00117,HG00271,NA20753,HG02224,HG00254,NA10850,HG02684,NA20899,HG03931,HG03598,NA21102,HG03742,NA20883,HG04149,HG03900,NA21101
HG02445,0.0,0.0193,0.00745,0.0278,0.01875,0.02115,0.0101,0.02625,0.01845,0.0198,0.019000000000000003,0.0156,0.0077,0.0237,0.0207,0.01485,0.0023,0.02055,0.0217,0.0181,0.02185,0.0054,0.02315,0.0214,0.019000000000000003,0.0311,0.031,0.0217,0.01815,0.02055,0.01485,0.019000000000000003,0.01915,0.01915,0.01815,0.008,0.018500000000000003,0.00825,0.01995,0.008150000000000001,0.0061,0.0165,0.0172,0.017849999999999998,0.01825,0.002,0.00215,0.0244,0.026500000000000003,0.005
NA19238,0.0193,0.0,0.0184,0.03415,0.0184,0.03285,0.01615,0.03285,0.0008500000000000001,0.0228,0.03405,0.0306,0.017050000000000003,0.0143,0.0344,0.03045,0.018000000000000002,0.0321,0.01815,0.021,0.01845,0.02145,0.01185,0.0354,0.03405,0.02775,0.0276,0.0113,0.0054,0.03485,0.03045,0.03405,0.03415,0.002,0.00785,0.0214,0.017150000000000002,0.0217,0.02325,0.0216,0.02115,0.0213,0.02185,0.0329,0.03345,0.017849999999999998,0.018000000000000002,0.0174,0.0313,0.017249999999999998
HG02678,0.00745,0.0184,0.0,0.02695,0.01245,0.0217,0.00515,0.0261,0.01875,0.0175,0.0173,0.01345,0.00145,0.017849999999999998,0.0177,0.0136,0.0076,0.020800000000000003,0.02445,0.01565,0.0246,0.0079,0.0261,0.0193,0.01745,0.0307,0.0306,0.02475,0.0226,0.01845,0.0136,0.0173,0.01745,0.0186,0.02445,0.0053,0.0127,0.00555,0.01765,0.0053,0.008,0.01895,0.0197,0.01695,0.01775,0.00715,0.0073,0.0224,0.02585,0.01125
HG03039,0.0278,0.03415,0.02695,0.0,0.02495,0.00925,0.0238,0.0064,0.033850000000000005,0.02055,0.0199,0.02855,0.02665,0.0367,0.01295,0.0284,0.0268,0.01535,0.03575,0.02295,0.03605,0.027000000000000003,0.0359,0.0128,0.0192,0.0383,0.0382,0.0343,0.0337,0.01195,0.0284,0.01975,0.0199,0.03455,0.0343,0.0264,0.0245,0.02665,0.02015,0.0265,0.02685,0.02225,0.01915,0.016800000000000002,0.0104,0.0268,0.02695,0.03585,0.0216,0.0248
HG03159,0.01875,0.0184,0.01245,0.02495,0.0,0.0252,0.0117,0.025,0.0187,0.01115,0.02885,0.02545,0.012299999999999998,0.0187,0.02375,0.0253,0.01915,0.02745,0.027,0.00625,0.02715,0.01945,0.02605,0.02415,0.02915,0.0334,0.0333,0.02545,0.0231,0.02335,0.0253,0.02885,0.02885,0.01755,0.025,0.016550000000000002,0.00385,0.01685,0.01155,0.0167,0.01905,0.01215,0.013749999999999998,0.02825,0.025800000000000003,0.01885,0.019,0.02425,0.02005,0.0181
NA19024,0.02115,0.03285,0.0217,0.00925,0.0252,0.0,0.01815,0.006500000000000001,0.03285,0.02465,0.01305,0.023,0.0213,0.0353,0.01395,0.02285,0.02055,0.00625,0.03315,0.0221,0.03345,0.0197,0.03255,0.013750000000000002,0.0124,0.03645,0.0363,0.03085,0.0317,0.01295,0.02285,0.01295,0.01305,0.03385,0.0317,0.02045,0.0244,0.02065,0.02425,0.02055,0.02,0.0228,0.02395,0.00855,0.00445,0.02055,0.0207,0.03325,0.02625,0.01685
HG02611,0.0101,0.01615,0.00515,0.0238,0.0117,0.01815,0.0,0.02255,0.0164,0.016399999999999998,0.020700000000000003,0.01785,0.0037,0.01815,0.02115,0.0177,0.0114,0.01755,0.0243,0.01405,0.02445,0.0104,0.0239,0.0224,0.02085,0.0316,0.03145,0.0226,0.020950000000000003,0.02155,0.0177,0.020700000000000003,0.02085,0.017550000000000003,0.0231,0.008150000000000001,0.01065,0.008400000000000001,0.0159,0.00825,0.01085,0.01755,0.0181,0.0183,0.0214,0.0111,0.01125,0.02215,0.02525,0.00855
HG02836,0.02625,0.03285,0.0261,0.0064,0.025,0.006500000000000001,0.02255,0.0,0.0326,0.0251,0.018500000000000003,0.0274,0.0254,0.035750000000000004,0.01765,0.02725,0.0254,0.0128,0.0342,0.02255,0.034449999999999995,0.0244,0.0334,0.0175,0.0178,0.03715,0.0369,0.03175,0.0316,0.016649999999999998,0.02725,0.01835,0.018500000000000003,0.0336,0.03175,0.02425,0.02425,0.02455,0.0247,0.0244,0.0247,0.0224,0.02385,0.0148,0.00925,0.0254,0.0255,0.03375,0.0263,0.02255
HG01890,0.01845,0.0008500000000000001,0.01875,0.033850000000000005,0.0187,0.03285,0.0164,0.0326,0.0,0.0231,0.0343,0.03085,0.0173,0.0146,0.03475,0.030150000000000007,0.017150000000000002,0.0324,0.01785,0.02125,0.01815,0.02115,0.01155,0.0357,0.0343,0.02745,0.0273,0.011000000000000001,0.00455,0.03515,0.030150000000000007,0.0343,0.034449999999999995,0.00115,0.006999999999999999,0.02175,0.0174,0.022,0.02355,0.02185,0.02085,0.021,0.02155,0.03315,0.03315,0.017,0.017150000000000002,0.0171,0.031,0.0164
NA19921,0.0198,0.0228,0.0175,0.02055,0.01115,0.02465,0.016399999999999998,0.0251,0.0231,0.0,0.02895,0.0261,0.016800000000000002,0.025,0.016999999999999998,0.02595,0.01865,0.02665,0.02545,0.00555,0.0257,0.0182,0.02495,0.018000000000000002,0.02895,0.0337,0.0336,0.024,0.01915,0.01745,0.02595,0.02895,0.02895,0.02385,0.0243,0.01295,0.0104,0.01295,0.0016,0.0128,0.017849999999999998,0.01125,0.00645,0.0278,0.02625,0.01835,0.018500000000000003,0.02,0.0146,0.0175
