depth_bin,depth_range,depth_mean,afr_mean,afr_std,afr_n,non_afr_mean,non_afr_std,non_afr_n,mean_diff,t_stat,p_value
0,0.0-4.0,2.3806171964036977,0.0014243564960830196,0.045088502272137274,9829,0.0019220393849473968,0.17564491507401342,29656,-0.0004976828888643772,-0.27789257019718316,0.7810962825502457
1,4.0-7.0,5.787739544871291,0.5015564569380248,2.324687528575813,10601,0.3818241136808526,1.7364848437268798,27586,0.11973234325717214,5.463062816032185,4.709060944088118e-08
2,7.0-9.5,8.31496289807276,1.018847889567295,3.1037371906508215,11301,0.8203627639853149,2.751254515608216,27511,0.19848512558198006,6.2149503678003954,5.186184841021491e-10
3,9.5-11.4,10.388562830944078,1.1549802544975867,3.5498939365464595,11395,0.9001464128843338,2.82372279544359,27320,0.25483384161325284,7.478997197270626,7.647371419818492e-14
4,11.4-13.4,12.318489807489112,1.2271706922869714,3.5307971069116957,11137,0.9958071278825996,3.110783664786042,27666,0.23136356440437178,6.369260568021645,1.920643381003217e-10
5,13.4-15.5,14.34753944760483,1.4068685042928153,3.9757976001847313,11065,1.092967175352721,3.404323773860427,27784,0.31390132894009426,7.807833785360968,5.963238773711417e-15
6,15.5-17.8,16.580023173180905,1.5313831848120882,4.556902675333071,10324,1.1839797993967875,3.7897744732004184,28514,0.3474033854153007,7.5461756235896384,4.580037875864969e-14
7,17.8-20.9,19.289557107748028,1.6786346133832866,5.094441384795899,9609,1.2530468911381947,4.079508075372914,29046,0.4255877222450919,8.305883613000713,1.0226343613883135e-16
8,20.9-26.1,23.20515906161382,1.930641592920354,5.72413650420295,9040,1.4805378151260504,5.1054306127626035,29750,0.45010377779430355,7.130416325584144,1.0181157382025361e-12
9,26.1-278.9,34.608603769692905,2.4880336971089414,7.109928092015602,10446,1.9347849101880934,6.535221112979859,28337,0.553248786920848,7.219546368328214,5.311735810877931e-13
