depth_bin,depth_range,population,mean_hete,std_hete,n,anova_f,anova_p
0,0.0-7.0,EUR,0.18833372799747414,1.1795889276716383,12669,11.936281952242705,1.0738090230487042e-09
0,0.0-7.0,EAS,0.19028228311132583,1.2985569377103854,14489,11.936281952242705,1.0738090230487042e-09
0,0.0-7.0,AMR,0.1740939698872664,1.17145509305946,13217,11.936281952242705,1.0738090230487042e-09
0,0.0-7.0,SAS,0.18651805300290508,1.2406704895666356,16867,11.936281952242705,1.0738090230487042e-09
0,0.0-7.0,AFR,0.2609397944199706,1.693366133390587,20430,11.936281952242705,1.0738090230487042e-09
1,7.0-11.4,EUR,0.8325145491648401,2.6051123098068065,13231,24.694050703371477,1.8469676027230268e-20
1,7.0-11.4,EAS,0.9028986604102021,3.05081620012225,13213,24.694050703371477,1.8469676027230268e-20
1,7.0-11.4,AMR,0.861647186735526,2.6215250434228294,11037,24.694050703371477,1.8469676027230268e-20
1,7.0-11.4,SAS,0.8476080691642651,2.815324488613697,17350,24.694050703371477,1.8469676027230268e-20
1,7.0-11.4,AFR,1.087195981670779,3.3358292428215943,22696,24.694050703371477,1.8469676027230268e-20
2,11.4-15.5,EUR,1.0582129963898916,3.3466731797420515,13296,26.003259095426284,1.4214424719239181e-21
2,11.4-15.5,EAS,1.0359071463637002,3.278977183380579,14259,26.003259095426284,1.4214424719239181e-21
2,11.4-15.5,AMR,1.0808097432521395,3.175841923435852,12152,26.003259095426284,1.4214424719239181e-21
2,11.4-15.5,SAS,1.0126405386520994,3.237894242278113,15743,26.003259095426284,1.4214424719239181e-21
2,11.4-15.5,AFR,1.3167282226826411,3.7601551887847138,22202,26.003259095426284,1.4214424719239181e-21
3,15.5-20.9,EUR,1.2803496769289244,4.2002127706579575,13155,32.16809401093966,7.884346464532847e-27
3,15.5-20.9,EAS,1.1817783891945972,3.8518347892900193,15992,32.16809401093966,7.884346464532847e-27
3,15.5-20.9,AMR,1.203499817717827,3.619650402950182,13715,32.16809401093966,7.884346464532847e-27
3,15.5-20.9,SAS,1.218397060824602,4.073681332264631,14698,32.16809401093966,7.884346464532847e-27
3,15.5-20.9,AFR,1.6023679325741234,4.823954626828416,19933,32.16809401093966,7.884346464532847e-27
4,20.9-278.9,EUR,1.5495800279981335,5.373881372149445,17144,35.356924323527835,1.486454621798853e-29
4,20.9-278.9,EAS,1.8052368915678267,6.345283468920588,15429,35.356924323527835,1.486454621798853e-29
4,20.9-278.9,AMR,1.6123324800481855,5.538217630654167,13282,35.356924323527835,1.486454621798853e-29
4,20.9-278.9,SAS,1.8834205362982341,6.158972108090186,12232,35.356924323527835,1.486454621798853e-29
4,20.9-278.9,AFR,2.229446782305245,6.509625109226471,19486,35.356924323527835,1.486454621798853e-29
