depth_bin,depth_range,depth_mean,population,mean_hete_variants,n_samples
0,0.0-4.0,2.3806171964036977,EUR,0.0009504197687311896,6313
0,0.0-4.0,2.3806171964036977,EAS,0.00039541320680110717,7587
0,0.0-4.0,2.3806171964036977,AMR,0.000549526033795851,7279
0,0.0-4.0,2.3806171964036977,SAS,0.005190515512563407,8477
0,0.0-4.0,2.3806171964036977,AFR,0.0014243564960830196,9829
1,4.0-7.0,5.787739544871291,EUR,0.3744493392070485,6356
1,4.0-7.0,5.787739544871291,EAS,0.39901477832512317,6902
1,4.0-7.0,5.787739544871291,AMR,0.38683058268777365,5938
1,4.0-7.0,5.787739544871291,SAS,0.3697258641239571,8390
1,4.0-7.0,5.787739544871291,AFR,0.5015564569380248,10601
2,7.0-9.5,8.31496289807276,EUR,0.8311410217191801,6538
2,7.0-9.5,8.31496289807276,EAS,0.8642177275431291,6724
2,7.0-9.5,8.31496289807276,AMR,0.7719138056975895,5476
2,7.0-9.5,8.31496289807276,SAS,0.8089593069645503,8773
2,7.0-9.5,8.31496289807276,AFR,1.018847889567295,11301
3,9.5-11.4,10.388562830944078,EUR,0.8338562677424175,6693
3,9.5-11.4,10.388562830944078,EAS,0.9429804284173217,6489
3,9.5-11.4,10.388562830944078,AMR,0.9500089911886351,5561
3,9.5-11.4,10.388562830944078,SAS,0.8871400256499942,8577
3,9.5-11.4,10.388562830944078,AFR,1.1549802544975867,11395
4,11.4-13.4,12.318489807489112,EUR,1.0294248773963441,6729
4,11.4-13.4,12.318489807489112,EAS,0.995289079229122,7005
4,11.4-13.4,12.318489807489112,AMR,1.0248562732499154,5914
4,11.4-13.4,12.318489807489112,SAS,0.9466201047642804,8018
4,11.4-13.4,12.318489807489112,AFR,1.2271706922869714,11137
5,13.4-15.5,14.34753944760483,EUR,1.087711283691183,6567
5,13.4-15.5,14.34753944760483,EAS,1.0751309622277365,7254
5,13.4-15.5,14.34753944760483,AMR,1.1338570054504649,6238
5,13.4-15.5,14.34753944760483,SAS,1.0811650485436892,7725
5,13.4-15.5,14.34753944760483,AFR,1.4068685042928153,11065
6,15.5-17.8,16.580023173180905,EUR,1.2091483599157389,6646
6,15.5-17.8,16.580023173180905,EAS,1.1638053440041307,7747
6,15.5-17.8,16.580023173180905,AMR,1.1722689075630253,6664
6,15.5-17.8,16.580023173180905,SAS,1.192973045460641,7457
6,15.5-17.8,16.580023173180905,AFR,1.5313831848120882,10324
7,17.8-20.9,19.289557107748028,EUR,1.3530496235980949,6509
7,17.8-20.9,19.289557107748028,EAS,1.1986658580958156,8245
7,17.8-20.9,19.289557107748028,AMR,1.2330165933910084,7051
7,17.8-20.9,19.289557107748028,SAS,1.2445794779726558,7241
7,17.8-20.9,19.289557107748028,AFR,1.6786346133832866,9609
8,20.9-26.1,23.20515906161382,EUR,1.395026106073097,7278
8,20.9-26.1,23.20515906161382,EAS,1.583862846181513,8341
8,20.9-26.1,23.20515906161382,AMR,1.3556434023991275,7336
8,20.9-26.1,23.20515906161382,SAS,1.5801324503311258,6795
8,20.9-26.1,23.20515906161382,AFR,1.930641592920354,9040
9,26.1-278.9,34.608603769692905,EUR,1.6635921346036895,9866
9,26.1-278.9,34.608603769692905,EAS,2.065744920993228,7088
9,26.1-278.9,34.608603769692905,AMR,1.9290279179280188,5946
9,26.1-278.9,34.608603769692905,SAS,2.262460915946294,5437
9,26.1-278.9,34.608603769692905,AFR,2.4880336971089414,10446
