Gene,t,p_value,mean_hete1,mean_hete2,count1,count2,total,fold_change,p.adj
IGHV7-81,17.418756369197144,6.026255466509687e-59,4.587301587301587,2.023880597014925,252,670,922,2.2665870674720234,2.4225546975368946e-56
TRGV10,15.321748867120897,9.824488311838625e-47,1.3116279069767443,0.24207011686143573,215,599,814,5.418380112269447,3.9494443013591274e-44
TRBV14,12.790152214049154,3.14702173469718e-34,0.8744186046511628,0.28426395939086296,215,591,806,3.076079734219269,1.2651027373482664e-31
TRAV13-2,12.337301846546247,3.250707778848441e-32,1.9411764705882353,0.7772277227722773,221,606,827,2.4975646309479207,1.3067845270970733e-29
TRBV21-1,11.782052913333557,1.2545500885059166e-29,1.6981132075471699,0.6955017301038062,212,578,790,2.4415657561250352,5.043291355793784e-27
TRDJ4,11.57218554837091,8.756513254514965e-29,0.4195121951219512,0.09135399673735727,205,613,818,4.592160278745644,3.520118328315016e-26
TRAJ32,11.589821740209926,8.946261597837118e-29,0.2358974358974359,0.008488964346349746,195,589,784,27.78871794871795,3.5963971623305214e-26
TRBV26,11.090161691117624,1.1108724500406668e-26,1.0093023255813953,0.4017094017094017,215,585,800,2.512518555170707,4.4657072491634805e-24
TRBV28,11.04726548066536,1.6987731947298747e-26,0.926829268292683,0.25126475548060706,205,593,798,3.688656081191685,6.829068242814097e-24
IGLV1-62,10.73234083744603,3.354350632495696e-25,0.8755980861244019,0.27058823529411763,209,595,804,3.2359059704597466,1.3484489542632699e-22
IGHV3-73,10.545377062469457,1.7541198144887714e-24,1.3087557603686637,0.5448613376835236,217,613,830,2.4019978476227273,7.051561654244861e-22
IGKV1-27,10.480020721942584,1.769890158573858e-23,1.5608108108108107,0.4751958224543081,148,383,531,3.2845634095634093,7.114958437466909e-21
TRAV39,9.713349207053898,3.2665967930227063e-21,1.1176470588235294,0.5537720706260032,221,623,844,2.018243819266837,1.313171910795128e-18
IGKV1D-33,9.12941638308064,6.795412899954015e-19,1.4941176470588236,0.7075812274368231,170,554,724,2.111584633853542,2.731755985781514e-16
IGHV2-70,8.969261409135635,4.429110418090173e-18,3.9224806201550386,1.7563218390804598,129,435,564,2.233349567758432,1.7805023880722496e-15
TRBV30,8.54604105771859,6.310709833851458e-17,2.470319634703196,1.3976311336717429,219,591,810,1.767504726524926,2.5369053532082863e-14
TRBV15,8.47318160490812,1.1274302757016364e-16,1.1906976744186046,0.6374367622259697,215,593,808,1.8679463516672818,4.532269708320578e-14
IGLV1-44,8.377804581365123,2.7924301803750436e-16,0.5544041450777202,0.16135084427767354,193,533,726,3.436016387516568,1.1225569325107675e-13
TRGV3,7.763934391182906,2.864442387398535e-14,3.4651162790697674,2.0681399631675874,172,543,715,1.6754747458013213,1.151505839734211e-11
TRBV18,7.733744362647611,3.1400964773201966e-14,1.5211267605633803,0.9932088285229203,213,589,802,1.531527627302275,1.262318783882719e-11
TRBV5-4,7.689980215008843,4.0716392702251464e-14,2.41991341991342,1.3693548387096774,231,620,851,1.7671923678990815,1.636798986630509e-11
IGKV1D-39,7.686507319308983,4.519325918505521e-14,1.1585365853658536,0.4189406099518459,164,623,787,2.76539575740585,1.8167690192392195e-11
TRBV16,7.607071278445239,7.967788283196167e-14,0.8883720930232558,0.43944636678200694,215,578,793,2.0215711408167003,3.2030508898448595e-11
TRAV27,7.490469265656766,1.7307371665949466e-13,1.2792792792792793,0.8108974358974359,222,624,846,1.5776092297831428,6.957563409711685e-11
IGKV1D-42,7.463468895179088,2.4789292467416555e-13,1.292817679558011,0.7391304347826086,181,529,710,1.7491062723431916,9.965295571901455e-11
TRAJ24,-7.269661628118854,8.583855378288066e-13,0.08294930875576037,0.3316239316239316,217,585,802,0.2501306475367001,3.450709862071803e-10
IGHV3-30,7.199156796843287,1.8722053963388476e-12,6.338235294117647,3.72,136,450,586,1.7038266919671092,7.526265693282168e-10
TRAV12-3,7.0513798274671275,3.69065217968013e-12,0.7389380530973452,0.38287560581583197,226,619,845,1.9299690078787202,1.4836421762314121e-09
IGLV3-22,7.108327429444104,4.663537307947783e-12,3.3566433566433567,1.263843648208469,143,307,450,2.655900800230697,1.874741997795009e-09
TRGV8,6.980032185878633,6.1290398524396664e-12,0.35909090909090907,0.12100840336134454,220,595,815,2.9674873737373737,2.463874020680746e-09
IGKV2D-40,6.909334387716934,9.475226693224105e-12,2.6818181818181817,1.0296610169491525,154,708,862,2.6045641601197156,3.80904113067609e-09
TRBV23-1,6.890754010920692,1.1455758651058999e-11,1.1194029850746268,0.656896551724138,201,580,781,1.7040780350217415,4.605214977725717e-09
IGKV3D-15,6.784342969984889,2.4522755648691677e-11,1.1546961325966851,0.5842696629213483,181,534,715,1.9763068423289418,9.858147770774055e-09
TRBV27,6.676235325462221,4.6540521249504645e-11,0.7142857142857143,0.38860103626943004,203,579,782,1.8380952380952382,1.870928954230087e-08
