Population,Locus,Alleles,Count,Total,Frequency
ACB,KIR2DL1,KIR2DL1*0010101,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0020102,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0020111,2,90,0.022222222222222223
ACB,KIR2DL1,KIR2DL1*0020121,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0020122,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0020123,4,90,0.044444444444444446
ACB,KIR2DL1,KIR2DL1*0020125,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0020128,2,90,0.022222222222222223
ACB,KIR2DL1,KIR2DL1*0020139,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0020503,2,90,0.022222222222222223
ACB,KIR2DL1,KIR2DL1*0030201,2,90,0.022222222222222223
ACB,KIR2DL1,KIR2DL1*0030204,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0030205,4,90,0.044444444444444446
ACB,KIR2DL1,KIR2DL1*0030206,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0030210,3,90,0.03333333333333333
ACB,KIR2DL1,KIR2DL1*0030219,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0030221,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0030223,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0030237,2,90,0.022222222222222223
ACB,KIR2DL1,KIR2DL1*0030239,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0030253,4,90,0.044444444444444446
ACB,KIR2DL1,KIR2DL1*0030258,2,90,0.022222222222222223
ACB,KIR2DL1,KIR2DL1*0030265,6,90,0.06666666666666667
ACB,KIR2DL1,KIR2DL1*0030267,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0030273,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0030282,8,90,0.08888888888888889
ACB,KIR2DL1,KIR2DL1*0030285,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*00303,5,90,0.05555555555555555
ACB,KIR2DL1,KIR2DL1*0040101,3,90,0.03333333333333333
ACB,KIR2DL1,KIR2DL1*0040102,4,90,0.044444444444444446
ACB,KIR2DL1,KIR2DL1*0040109,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0040115,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0040134,2,90,0.022222222222222223
ACB,KIR2DL1,KIR2DL1*0040904,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*0070103,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*01102,2,90,0.022222222222222223
ACB,KIR2DL1,KIR2DL1*01103,2,90,0.022222222222222223
ACB,KIR2DL1,KIR2DL1*01202,4,90,0.044444444444444446
ACB,KIR2DL1,KIR2DL1*014,3,90,0.03333333333333333
ACB,KIR2DL1,KIR2DL1*0320101N,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*082,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*1110103,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*1210101,1,90,0.011111111111111112
ACB,KIR2DL1,KIR2DL1*1260101,1,90,0.011111111111111112
ACB,KIR2DL2,KIR2DL2*0010102,7,42,0.16666666666666666
ACB,KIR2DL2,KIR2DL2*0010104,1,42,0.023809523809523808
ACB,KIR2DL2,KIR2DL2*0010107,6,42,0.14285714285714285
ACB,KIR2DL2,KIR2DL2*0030101,2,42,0.047619047619047616
ACB,KIR2DL2,KIR2DL2*0030102,1,42,0.023809523809523808
ACB,KIR2DL2,KIR2DL2*0030103,3,42,0.07142857142857142
ACB,KIR2DL2,KIR2DL2*0030104,1,42,0.023809523809523808
ACB,KIR2DL2,KIR2DL2*0030105,2,42,0.047619047619047616
ACB,KIR2DL2,KIR2DL2*0030106,8,42,0.19047619047619047
ACB,KIR2DL2,KIR2DL2*0030107,7,42,0.16666666666666666
ACB,KIR2DL2,KIR2DL2*0030108,4,42,0.09523809523809523
ACB,KIR2DL3,KIR2DL3*0010101,11,88,0.125
ACB,KIR2DL3,KIR2DL3*0010102,1,88,0.011363636363636364
ACB,KIR2DL3,KIR2DL3*0010103,2,88,0.022727272727272728
ACB,KIR2DL3,KIR2DL3*0010104,1,88,0.011363636363636364
