y,x,Type
KIR3DL2,1,KIR
KIR2DL4,1,KIR
KIR2DL2,1,KIR
KIR2DS4,1,KIR
KIR3DL3,1,KIR
KIR3DL1,1,KIR
KIR3DP1,1,KIR
KIR2DS2,1,KIR
KIR2DP1,1,KIR
KIR2DL1,1,KIR
KIR2DL3,1,KIR
KIR2DS1,1,KIR
KIR2DS5,1,KIR
KIR3DS1,1,KIR
KIR2DL5B,1,KIR
KIR2DS3,1,KIR
KIR2DL5A,1,KIR
HLA-T,1,HLA
HLA-A,1,HLA
HLA-U,1,HLA
HLA-DMA,1,HLA
HLA-J,1,HLA
HLA-DPA1,1,HLA
HLA-DQA1,1,HLA
HLA-DPA2,1,HLA
HLA-G,1,HLA
HLA-P,1,HLA
MICA,1,HLA
HLA-DQB1,1,HLA
HLA-E,1,HLA
MICB,1,HLA
TAP1,1,HLA
HLA-DQB2,1,HLA
TAP2,1,HLA
HLA-B,1,HLA
HLA-DOA,1,HLA
HLA-K,1,HLA
HLA-DQA2,1,HLA
HLA-H,1,HLA
HLA-DOB,1,HLA
HLA-DRA,1,HLA
HLA-DRB1,1,HLA
HLA-F,1,HLA
HLA-N,1,HLA
HLA-DRB3,1,HLA
HLA-DMB,1,HLA
HLA-C,1,HLA
HLA-DRB4,1,HLA
HLA-W,1,HLA
HLA-DPB1,1,HLA
HLA-L,1,HLA
HLA-DRB5,1,HLA
HLA-DPB2,1,HLA
HLA-V,1,HLA
HLA-S,1,HLA
HLA-Y,1,HLA
