"","X.1","X","gene1","gene2","D","Wn","hap_num","sample_num","Wab","min_w"
"1",1,1,"CYP2A13","CYP2A6",0.193768385192115,0.227138352900303,119,983,0.116399947631306,0.116399947631306
"2",2,2,"CYP2A6","CYP2A13",0.193768385192115,0.227138352900303,119,983,0.227344244104465,0.116399947631306
"3",3,3,"CYP2A13","CYP2B6",0.200197706676371,0.204991430089295,131,984,0.0970124971447349,0.0970124971447349
"4",4,4,"CYP2B6","CYP2A13",0.200197706676371,0.204991430089295,131,984,0.230547284655432,0.0970124971447349
"5",5,5,"CYP2A13","CYP2C19",0.14421672962536,0.176067544483621,112,984,0.0841137815932364,0.0841137815932364
"6",6,6,"CYP2C19","CYP2A13",0.14421672962536,0.176067544483621,112,984,0.210903032035005,0.0841137815932364
"7",7,7,"CYP2A13","CYP2C8",0.134726424419307,0.115328874909411,68,984,0.0783815046591289,0.0783815046591289
"8",8,8,"CYP2C8","CYP2A13",0.134726424419307,0.115328874909411,68,984,0.196550349098244,0.0783815046591289
"9",9,9,"CYP2A13","CYP2C9",0.263598785548081,0.290894270947127,219,984,0.104640368299899,0.104640368299899
"10",10,10,"CYP2C9","CYP2A13",0.263598785548081,0.290894270947127,219,984,0.287700216428393,0.104640368299899
"11",11,11,"CYP2A13","CYP3A4",0.170130078298526,0.22582146219999,147,984,0.109042938799027,0.109042938799027
"12",12,12,"CYP3A4","CYP2A13",0.170130078298526,0.22582146219999,147,984,0.201857449277013,0.109042938799027
"13",13,13,"CYP2A13","CYP3A5",0.106606604556492,0.10110741229462,38,984,0.0963797236917919,0.0963797236917919
"14",14,14,"CYP3A5","CYP2A13",0.106606604556492,0.10110741229462,38,984,0.11873617350891,0.0963797236917919
"15",15,15,"CYP2A13","CYP4F2",0.11460379888595,0.0881824079648965,75,984,0.0809304577087519,0.0809304577087519
"16",16,16,"CYP4F2","CYP2A13",0.11460379888595,0.0881824079648965,75,984,0.122901515849936,0.0809304577087519
"17",17,151,"CYP2A13","NAT2",0.131373482516727,0.207338074101265,114,965,0.0920592534270966,0.0920592534270966
"18",18,152,"NAT2","CYP2A13",0.131373482516727,0.207338074101265,114,965,0.198871276434352,0.0920592534270966
"19",19,153,"CYP2A13","NUDT15",0.095616878376425,0.133688177946161,74,982,0.079034675681001,0.079034675681001
"20",20,154,"NUDT15","CYP2A13",0.095616878376425,0.133688177946161,74,982,0.147343078695471,0.079034675681001
"21",21,155,"CYP2A13","SLCO1B1",0.293097838316253,0.19567823364751,143,984,0.104111419653867,0.104111419653867
"22",22,156,"SLCO1B1","CYP2A13",0.293097838316253,0.19567823364751,143,984,0.266364302097017,0.104111419653867
"23",23,277,"CYP2A6","CYP2B6",0.422874091407956,0.20030493657321,283,1008,0.24908889601353,0.24908889601353
"24",24,278,"CYP2B6","CYP2A6",0.422874091407956,0.20030493657321,283,1008,0.328386780273218,0.24908889601353
"25",25,279,"CYP2A6","CYP2C19",0.49290906325454,0.210970823919909,264,1008,0.350598111687439,0.350598111687439
"26",26,280,"CYP2C19","CYP2A6",0.49290906325454,0.210970823919909,264,1008,0.37411865985467,0.350598111687439
"27",27,281,"CYP2A6","CYP2C8",0.253860548395791,0.174117651813898,176,1007,0.21411987840119,0.21411987840119
"28",28,282,"CYP2C8","CYP2A6",0.253860548395791,0.174117651813898,176,1007,0.227522759765992,0.21411987840119
"29",29,283,"CYP2A6","CYP2C9",0.448060778172628,0.279216941121068,445,1008,0.286006537916414,0.286006537916414
