gene1,gene2,D,Wn,hap_num,sample_num,Wab,min_w
CYP2A13,CYP2A6,0.237399966002066,0.270179787012228,92,510,0.125609727332885,0.125609727332885
CYP2A6,CYP2A13,0.237399966002066,0.270179787012228,92,510,0.300740159124429,0.125609727332885
CYP2A13,CYP2B6,0.275837347745256,0.227434348186491,86,510,0.124159312812236,0.124159312812236
CYP2B6,CYP2A13,0.275837347745256,0.227434348186491,86,510,0.276705568380437,0.124159312812236
CYP2A13,CYP2C19,0.200869320578086,0.263257430466835,93,510,0.110793474254546,0.110793474254546
CYP2C19,CYP2A13,0.200869320578086,0.263257430466835,93,510,0.265331715047127,0.110793474254546
CYP2A13,CYP2C8,0.131865184657302,0.13831759285169,56,510,0.0944529415986309,0.0944529415986309
CYP2C8,CYP2A13,0.131865184657302,0.13831759285169,56,510,0.200215392063856,0.0944529415986309
CYP2A13,CYP2C9,0.316334102242747,0.347076278469775,165,510,0.116532448383655,0.116532448383655
CYP2C9,CYP2A13,0.316334102242747,0.347076278469775,165,510,0.377822335874056,0.116532448383655
CYP2A13,CYP3A4,0.217936220010622,0.310008651235265,109,510,0.136594874189523,0.136594874189523
CYP3A4,CYP2A13,0.217936220010622,0.310008651235265,109,510,0.293037126922407,0.136594874189523
CYP2A13,CYP3A5,0.124448639226987,0.113377878236009,33,510,0.106286122437452,0.106286122437452
CYP3A5,CYP2A13,0.124448639226987,0.113377878236009,33,510,0.135618800366326,0.106286122437452
CYP2A13,CYP4F2,0.163717216127146,0.128945065565806,58,510,0.11791084354802,0.11791084354802
CYP4F2,CYP2A13,0.163717216127146,0.128945065565806,58,510,0.16711390324249,0.11791084354802
CYP2A13,NAT2,0.177468135757779,0.250368692107351,87,503,0.120622878084978,0.120622878084978
NAT2,CYP2A13,0.177468135757779,0.250368692107351,87,503,0.253041185391174,0.120622878084978
CYP2A13,NUDT15,0.1410590569089,0.168767264493175,56,509,0.0958551504818383,0.0958551504818383
NUDT15,CYP2A13,0.1410590569089,0.168767264493175,56,509,0.162655894790835,0.0958551504818383
CYP2A13,SLCO1B1,0.383847110304584,0.296226030910784,112,510,0.135479282564014,0.135479282564014
SLCO1B1,CYP2A13,0.383847110304584,0.296226030910784,112,510,0.345286141305859,0.135479282564014
CYP2A6,CYP2B6,0.39795262479078,0.236346421257917,191,517,0.267098933746344,0.267098933746344
CYP2B6,CYP2A6,0.39795262479078,0.236346421257917,191,517,0.332013893175949,0.267098933746344
CYP2A6,CYP2C19,0.544215907455472,0.28513800377587,195,517,0.384575958281365,0.384575958281365
CYP2C19,CYP2A6,0.544215907455472,0.28513800377587,195,517,0.421263696172981,0.384575958281365
CYP2A6,CYP2C8,0.310042755581254,0.257483565750222,124,517,0.275585445924409,0.275585445924409
CYP2C8,CYP2A6,0.310042755581254,0.257483565750222,124,517,0.285453219470416,0.275585445924409
CYP2A6,CYP2C9,0.46122215168448,0.365651798925457,299,517,0.298742590700664,0.298742590700664
CYP2C9,CYP2A6,0.46122215168448,0.365651798925457,299,517,0.419272845717892,0.298742590700664
CYP2A6,CYP3A4,0.392095047424912,0.296468637542975,213,517,0.299878924069208,0.299878924069208
CYP3A4,CYP2A6,0.392095047424912,0.296468637542975,213,517,0.326780552240571,0.299878924069208
CYP2A6,CYP3A5,0.296653603842398,0.260274721731729,101,517,0.300066620786251,0.180493293372771
CYP3A5,CYP2A6,0.296653603842398,0.260274721731729,101,517,0.180493293372771,0.180493293372771
CYP2A6,CYP4F2,0.258598330171342,0.210955137668571,159,516,0.26667804309972,0.195318770532669
CYP4F2,CYP2A6,0.258598330171342,0.210955137668571,159,516,0.195318770532669,0.195318770532669
CYP2A6,NAT2,0.325798590607578,0.221396541221882,187,507,0.238542348170825,0.238542348170825
NAT2,CYP2A6,0.325798590607578,0.221396541221882,187,507,0.29341210643726,0.238542348170825
CYP2A6,NUDT15,0.430122138539838,0.275379904215244,146,515,0.336922680735471,0.264610345536462
NUDT15,CYP2A6,0.430122138539838,0.275379904215244,146,515,0.264610345536462,0.264610345536462
CYP2A6,SLCO1B1,0.405479001668707,0.265838701915241,235,517,0.236673711861302,0.236673711861302
SLCO1B1,CYP2A6,0.405479001668707,0.265838701915241,235,517,0.339927216669692,0.236673711861302
CYP2B6,CYP2C19,0.345274229176335,0.205366437416811,188,519,0.26423049495567,0.242176479663232
CYP2C19,CYP2B6,0.345274229176335,0.205366437416811,188,519,0.242176479663232,0.242176479663232
CYP2B6,CYP2C8,0.198519517247465,0.197739678415421,137,519,0.205547073996922,0.168440179015593
CYP2C8,CYP2B6,0.198519517247465,0.197739678415421,137,519,0.168440179015593,0.168440179015593
CYP2B6,CYP2C9,0.38954933920029,0.310267663564817,305,519,0.229120549303001,0.229120549303001
CYP2C9,CYP2B6,0.38954933920029,0.310267663564817,305,519,0.335183461338932,0.229120549303001
CYP2B6,CYP3A4,0.332104526916006,0.277962547656789,217,519,0.245915478073827,0.245915478073827
CYP3A4,CYP2B6,0.332104526916006,0.277962547656789,217,519,0.27430702258335,0.245915478073827
CYP2B6,CYP3A5,0.191832271624467,0.224344118402808,98,519,0.232843698659531,0.104374432241998
CYP3A5,CYP2B6,0.191832271624467,0.224344118402808,98,519,0.104374432241998,0.104374432241998
CYP2B6,CYP4F2,0.243287738110794,0.211579422850137,151,516,0.227320960692598,0.166780580674775
CYP4F2,CYP2B6,0.243287738110794,0.211579422850137,151,516,0.166780580674775,0.166780580674775
CYP2B6,NAT2,0.291144867088737,0.231251727418387,183,508,0.222090954632966,0.222090954632966
NAT2,CYP2B6,0.291144867088737,0.231251727418387,183,508,0.233912083237463,0.222090954632966
CYP2B6,NUDT15,0.32563531269511,0.181726902046255,135,516,0.261443521234524,0.219492516286603
NUDT15,CYP2B6,0.32563531269511,0.181726902046255,135,516,0.219492516286603,0.219492516286603
CYP2B6,SLCO1B1,0.318580818484066,0.235998707686871,267,519,0.203928032053869,0.203928032053869
SLCO1B1,CYP2B6,0.318580818484066,0.235998707686871,267,519,0.248007721180341,0.203928032053869
CYP2C19,CYP2C8,0.326555842884989,0.265348469908159,128,519,0.294192567991984,0.264984632390985
CYP2C8,CYP2C19,0.326555842884989,0.265348469908159,128,519,0.264984632390985,0.264984632390985
CYP2C19,CYP2C9,0.472764346540507,0.428593327592629,269,519,0.349232791507246,0.349232791507246
CYP2C9,CYP2C19,0.472764346540507,0.428593327592629,269,519,0.441850210878358,0.349232791507246
CYP2C19,CYP3A4,0.339727129731005,0.290973707464534,214,519,0.271629883098018,0.271629883098018
CYP3A4,CYP2C19,0.339727129731005,0.290973707464534,214,519,0.292402830449038,0.271629883098018
CYP2C19,CYP3A5,0.218020952847324,0.257138109436055,105,519,0.277441030845721,0.121540176478814
CYP3A5,CYP2C19,0.218020952847324,0.257138109436055,105,519,0.121540176478814,0.121540176478814
CYP2C19,CYP4F2,0.272644732257803,0.235303552756253,147,516,0.268668336157707,0.190925354791349
CYP4F2,CYP2C19,0.272644732257803,0.235303552756253,147,516,0.190925354791349,0.190925354791349
CYP2C19,NAT2,0.324822273055871,0.236800534597938,174,508,0.247445133583582,0.247445133583582
NAT2,CYP2C19,0.324822273055871,0.236800534597938,174,508,0.261214034827881,0.247445133583582
CYP2C19,NUDT15,0.268171381475428,0.259988679908789,131,516,0.233454839378567,0.201651328561776
NUDT15,CYP2C19,0.268171381475428,0.259988679908789,131,516,0.201651328561776,0.201651328561776
CYP2C19,SLCO1B1,0.347970023719491,0.255010363222749,229,519,0.217146900153766,0.217146900153766
SLCO1B1,CYP2C19,0.347970023719491,0.255010363222749,229,519,0.302751410284478,0.217146900153766
CYP2C8,CYP2C9,0.368409462360919,0.395706993417726,208,519,0.30034442856284,0.30034442856284
CYP2C9,CYP2C8,0.368409462360919,0.395706993417726,208,519,0.427913812560184,0.30034442856284
CYP2C8,CYP3A4,0.224620934497706,0.344916904899531,162,519,0.199192133487504,0.199192133487504
CYP3A4,CYP2C8,0.224620934497706,0.344916904899531,162,519,0.257202172888522,0.199192133487504
CYP2C8,CYP3A5,0.15009618070641,0.213709357409049,62,519,0.234123338666342,0.117755403679077
CYP3A5,CYP2C8,0.15009618070641,0.213709357409049,62,519,0.117755403679077,0.117755403679077
CYP2C8,CYP4F2,0.190003813291765,0.164753658155657,98,516,0.181942662151819,0.181942662151819
CYP4F2,CYP2C8,0.190003813291765,0.164753658155657,98,516,0.186967837979969,0.181942662151819
