,KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,KIR2DL5B,KIR2DP1,KIR2DS1,KIR2DS2,KIR2DS3,KIR2DS4,KIR2DS5,KIR3DL1,KIR3DL2,KIR3DL3,KIR3DP1,KIR3DS1
HG03198,0,12,0,18,0,0,0,0,16,0,20,0,21,17,12,3,0
HG03812,16,0,22,19,0,0,13,0,0,0,20,0,21,13,15,3,0
HG03650,5,4,8,6,2,1,7,0,3,5,13,0,12,10,8,3,2
HG03397,15,0,9,8,0,0,11,0,0,0,15,0,13,12,7,4,0
HG03727,4,3,10,6,3,2,7,9,5,0,0,6,0,11,12,4,2
HG03307,35,0,18,13,0,0,16,0,0,0,18,0,23,26,16,4,0
HG03394,26,0,21,22,0,0,24,0,0,0,22,0,23,28,21,7,4
HG03484,11,0,17,6,0,0,13,0,0,0,6,0,12,10,8,0,0
HG03593,27,3,11,21,6,5,21,8,12,14,7,3,7,12,13,9,9
HG03705,13,7,9,13,5,3,13,5,5,3,6,3,8,23,15,3,6
HG03792,15,0,17,17,0,0,15,0,0,0,19,0,12,23,18,3,1
HG03372,16,0,14,14,0,0,10,0,0,0,15,0,12,16,11,3,0
HG03761,6,6,4,12,0,0,5,0,7,0,9,0,10,14,11,3,1
HG03598,14,8,0,13,7,2,11,4,13,7,5,8,3,37,18,11,17
HG03449,12,0,10,12,2,3,12,0,0,2,7,0,10,12,14,5,1
HG03539,11,8,8,21,0,0,11,0,10,0,8,0,20,28,20,3,2
HG03729,12,0,14,10,0,0,16,0,0,0,17,0,15,28,13,3,0
HG03797,10,7,8,17,5,3,11,5,6,3,3,5,6,20,13,2,2
HG03301,6,5,5,10,0,0,7,0,6,0,10,0,10,18,10,4,0
HG03228,15,0,13,14,6,1,12,8,0,0,0,7,0,23,10,4,14
HG03730,9,0,7,7,0,0,18,0,0,0,9,0,10,12,8,2,0
HG03595,9,6,0,5,3,8,9,7,9,4,8,5,6,22,9,1,0
HG03455,12,0,10,11,0,0,10,0,0,0,5,0,13,9,9,1,0
HG03794,0,15,0,21,7,1,0,4,20,0,7,5,10,19,11,6,6
HG03816,20,0,18,18,4,0,23,9,0,0,9,6,11,21,23,5,9
HG03303,6,2,3,12,0,0,5,0,0,0,16,0,16,18,9,2,0
HG03461,5,5,7,8,0,7,4,3,0,0,7,7,8,16,12,1,0
HG03258,9,2,5,11,0,0,9,0,0,0,24,0,17,16,12,3,0
HG03687,23,26,0,28,17,8,18,30,35,8,1,27,0,35,28,7,25
HG03709,9,0,13,16,4,0,6,4,0,0,6,5,10,17,14,5,6
HG03457,6,4,0,4,2,2,6,4,6,2,6,3,5,8,7,2,0
HG03485,15,4,6,13,2,3,15,0,10,0,5,7,14,14,16,5,1
HG03373,19,0,12,13,0,0,16,0,0,0,17,0,15,11,10,0,0
HG03824,5,5,5,3,3,4,9,8,2,0,0,6,0,7,6,0,3
HG03342,12,0,13,16,0,0,14,0,0,0,17,0,16,16,11,3,0
HG03689,6,6,0,9,2,3,5,4,5,3,4,4,3,5,9,1,2
HG03703,4,4,3,7,0,0,5,0,7,0,8,0,8,9,4,3,0
HG03690,11,3,7,9,0,3,14,0,4,5,11,0,8,15,10,3,0
HG03311,4,9,6,11,0,0,5,0,5,0,8,0,9,14,13,2,0
HG03821,7,11,7,13,0,0,4,0,6,0,14,0,15,17,14,9,1
HG03740,5,4,4,9,3,0,8,3,2,0,3,3,3,9,7,5,4
HG03830,14,4,5,10,0,2,10,0,4,6,8,0,6,12,13,4,0
HG03577,17,0,20,21,3,7,13,0,0,7,20,0,14,27,23,5,1
HG03518,10,0,7,12,0,0,10,0,0,0,8,0,9,9,9,2,0
HG03600,9,3,6,11,3,3,8,0,4,3,6,0,8,7,9,4,0
HG03686,13,0,18,10,0,0,14,0,0,0,14,0,13,19,17,4,1
HG03708,10,4,7,8,7,2,7,3,6,3,4,3,5,13,13,8,4
HG03695,12,0,7,8,0,0,12,0,0,0,8,0,7,11,8,6,2
HG03714,20,0,11,8,10,0,16,8,0,0,6,5,5,10,16,4,6
HG03633,4,2,4,9,0,0,3,0,3,0,8,0,7,7,7,3,1
HG03742,5,4,6,7,0,4,8,6,6,0,6,7,4,15,15,1,0
