Superpopulation,Locus,Diversity
AFR,KIR2DL1,4.084582338063143
AFR,KIR2DL2,2.3296885651792176
AFR,KIR2DL3,2.6621666845445326
AFR,KIR2DL4,3.05727558144157
AFR,KIR2DL5A,3.1063534458707096
AFR,KIR2DL5B,2.78201388205518
AFR,KIR2DP1,3.262387999925389
AFR,KIR2DS1,2.6579252493158476
AFR,KIR2DS2,3.0123876102829397
AFR,KIR2DS3,3.280534483502398
AFR,KIR2DS4,2.4771444318849447
AFR,KIR2DS5,3.039962189884161
AFR,KIR3DL1,3.591484888248052
AFR,KIR3DL2,3.5964348239829436
AFR,KIR3DL3,3.4554607807858773
AFR,KIR3DP1,4.154663355761855
AFR,KIR3DS1,2.4687569901313564
AMR,KIR2DL1,4.142866951030089
AMR,KIR2DL2,2.4873046200903204
AMR,KIR2DL3,2.7433796756481104
AMR,KIR2DL4,2.8966672084075866
AMR,KIR2DL5A,3.123271100108134
AMR,KIR2DL5B,2.676070533249059
AMR,KIR2DP1,3.4931415107965096
AMR,KIR2DS1,2.6489539924582073
AMR,KIR2DS2,3.3901477699224825
AMR,KIR2DS3,3.0919192667219066
AMR,KIR2DS4,2.3269889747464307
AMR,KIR2DS5,3.456394780414672
AMR,KIR3DL1,4.093135140701536
AMR,KIR3DL2,3.7692063654851493
AMR,KIR3DL3,3.536079986350954
AMR,KIR3DP1,4.045953085030585
AMR,KIR3DS1,2.614550755461772
EAS,KIR2DL1,3.363290657468
EAS,KIR2DL2,2.2057572154679663
EAS,KIR2DL3,2.4837182919896534
EAS,KIR2DL4,2.4444320550800818
EAS,KIR2DL5A,3.042589307236789
EAS,KIR2DL5B,2.759307566601721
EAS,KIR2DP1,2.5653428994935643
EAS,KIR2DS1,2.544827137345723
EAS,KIR2DS2,2.747097483543145
EAS,KIR2DS3,2.8716150324731977
EAS,KIR2DS4,2.1284859921464694
EAS,KIR2DS5,3.130557531604919
EAS,KIR3DL1,3.5194174649316694
EAS,KIR3DL2,3.1681309180197617
EAS,KIR3DL3,2.9209537935136156
EAS,KIR3DP1,4.044249048307341
EAS,KIR3DS1,2.810868206105419
EUR,KIR2DL1,4.292937016455533
EUR,KIR2DL2,2.396624478297455
EUR,KIR2DL3,2.676460262903571
EUR,KIR2DL4,2.850324483791909
EUR,KIR2DL5A,3.037743845032514
EUR,KIR2DL5B,2.7848455206475466
EUR,KIR2DP1,3.5783711838660524
EUR,KIR2DS1,2.698357389406452
EUR,KIR2DS2,3.363778321151581
EUR,KIR2DS3,3.26423093957667
EUR,KIR2DS4,2.3160240208179776
EUR,KIR2DS5,3.390846545830505
EUR,KIR3DL1,4.038186518654315
EUR,KIR3DL2,3.8454219791430972
EUR,KIR3DL3,3.877004762677558
EUR,KIR3DP1,4.037112380291884
EUR,KIR3DS1,2.8073330861523154
SAS,KIR2DL1,4.152215441354981
SAS,KIR2DL2,2.2764895567295587
SAS,KIR2DL3,2.629082212597919
SAS,KIR2DL4,2.7214636350301693
SAS,KIR2DL5A,3.1122756075049085
SAS,KIR2DL5B,2.57461942229317
SAS,KIR2DP1,3.456811951055749
SAS,KIR2DS1,2.6761509223374635
SAS,KIR2DS2,3.082566729290015
SAS,KIR2DS3,3.2427323084071453
SAS,KIR2DS4,2.3010928512921702
SAS,KIR2DS5,3.443380967275261
SAS,KIR3DL1,4.058680979491679
SAS,KIR3DL2,3.618287350190328
SAS,KIR3DL3,3.695202974534898
SAS,KIR3DP1,4.080058656951037
SAS,KIR3DS1,2.8336084648538016
