KIR,gene,ALD,type,class
KIR2DL1,HLA-A,0.392155175175173,Wab,class I
KIR2DL1,HLA-B,0.34357636526863,Wab,class I
KIR2DL1,HLA-C,0.292323602709192,Wab,class I
KIR2DL1,HLA-DPB1,0.377553261656332,Wab,class II
KIR2DL1,HLA-DQB1,0.33226764371531,Wab,class II
KIR2DL1,HLA-DRB1,0.364083307779564,Wab,class II
KIR2DL3,HLA-A,0.174456474651384,Wab,class I
KIR2DL3,HLA-B,0.158313342191778,Wab,class I
KIR2DL3,HLA-C,0.167860093455479,Wab,class I
KIR2DL3,HLA-DPB1,0.153728008786275,Wab,class II
KIR2DL3,HLA-DQB1,0.162199868924215,Wab,class II
KIR2DL3,HLA-DRB1,0.1466436123477,Wab,class II
KIR2DL4,HLA-A,0.223448124975239,Wab,class I
KIR2DL4,HLA-B,0.212026713874503,Wab,class I
KIR2DL4,HLA-C,0.227312940678885,Wab,class I
KIR2DL4,HLA-DPB1,0.206355153497018,Wab,class II
KIR2DL4,HLA-DQB1,0.21419424258903,Wab,class II
KIR2DL4,HLA-DRB1,0.192683549360533,Wab,class II
KIR2DP1,HLA-A,0.283617883002365,Wab,class I
KIR2DP1,HLA-B,0.266808412512015,Wab,class I
KIR2DP1,HLA-C,0.278672971804765,Wab,class I
KIR2DP1,HLA-DPB1,0.261654962584737,Wab,class II
KIR2DP1,HLA-DQB1,0.26784570946192,Wab,class II
KIR2DP1,HLA-DRB1,0.247704679834209,Wab,class II
KIR2DS4,HLA-A,0.157178007491015,Wab,class I
KIR2DS4,HLA-B,0.140604727645412,Wab,class I
KIR2DS4,HLA-C,0.157448346348562,Wab,class I
KIR2DS4,HLA-DPB1,0.144541456372898,Wab,class II
KIR2DS4,HLA-DQB1,0.148841416725314,Wab,class II
KIR2DS4,HLA-DRB1,0.124900034278374,Wab,class II
KIR3DL1,HLA-A,0.363039681979296,Wab,class I
KIR3DL1,HLA-B,0.340837816254926,Wab,class I
KIR3DL1,HLA-C,0.298825078273735,Wab,class I
KIR3DL1,HLA-DPB1,0.341974356878258,Wab,class II
KIR3DL1,HLA-DQB1,0.337678164863478,Wab,class II
KIR3DL1,HLA-DRB1,0.325858779261182,Wab,class II
KIR3DL2,HLA-A,0.284611897268784,Wab,class I
KIR3DL2,HLA-B,0.267281896356154,Wab,class I
KIR3DL2,HLA-C,0.2843446637167,Wab,class I
KIR3DL2,HLA-DPB1,0.264708797022933,Wab,class II
KIR3DL2,HLA-DQB1,0.268597649926095,Wab,class II
KIR3DL2,HLA-DRB1,0.247809188162793,Wab,class II
KIR3DL3,HLA-A,0.280917589061431,Wab,class I
KIR3DL3,HLA-B,0.266315342795549,Wab,class I
KIR3DL3,HLA-C,0.273377503084822,Wab,class I
KIR3DL3,HLA-DPB1,0.265698838497852,Wab,class II
KIR3DL3,HLA-DQB1,0.266536694946233,Wab,class II
KIR3DL3,HLA-DRB1,0.246227656139545,Wab,class II
