Class,ALD,type
other,0.392241458772495,Wba
other,0.39249813701016,Wab
other,0.380104155406207,Wba
other,0.343804854592818,Wab
other,0.387529079963622,Wba
other,0.292508752810621,Wab
other,0.421870713479688,Wba
other,0.10854199697915,Wab
other,0.43264014086359,Wba
other,0.125881882272059,Wab
other,0.422430443617333,Wba
other,0.207913867808433,Wab
other,0.435540556567527,Wba
other,0.11174253161554,Wab
other,0.430241010336972,Wba
other,0.185835878570734,Wab
other,0.454111443591987,Wba
other,0.0798094954324046,Wab
other,0.376476863748677,Wba
other,0.424425628602254,Wab
other,0.456958354000761,Wba
other,0.0915852183843658,Wab
other,0.390381222552431,Wba
other,0.213538253182156,Wab
other,0.430417490275131,Wba
other,0.127754229704901,Wab
other,0.382654059592797,Wba
other,0.330628750637842,Wab
other,0.436599090923582,Wba
other,0.135072793722976,Wab
other,0.391964267928491,Wba
other,0.199988979823493,Wab
other,0.365141627107199,Wba
other,0.406362420839782,Wab
other,0.441396502186513,Wba
other,0.162605375046793,Wab
other,0.397062932033826,Wba
other,0.136269233195871,Wab
other,0.425243115087992,Wba
other,0.104100867694411,Wab
other,0.383160002282868,Wba
other,0.126929534751398,Wab
other,0.413591309995576,Wba
other,0.200581172902891,Wab
other,0.414809420375382,Wba
other,0.234538171511495,Wab
other,0.442169405248328,Wba
other,0.177289102356729,Wab
other,0.433892111798116,Wba
other,0.140534454651957,Wab
other,0.45260415446756,Wba
other,0.089122976692626,Wab
other,0.458990346157622,Wba
other,0.0765389808705918,Wab
other,0.446428819346553,Wba
other,0.0735223367200592,Wab
other,0.389986144394449,Wba
other,0.0794690386907354,Wab
other,0.42741520610979,Wba
other,0.0805781775037827,Wab
other,0.427718841216886,Wba
other,0.107223577680971,Wab
other,0.41634816207724,Wba
other,0.175968213359498,Wab
other,0.434957786148395,Wba
other,0.14876991878959,Wab
other,0.45712206049368,Wba
other,0.0916425542655983,Wab
other,0.424825303795228,Wba
other,0.114513728776706,Wab
other,0.174641611845139,Wba
other,0.429094942819007,Wab
other,0.160248649614727,Wba
other,0.393071367780105,Wab
other,0.168712756772131,Wba
other,0.324701414526477,Wab
other,0.196388255925372,Wba
other,0.116053512566008,Wab
other,0.175883898022051,Wba
other,0.146469752073009,Wab
other,0.183274599886566,Wba
other,0.23828805675661,Wab
other,0.185380858072856,Wba
other,0.141404490740635,Wab
other,0.187466346691943,Wba
other,0.213647642965857,Wab
other,0.169223319840233,Wba
other,0.0780382740436688,Wab
other,0.153349717720356,Wba
other,0.460849049617897,Wab
other,0.200896045620202,Wba
other,0.0911316621106291,Wab
other,0.172510961286377,Wba
other,0.236294766911342,Wab
other,0.195087093548004,Wba
other,0.136561103755722,Wab
other,0.161610063263286,Wba
other,0.368594575558034,Wab
other,0.189663632378171,Wba
other,0.148250965483808,Wab
other,0.157052688760162,Wba
other,0.229325817536292,Wab
other,0.146976631357046,Wba
other,0.455521670853307,Wab
other,0.191169052729542,Wba
other,0.193017222461042,Wab
other,0.163304286427985,Wba
other,0.160208528501432,Wab
other,0.184387087419838,Wba
other,0.131292172405228,Wab
other,0.143240581817717,Wba
other,0.136735875118129,Wab
other,0.177574421764737,Wba
other,0.231969426418369,Wab
other,0.188930601710344,Wba
other,0.269118960956319,Wab
other,0.18938307693433,Wba
other,0.211099435241924,Wab
other,0.191111230094214,Wba
other,0.173043350245173,Wab
other,0.162485976696599,Wba
other,0.0931737357978271,Wab
other,0.190818851508514,Wba
other,0.0911084365828418,Wab
other,0.212447416201613,Wba
other,0.0828825844320517,Wab
other,0.154895335774061,Wba
other,0.0852750093717507,Wab
other,0.212232309295775,Wba
other,0.105833271699556,Wab
other,0.170094304256962,Wba
other,0.121551323246088,Wab
other,0.156879653472861,Wba
other,0.220280241514315,Wab
other,0.178569203466889,Wba
other,0.170276835079124,Wab
other,0.182429180558973,Wba
other,0.0842337874134258,Wab
other,0.191227887005063,Wba
other,0.13704974031521,Wab
other,0.223257830998402,Wba
other,0.428017063403746,Wab
other,0.210988820457915,Wba
other,0.389082549386118,Wab
other,0.225426248482221,Wba
other,0.33837397278851,Wab
other,0.238083155431906,Wba
other,0.127745523449909,Wab
other,0.243345901121748,Wba
other,0.148021624427043,Wab
other,0.249754968945013,Wba
other,0.247696254186628,Wab
other,0.249434573166776,Wba
other,0.126256154142507,Wab
other,0.267021855736134,Wba
other,0.226038801154033,Wab
other,0.236358586300805,Wba
other,0.0839966005544276,Wab
other,0.20669682498083,Wba
other,0.455623667758754,Wab
other,0.27021893697908,Wba
other,0.133868628359736,Wab
other,0.214111663218042,Wba
other,0.242296492852741,Wab
other,0.253239771176155,Wba
other,0.160456159271765,Wab
other,0.213984620243968,Wba
other,0.358300240259832,Wab
other,0.26673183290271,Wba
other,0.162671551746084,Wab
other,0.213125808087653,Wba
other,0.215361538028297,Wab
other,0.192251359999133,Wba
other,0.430232642625368,Wab
other,0.215173575915847,Wba
other,0.176408789013095,Wab
other,0.206154138182704,Wba
other,0.137023731581242,Wab
other,0.238163159643764,Wba
other,0.130938354062841,Wab
other,0.200582998982603,Wba
other,0.134741105347799,Wab
other,0.234428777218989,Wba
other,0.227523462285419,Wab
other,0.239074768405664,Wba
other,0.265411658064623,Wab
other,0.263384968936275,Wba
other,0.210742449861748,Wab
other,0.248338364575038,Wba
other,0.177219855325429,Wab
other,0.250967543176123,Wba
other,0.0975522392443539,Wab
other,0.247235547157655,Wba
other,0.0980850114698573,Wab
other,0.252097656753393,Wba
other,0.0895682045579883,Wab
other,0.201570204904652,Wba
other,0.0930688654771348,Wab
other,0.247010972938601,Wba
other,0.100060016151115,Wab
other,0.231962347416586,Wba
other,0.13202788479416,Wab
other,0.229155750410034,Wba
other,0.201838823728179,Wab
other,0.230395918090884,Wba
other,0.161044183246749,Wab
other,0.272711305079229,Wba
other,0.115254317183075,Wab
other,0.245913781440443,Wba
other,0.131671268137002,Wab
other,0.284523493544676,Wba
other,0.415221729438852,Wab
other,0.26783550375315,Wba
other,0.383224774660822,Wab
other,0.27919828360521,Wba
other,0.328026562118584,Wab
other,0.295457739167535,Wba
other,0.116507400486307,Wab
other,0.295938899028133,Wba
other,0.141978012767494,Wab
other,0.303618356928818,Wba
other,0.242891024135479,Wab
other,0.307025243569229,Wba
other,0.122398238913744,Wab
other,0.316296193930433,Wba
other,0.212365513749307,Wab
other,0.297855624905101,Wba
other,0.0958568848105894,Wab
other,0.261586612627019,Wba
other,0.459203164378456,Wab
other,0.338019158311783,Wba
other,0.119298556065084,Wab
other,0.266915649973906,Wba
other,0.228728932782359,Wab
other,0.317348837956863,Wba
other,0.142468238672123,Wab
other,0.268681313917671,Wba
other,0.353980401640649,Wab
other,0.322857744878805,Wba
other,0.149098384699754,Wab
other,0.2678270105749,Wba
other,0.225215069705434,Wab
other,0.247842353639978,Wba
other,0.431418793314518,Wab
other,0.281761447170252,Wba
other,0.173796576367866,Wab
other,0.270050603729264,Wba
other,0.148483636478805,Wab
other,0.281999846518297,Wba
other,0.116215379540891,Wab
other,0.262733638933665,Wba
other,0.140648769795725,Wab
other,0.305021974439201,Wba
other,0.236256189540702,Wab
other,0.310981654027656,Wba
other,0.262712446973943,Wab
other,0.340127896151625,Wba
other,0.212548775040157,Wab
other,0.307969841407661,Wba
other,0.162233443775477,Wab
other,0.304498440616342,Wba
other,0.0944607903998203,Wab
other,0.317882361901258,Wba
other,0.0884432211691931,Wab
