KIR,gene,ALD,type,class
KIR2DL1,HLA-A,0.391826978799688,Wab,class I
KIR2DL1,HLA-B,0.34411152066867,Wab,class I
KIR2DL1,HLA-C,0.292105914632527,Wab,class I
KIR2DL1,HLA-DPB1,0.376867579747085,Wab,class II
KIR2DL1,HLA-DQB1,0.331686657707814,Wab,class II
KIR2DL1,HLA-DRB1,0.364735096698237,Wab,class II
KIR2DL3,HLA-A,0.175080510733673,Wab,class I
KIR2DL3,HLA-B,0.160357140530674,Wab,class I
KIR2DL3,HLA-C,0.168110229932557,Wab,class I
KIR2DL3,HLA-DPB1,0.154002428791264,Wab,class II
KIR2DL3,HLA-DQB1,0.16292225265725,Wab,class II
KIR2DL3,HLA-DRB1,0.147903687737494,Wab,class II
KIR2DL4,HLA-A,0.224744826761566,Wab,class I
KIR2DL4,HLA-B,0.211465151409244,Wab,class I
KIR2DL4,HLA-C,0.224734449842304,Wab,class I
KIR2DL4,HLA-DPB1,0.206641410400314,Wab,class II
KIR2DL4,HLA-DQB1,0.215029975807754,Wab,class II
KIR2DL4,HLA-DRB1,0.191898556832902,Wab,class II
KIR2DP1,HLA-A,0.284014157368017,Wab,class I
KIR2DP1,HLA-B,0.265448384002565,Wab,class I
KIR2DP1,HLA-C,0.279573841869134,Wab,class I
KIR2DP1,HLA-DPB1,0.261637754275351,Wab,class II
KIR2DP1,HLA-DQB1,0.267141121965087,Wab,class II
KIR2DP1,HLA-DRB1,0.24777226558056,Wab,class II
KIR2DS4,HLA-A,0.157723649816396,Wab,class I
KIR2DS4,HLA-B,0.140688894489032,Wab,class I
KIR2DS4,HLA-C,0.158355851430856,Wab,class I
KIR2DS4,HLA-DPB1,0.143704001233472,Wab,class II
KIR2DS4,HLA-DQB1,0.148592433632968,Wab,class II
KIR2DS4,HLA-DRB1,0.125380082585012,Wab,class II
KIR3DL1,HLA-A,0.362032982873997,Wab,class I
KIR3DL1,HLA-B,0.342352283902929,Wab,class I
KIR3DL1,HLA-C,0.297058861669891,Wab,class I
KIR3DL1,HLA-DPB1,0.34297752525227,Wab,class II
KIR3DL1,HLA-DQB1,0.336193935505116,Wab,class II
KIR3DL1,HLA-DRB1,0.326909734134636,Wab,class II
KIR3DL2,HLA-A,0.283813171184519,Wab,class I
KIR3DL2,HLA-B,0.266926501229218,Wab,class I
KIR3DL2,HLA-C,0.284084501495072,Wab,class I
KIR3DL2,HLA-DPB1,0.265544843572228,Wab,class II
KIR3DL2,HLA-DQB1,0.268136303572788,Wab,class II
KIR3DL2,HLA-DRB1,0.247917419223315,Wab,class II
KIR3DL3,HLA-A,0.279599344771437,Wab,class I
KIR3DL3,HLA-B,0.264731253036729,Wab,class I
KIR3DL3,HLA-C,0.274044062568035,Wab,class I
KIR3DL3,HLA-DPB1,0.266161137317291,Wab,class II
KIR3DL3,HLA-DQB1,0.265838949063746,Wab,class II
KIR3DL3,HLA-DRB1,0.246024324167475,Wab,class II
