y,x,Type,subtype,color
CYP2D6,1,CYP,CYP,#d9e6eb
KIR3DL2,1,KIR,KIR,#8f96bd
KIR2DL4,1,KIR,KIR,#8f96bd
KIR2DL2,1,KIR,KIR,#8f96bd
KIR2DS4,1,KIR,KIR,#8f96bd
KIR3DL3,1,KIR,KIR,#8f96bd
KIR3DL1,1,KIR,KIR,#8f96bd
KIR3DP1,1,KIR,KIR,#8f96bd
KIR2DS2,1,KIR,KIR,#8f96bd
KIR2DP1,1,KIR,KIR,#8f96bd
KIR2DL1,1,KIR,KIR,#8f96bd
KIR2DL3,1,KIR,KIR,#8f96bd
KIR2DS1,1,KIR,KIR,#8f96bd
KIR2DS5,1,KIR,KIR,#8f96bd
KIR3DS1,1,KIR,KIR,#8f96bd
KIR2DL5B,1,KIR,KIR,#8f96bd
KIR2DS3,1,KIR,KIR,#8f96bd
KIR2DL5A,1,KIR,KIR,#8f96bd
HLA-T,1,HLA,HLA,#9fc3d5
HLA-A,1,HLA,HLA,#9fc3d5
HLA-U,1,HLA,HLA,#9fc3d5
HLA-DMA,1,HLA,HLA,#9fc3d5
HLA-J,1,HLA,HLA,#9fc3d5
HLA-DPA1,1,HLA,HLA,#9fc3d5
HLA-DQA1,1,HLA,HLA,#9fc3d5
HLA-DPA2,1,HLA,HLA,#9fc3d5
HLA-G,1,HLA,HLA,#9fc3d5
HLA-P,1,HLA,HLA,#9fc3d5
MICA,1,HLA,HLA,#9fc3d5
HLA-DQB1,1,HLA,HLA,#9fc3d5
HLA-E,1,HLA,HLA,#9fc3d5
MICB,1,HLA,HLA,#9fc3d5
TAP1,1,HLA,HLA,#9fc3d5
HLA-DQB2,1,HLA,HLA,#9fc3d5
TAP2,1,HLA,HLA,#9fc3d5
HLA-B,1,HLA,HLA,#9fc3d5
HLA-DOA,1,HLA,HLA,#9fc3d5
HLA-K,1,HLA,HLA,#9fc3d5
HLA-DQA2,1,HLA,HLA,#9fc3d5
HLA-H,1,HLA,HLA,#9fc3d5
HLA-DOB,1,HLA,HLA,#9fc3d5
HLA-DRA,1,HLA,HLA,#9fc3d5
HLA-DRB1,1,HLA,HLA,#9fc3d5
HLA-F,1,HLA,HLA,#9fc3d5
HLA-N,1,HLA,HLA,#9fc3d5
HLA-DRB3,1,HLA,HLA,#9fc3d5
HLA-DMB,1,HLA,HLA,#9fc3d5
HLA-C,1,HLA,HLA,#9fc3d5
HLA-DRB4,1,HLA,HLA,#9fc3d5
HLA-W,1,HLA,HLA,#9fc3d5
HLA-DPB1,1,HLA,HLA,#9fc3d5
HLA-L,1,HLA,HLA,#9fc3d5
HLA-DRB5,1,HLA,HLA,#9fc3d5
HLA-DPB2,1,HLA,HLA,#9fc3d5
HLA-V,1,HLA,HLA,#9fc3d5
HLA-S,1,HLA,HLA,#9fc3d5
HLA-Y,1,HLA,HLA,#9fc3d5
TRAV1-1,1,VDJ,TCR,#d6d69b
TRAV1-2,1,VDJ,TCR,#d6d69b
TRAV2,1,VDJ,TCR,#d6d69b
TRAV3,1,VDJ,TCR,#d6d69b
TRAV4,1,VDJ,TCR,#d6d69b
TRAV5,1,VDJ,TCR,#d6d69b
TRAV6,1,VDJ,TCR,#d6d69b
TRAV7,1,VDJ,TCR,#d6d69b
TRAV8-1,1,VDJ,TCR,#d6d69b
TRAV9-1,1,VDJ,TCR,#d6d69b
TRAV10,1,VDJ,TCR,#d6d69b
TRAV11,1,VDJ,TCR,#d6d69b
TRAV12-1,1,VDJ,TCR,#d6d69b
TRAV8-2,1,VDJ,TCR,#d6d69b
TRAV8-3,1,VDJ,TCR,#d6d69b
TRAV13-1,1,VDJ,TCR,#d6d69b
TRAV12-2,1,VDJ,TCR,#d6d69b
TRAV8-4,1,VDJ,TCR,#d6d69b
