sample,time,wall_clock_time,mem
HG01952,0.93,0.32,30.43
HG02148,0.88,0.29,30.37
HG00621,0.98,0.3,30.47
HG01978,0.97,0.33,30.33
HG02559,0.99,0.34,30.66
HG03540,1.22,0.4,31.03
HG00733,0.78,0.28,29.95
HG00673,0.98,0.34,30.2
HG01891,0.91,0.32,30.19
HG01258,0.81,0.31,30.36
HG00438,0.9,0.32,30.48
HG01361,0.99,0.34,30.82
HG03579,1.24,0.41,30.91
HG01358,0.86,0.3,30.06
HG01106,1.16,0.38,30.84
HG02486,0.97,0.33,30.33
HG01928,0.85,0.29,30.08
HG01175,0.88,0.29,30.17
HG01071,0.81,0.27,30.2
HG00735,1.04,0.33,30.11
HG02257,0.87,0.29,29.98
HG01123,0.92,0.31,30.27
HG00741,0.85,0.26,30.36
HG02572,0.69,0.23,29.81
HG02630,1.14,0.33,31.34
HG02886,0.97,0.29,30.59
HG03471,1.22,0.35,31.08
HG02622,1.06,0.31,30.82
HG02717,0.98,0.3,30.63
HG03453,1.11,0.33,31.49
HG03516,0.82,0.26,30.26
HG01243,0.83,0.31,30.17
