sample,time,wall_clock_time,mem
HG00438,0.05,3.5356666666666667,0.4
HG03579,0.08,4.664833333333333,0.39
HG03098,0.05,3.4593333333333334,0.4
HG01258,0.05,3.1696666666666666,0.31
HG02559,0.07,4.2123333333333335,0.58
HG01358,0.06,2.753833333333333,0.3
HG03486,0.07,3.6738333333333335,0.42
HG02572,0.05,2.4318333333333335,0.35
HG00621,0.07,3.6595,0.4
HG01109,0.07,3.479,0.28
HG01361,0.06,2.8533333333333335,0.27
HG02622,0.07,3.9076666666666666,0.44
HG03492,0.06,2.9378333333333333,0.35
HG01243,0.04,1.8818333333333332,0.26
HG01891,0.07,3.578666666666667,0.33
HG00673,0.06,2.8156666666666665,0.41
mHomSap3,0.04,2.0461666666666667,0.17
NA18906,0.07,3.4859999999999998,0.51
HG02630,0.08,4.125,0.31
HG01928,0.06,3.0006666666666666,0.41
HG02055,0.06,3.3471666666666664,0.31
HG00733,0.06,3.067833333333333,0.26
HG00735,0.05,2.694166666666667,0.31
HG02080,0.05,2.7098333333333335,0.46
HG01952,0.07,3.8873333333333333,0.35
NA19030,0.05,2.7011666666666665,0.3
HG02717,0.06,3.1586666666666665,0.39
HG02109,0.05,2.885,0.32
HG00741,0.05,2.6053333333333333,0.49
NA19240,0.06,2.816,0.29
HG02886,0.06,3.283166666666667,0.4
HG01978,0.07,3.5816666666666666,0.39
HG02145,0.07,3.564166666666667,0.5
NA20129,0.06,2.8598333333333334,0.17
HG01071,0.05,2.7405,0.27
HG03453,0.08,4.377,0.44
HG02148,0.05,2.420166666666667,0.4
HG02723,0.06,2.817833333333333,0.37
NA20300,0.24,13.603333333333333,0.4
HG01106,0.07,3.846166666666667,0.54
HG02257,0.07,3.6188333333333333,0.26
HG02818,0.05,2.707,0.3
NA21309,0.06,3.0593333333333335,0.37
HG03471,0.06,3.2078333333333333,0.36
HG02486,0.07,3.214166666666667,0.29
HG02970,0.05,2.745,0.43
HG01123,0.06,3.0483333333333333,0.24
HG03516,0.07,3.2735,0.47
HG01175,0.06,2.8438333333333334,0.33
HG03540,0.07,3.4618333333333333,0.42
