sample,time,wall_clock_time,mem
HG00741,8.99,0.55,10.56
HG01952,6.73,0.41,8.89
HG02148,3.89,0.23,5.58
HG00621,6.97,0.43,8.8
HG01978,8.07,0.5,10.73
HG02559,4.56,0.31,6.54
HG03540,5.8,0.36,7.38
HG00733,7.86,0.55,11.47
HG00673,7.21,0.5,8.48
HG01891,7.63,0.57,8.81
HG01258,4.3,0.3,6.35
HG00438,8.71,0.65,10.83
HG01361,7.17,0.47,8.94
HG03579,3.26,0.24,5.21
HG01358,3.62,0.24,5.7
HG01106,8.85,0.67,9.94
HG02486,6.6,0.47,8.87
HG01928,4.98,0.35,7.73
HG01175,9.44,0.7,10.69
HG01071,8.34,0.55,10.52
HG00735,7.15,0.47,8.83
HG02257,4.19,0.26,5.92
HG01123,5.98,0.39,7.87
HG02572,3.68,0.26,5.6
HG02630,4.31,0.26,6.57
HG02886,7.03,0.43,8.92
HG03471,6.58,0.43,8.68
HG02622,3.2,0.21,5.0
HG02717,6.48,0.41,9.21
HG03453,2.18,0.13,4.3
HG03516,9.86,0.56,11.12
HG01243,6.42,0.44,9.9
