,Gene,Sample,Match,Total
0,A,NA19238,0,2
1,A,HG02011,0,2
2,A,HG01596,0,2
3,A,HG00171,0,2
4,A,HG02587,0,2
5,A,HG00733,0,2
6,A,HG00732,0,2
7,A,HG02492,0,2
8,A,NA19239,0,2
9,A,HG00514,0,2
10,A,NA19983,0,2
11,A,HG03009,0,2
12,A,HG00731,0,2
13,A,HG03732,0,2
14,A,HG03065,0,2
15,A,HG01114,0,2
16,A,NA19240,0,2
17,A,HG03683,0,2
18,A,HG03371,0,2
19,B,NA19238,0,2
20,B,HG02011,0,2
21,B,HG01596,0,2
22,B,HG00171,0,2
23,B,HG02587,0,2
24,B,HG00733,0,2
25,B,HG00732,0,2
26,B,HG02492,0,2
27,B,NA19239,0,2
28,B,HG00514,0,2
29,B,NA19983,0,2
30,B,HG03009,0,2
31,B,HG00731,0,2
32,B,HG03732,0,2
33,B,HG03065,0,2
34,B,HG01114,0,2
35,B,NA19240,0,2
36,B,HG03683,0,2
37,B,HG03371,0,2
38,C,NA19238,0,2
39,C,HG02011,0,2
40,C,HG01596,0,2
41,C,HG00171,0,2
42,C,HG02587,0,2
43,C,HG00733,0,2
44,C,HG00732,0,2
45,C,HG02492,0,2
46,C,NA19239,0,2
47,C,HG00514,0,2
48,C,NA19983,0,2
49,C,HG03009,0,2
50,C,HG00731,1,2
51,C,HG03732,0,2
52,C,HG03065,0,2
53,C,HG01114,0,2
54,C,NA19240,0,2
55,C,HG03683,0,2
56,C,HG03371,0,2
57,DPA1,NA19238,0,2
58,DPA1,HG02011,0,2
59,DPA1,HG01596,0,2
60,DPA1,HG00171,0,2
61,DPA1,HG02587,0,2
62,DPA1,HG00733,0,2
63,DPA1,HG00732,0,2
64,DPA1,HG02492,0,2
65,DPA1,NA19239,0,2
66,DPA1,HG00514,0,2
67,DPA1,NA19983,0,2
68,DPA1,HG03009,0,2
69,DPA1,HG00731,0,2
70,DPA1,HG03732,0,2
71,DPA1,HG03065,0,2
72,DPA1,HG01114,0,2
73,DPA1,NA19240,0,2
74,DPA1,HG03683,0,2
75,DPA1,HG03371,0,2
76,DPB1,NA19238,1,2
77,DPB1,HG02011,1,2
