,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HLA-E,HLA-F,HLA-G,HLA-H,HLA-J,HLA-K,HLA-L,HLA-P,HLA-V,HLA-DQA2,HLA-DPA2,HLA-N,HLA-S,HLA-T,HLA-U,HLA-W,MICA,MICB,TAP1,TAP2,HFE
HG02587,31,42,38,51,56,51,43,37,33,53,37,39,55,63,33,24,2,53,46,51,36,57,36,51,43,5,37,45,6,2,23,22,34,44,45,50,43,0
HG00732,46,67,76,73,59,79,57,61,57,70,86,56,85,63,79,3,0,93,79,60,54,92,29,72,73,5,59,50,2,2,47,29,58,72,67,74,73,0
HG03683,51,87,85,69,77,82,84,74,72,91,78,72,84,96,1,95,2,75,83,83,69,69,64,72,92,35,71,56,4,2,64,13,59,76,70,75,93,0
HG00733,52,88,83,86,96,92,55,79,79,74,88,85,94,79,98,5,0,67,75,67,27,81,21,95,63,3,61,42,1,2,21,15,51,73,56,65,58,0
NA12329,56,61,71,96,79,81,70,75,71,111,77,61,92,88,1,81,2,84,82,67,66,81,97,77,78,2,75,51,1,3,61,25,72,84,67,78,85,0
NA19983,59,99,99,110,118,106,67,87,76,115,93,84,98,105,61,4,2,105,77,96,89,100,38,94,97,5,83,74,2,4,72,28,62,86,95,92,83,0
HG02492,50,66,58,69,65,76,48,61,64,86,77,80,56,91,3,37,39,75,73,73,61,89,39,102,68,8,50,55,4,5,52,21,51,73,64,64,75,0
HG03371,41,91,77,72,66,84,55,66,58,116,83,78,69,101,97,5,0,72,63,79,83,72,46,116,79,5,50,46,4,3,60,34,46,65,62,71,67,0
HG03732,26,55,38,48,55,47,31,38,40,23,45,50,51,63,31,24,0,60,49,48,40,47,36,60,40,3,44,47,3,1,27,13,17,37,52,41,34,0
HG01114,31,32,34,33,32,42,38,42,38,38,36,35,53,51,12,19,0,47,59,42,21,39,12,41,35,3,38,24,0,2,22,13,24,31,38,38,50,0
HG02011,33,68,81,90,90,89,71,64,63,74,76,59,92,94,0,30,46,85,89,74,62,77,58,85,79,5,48,45,5,4,52,28,33,75,81,72,89,0
HG03065,41,75,81,77,69,72,54,76,67,70,65,60,64,99,85,3,0,63,55,85,53,64,42,74,77,3,48,47,1,4,39,22,49,63,69,75,69,0
NA19240,33,45,46,49,46,55,46,38,36,31,45,44,42,50,23,4,29,44,44,36,50,44,39,52,51,4,36,32,2,1,49,26,37,56,36,52,47,0
HG01596,26,34,30,34,33,53,41,42,40,44,59,41,50,47,24,1,0,53,33,32,37,31,25,43,29,4,32,39,2,1,34,30,26,35,51,27,37,0
HG00731,63,92,90,78,88,94,73,67,61,87,72,83,79,96,75,6,0,103,85,69,0,73,0,110,73,7,70,67,1,1,2,10,74,80,92,77,84,0
HG03009,41,53,79,57,70,72,73,75,75,69,68,73,79,73,80,3,1,79,91,54,30,69,22,84,56,3,68,50,2,3,24,10,48,48,54,63,72,0
HG00514,25,47,35,44,48,31,33,28,27,42,38,35,32,44,0,3,0,41,37,45,30,31,21,48,33,5,23,44,2,5,13,13,24,31,26,40,34,0
HG00171,43,57,49,58,61,62,65,56,43,66,58,52,60,70,1,63,2,61,56,66,40,62,49,81,52,4,59,47,2,3,24,31,43,60,65,58,66,0
NA19239,29,47,42,41,51,74,69,57,51,85,51,43,55,59,57,4,0,54,57,39,41,57,36,69,41,3,45,44,0,1,37,20,31,53,62,39,47,0
NA19238,44,64,65,78,64,46,46,50,48,58,43,56,56,70,29,3,37,58,68,59,67,62,44,72,72,2,55,30,2,0,50,13,30,32,66,47,56,0
