,Gene,Sample,Match,Total
0,A,HG00513,2,2
1,A,HG00512,2,2
2,A,NA19238,2,2
3,A,HG00733,2,2
4,A,HG00732,2,2
5,A,NA19239,2,2
6,A,HG00514,2,2
7,A,HG00731,2,2
8,A,NA19240,2,2
9,B,HG00513,2,2
10,B,HG00512,2,2
11,B,NA19238,2,2
12,B,HG00733,2,2
13,B,HG00732,2,2
14,B,NA19239,2,2
15,B,HG00514,2,2
16,B,HG00731,2,2
17,B,NA19240,2,2
18,C,HG00513,2,2
19,C,HG00512,2,2
20,C,NA19238,2,2
21,C,HG00733,2,2
22,C,HG00732,2,2
23,C,NA19239,2,2
24,C,HG00514,2,2
25,C,HG00731,2,2
26,C,NA19240,2,2
27,DMA,HG00513,2,2
28,DMA,HG00512,2,2
29,DMA,NA19238,2,2
30,DMA,HG00733,2,2
31,DMA,HG00732,2,2
32,DMA,NA19239,2,2
33,DMA,HG00514,2,2
34,DMA,HG00731,2,2
35,DMA,NA19240,2,2
36,DMB,HG00513,2,2
37,DMB,HG00512,2,2
38,DMB,NA19238,2,2
39,DMB,HG00733,2,2
40,DMB,HG00732,2,2
41,DMB,NA19239,2,2
42,DMB,HG00514,2,2
43,DMB,HG00731,2,2
44,DMB,NA19240,2,2
45,DOA,HG00513,2,2
46,DOA,HG00512,2,2
47,DOA,NA19238,2,2
48,DOA,HG00733,2,2
49,DOA,HG00732,2,2
50,DOA,NA19239,0,2
51,DOA,HG00514,2,2
52,DOA,HG00731,2,2
53,DOA,NA19240,1,2
54,DOB,HG00513,2,2
55,DOB,HG00512,2,2
56,DOB,NA19238,2,2
57,DOB,HG00733,1,2
58,DOB,HG00732,2,2
59,DOB,NA19239,2,2
60,DOB,HG00514,2,2
61,DOB,HG00731,1,2
62,DOB,NA19240,2,2
63,DPA1,HG00513,2,2
64,DPA1,HG00512,2,2
65,DPA1,NA19238,2,2
66,DPA1,HG00733,2,2
67,DPA1,HG00732,2,2
68,DPA1,NA19239,2,2
69,DPA1,HG00514,2,2
70,DPA1,HG00731,2,2
71,DPA1,NA19240,2,2
72,DPB1,HG00513,2,2
73,DPB1,HG00512,2,2
74,DPB1,NA19238,2,2
75,DPB1,HG00733,2,2
76,DPB1,HG00732,2,2
77,DPB1,NA19239,2,2
78,DPB1,HG00514,2,2
79,DPB1,HG00731,2,2
80,DPB1,NA19240,2,2
81,DPB2,HG00513,2,2
82,DPB2,HG00512,2,2
83,DPB2,NA19238,2,2
84,DPB2,HG00733,2,2
85,DPB2,HG00732,2,2
86,DPB2,NA19239,1,2
87,DPB2,HG00514,2,2
88,DPB2,HG00731,2,2
89,DPB2,NA19240,2,2
90,DQA1,HG00513,2,2
91,DQA1,HG00512,2,2
92,DQA1,HG00733,2,2
93,DQA1,HG00732,2,2
94,DQA1,NA19239,2,2
95,DQA1,HG00514,2,2
96,DQA1,HG00731,2,2
97,DQA1,NA19240,2,2
98,DQB1,HG00513,2,2
99,DQB1,HG00512,2,2
100,DQB1,NA19238,2,2
101,DQB1,HG00733,2,2
102,DQB1,HG00732,2,2
103,DQB1,NA19239,2,2
104,DQB1,HG00514,2,2
105,DQB1,HG00731,2,2
106,DQB1,NA19240,2,2
107,DRA,HG00513,2,2
108,DRA,HG00512,2,2
109,DRA,NA19238,2,2
110,DRA,HG00733,2,2
111,DRA,HG00732,2,2
112,DRA,NA19239,2,2
113,DRA,HG00514,2,2
114,DRA,HG00731,2,2
115,DRA,NA19240,2,2
116,DRB1,HG00513,2,2
117,DRB1,HG00512,2,2
118,DRB1,NA19238,1,2
119,DRB1,HG00733,2,2
120,DRB1,HG00732,2,2
121,DRB1,NA19239,2,2
122,DRB1,HG00514,2,2
123,DRB1,HG00731,2,2
124,DRB1,NA19240,1,2
125,E,HG00513,2,2
126,E,HG00512,2,2
127,E,NA19238,2,2
128,E,HG00733,2,2
129,E,HG00732,2,2
130,E,NA19239,2,2
131,E,HG00514,2,2
132,E,HG00731,2,2
133,E,NA19240,2,2
134,F,HG00513,2,2
135,F,HG00512,2,2
136,F,NA19238,2,2
137,F,HG00733,2,2
138,F,HG00732,2,2
139,F,NA19239,2,2
140,F,HG00514,2,2
141,F,HG00731,2,2
142,F,NA19240,2,2
143,G,HG00513,2,2
144,G,HG00512,2,2
145,G,NA19238,2,2
146,G,HG00733,2,2
147,G,HG00732,2,2
148,G,NA19239,2,2
149,G,HG00514,2,2
150,G,HG00731,2,2
151,G,NA19240,2,2
152,H,HG00513,2,2
153,H,NA19238,2,2
154,H,HG00733,2,2
155,H,HG00732,2,2
156,H,NA19239,2,2
157,H,HG00514,2,2
158,H,NA19240,2,2
159,J,HG00513,2,2
160,J,HG00512,2,2
161,J,NA19238,2,2
162,J,HG00733,2,2
163,J,HG00732,2,2
164,J,NA19239,2,2
165,J,HG00514,2,2
166,J,HG00731,2,2
167,J,NA19240,2,2
168,K,HG00513,2,2
169,K,NA19238,2,2
170,K,HG00733,2,2
171,K,NA19239,2,2
172,K,HG00514,2,2
173,K,NA19240,2,2
174,L,HG00513,2,2
175,L,HG00512,2,2
176,L,NA19238,2,2
177,L,HG00733,2,2
178,L,HG00732,2,2
179,L,NA19239,2,2
180,L,HG00514,2,2
181,L,HG00731,2,2
182,L,NA19240,2,2
183,P,HG00513,2,2
184,P,HG00512,2,2
185,P,HG00733,2,2
186,P,HG00732,2,2
187,P,NA19239,2,2
188,P,HG00514,2,2
189,P,HG00731,2,2
190,P,NA19240,1,2
191,V,HG00513,2,2
192,V,HG00512,2,2
193,V,HG00733,2,2
194,V,HG00732,2,2
195,V,NA19239,2,2
196,V,HG00514,2,2
197,V,HG00731,2,2
198,DQA2,HG00513,2,2
199,DQA2,HG00512,2,2
200,DQA2,NA19238,2,2
201,DQA2,HG00733,2,2
202,DQA2,HG00732,2,2
203,DQA2,NA19239,1,2
204,DQA2,HG00514,2,2
205,DQA2,HG00731,2,2
206,DQA2,NA19240,1,2
207,N,HG00513,2,2
208,N,HG00512,2,2
209,N,NA19238,2,2
210,N,HG00733,2,2
211,N,HG00732,2,2
212,N,NA19239,2,2
213,N,HG00514,2,2
214,N,HG00731,2,2
215,N,NA19240,2,2
216,S,HG00513,2,2
217,S,HG00512,2,2
218,S,NA19238,2,2
219,S,HG00733,2,2
220,S,HG00732,2,2
221,S,NA19239,2,2
222,S,HG00514,2,2
223,S,HG00731,2,2
224,S,NA19240,2,2
225,T,HG00513,2,2
226,T,NA19238,2,2
227,T,HG00733,2,2
228,T,HG00732,2,2
229,T,NA19239,2,2
230,T,HG00514,2,2
231,T,NA19240,2,2
232,U,HG00513,2,2
233,U,NA19239,2,2
234,U,HG00514,2,2
235,W,HG00513,2,2
236,W,HG00512,2,2
237,W,NA19239,1,2
238,W,HG00514,2,2
239,W,HG00731,2,2
240,MICA,HG00513,2,2
241,MICA,HG00512,0,2
242,MICA,NA19238,1,2
243,MICA,HG00733,1,2
244,MICA,HG00732,1,2
245,MICA,NA19239,1,2
246,MICA,HG00514,1,2
247,MICA,HG00731,1,2
248,MICA,NA19240,2,2
249,MICB,HG00513,1,2
250,MICB,HG00512,2,2
251,MICB,NA19238,2,2
252,MICB,HG00733,2,2
253,MICB,HG00732,1,2
254,MICB,NA19239,2,2
255,MICB,HG00514,2,2
256,MICB,HG00731,1,2
257,MICB,NA19240,2,2
258,TAP1,HG00513,2,2
259,TAP1,HG00512,2,2
260,TAP1,NA19238,2,2
261,TAP1,HG00733,2,2
262,TAP1,HG00732,2,2
263,TAP1,NA19239,2,2
264,TAP1,HG00514,2,2
265,TAP1,HG00731,2,2
266,TAP1,NA19240,2,2
267,TAP2,HG00513,2,2
268,TAP2,HG00512,2,2
269,TAP2,NA19238,2,2
270,TAP2,HG00733,2,2
271,TAP2,HG00732,2,2
272,TAP2,NA19239,2,2
273,TAP2,HG00514,2,2
274,TAP2,HG00731,2,2
275,TAP2,NA19240,2,2
276,HFE,HG00513,0,2
277,HFE,HG00512,0,2
278,HFE,NA19238,0,2
279,HFE,HG00733,0,2
280,HFE,HG00732,0,2
281,HFE,NA19239,0,2
282,HFE,HG00514,0,2
283,HFE,HG00731,0,2
284,HFE,NA19240,0,2
285,DRB5,HG00512,2,2
286,DRB5,NA19238,2,2
287,DRB5,NA19240,2,2
288,DPA2,HG00512,1,2
289,DPA2,HG00733,2,2
290,DPA2,HG00732,2,2
291,DPA2,HG00514,1,2
292,DPA2,HG00731,2,2
293,DRB3,HG00733,2,2
294,DRB3,HG00732,2,2
295,DRB3,NA19239,1,2
296,DRB3,HG00731,2,2
