,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HLA-E,HLA-F,HLA-G,HLA-H,HLA-J,HLA-K,HLA-L,HLA-P,HLA-V,HLA-DQA2,HLA-DPA2,HLA-N,HLA-S,HLA-T,HLA-U,HLA-W,MICA,MICB,TAP1,TAP2,HFE
HG00741,21,43,29,32,35,34,34,46,34,37,37,38,35,42,40,27,0,44,44,30,36,27,18,40,55,4,37,31,2,2,27,15,31,36,37,37,33,0
HG01952,28,38,35,38,41,47,46,29,34,55,52,51,37,84,23,29,1,38,46,44,35,46,34,45,45,3,40,39,1,1,30,23,36,44,38,33,37,0
HG02148,35,45,29,40,40,43,38,40,26,79,36,40,32,61,49,36,0,37,31,39,27,33,25,33,24,2,41,34,4,4,24,28,22,43,41,30,29,0
HG00621,27,45,41,41,39,42,37,41,37,39,33,41,41,69,19,24,2,44,41,41,47,57,29,42,41,1,41,50,1,3,29,23,24,26,40,37,40,0
HG01978,35,36,31,45,53,39,35,39,22,44,33,32,42,51,0,29,26,36,32,23,46,32,18,27,47,1,45,26,1,0,40,19,14,28,38,40,33,0
HG02559,33,55,40,29,38,62,61,51,45,40,45,45,28,81,19,32,0,36,34,56,42,49,37,56,36,1,40,42,2,1,39,17,39,49,27,41,39,0
HG03540,42,56,46,56,60,73,54,58,54,52,55,54,33,95,2,17,4,44,54,33,44,56,42,44,58,5,40,39,5,4,45,30,33,42,50,49,44,0
HG00733,41,34,33,45,36,39,35,38,34,32,39,46,41,56,32,31,0,51,28,45,19,38,18,27,33,2,41,39,2,7,16,7,35,28,41,41,32,0
HG00673,28,34,48,48,47,52,35,39,39,40,30,49,34,52,24,24,1,42,45,48,40,41,38,43,51,2,34,31,1,1,48,34,36,12,38,43,39,0
HG01891,37,37,33,38,32,47,30,39,32,42,39,39,31,70,0,33,30,34,35,35,34,44,52,50,45,7,33,26,3,2,34,24,38,32,36,40,34,0
HG01258,23,31,41,25,30,37,39,36,36,37,41,41,36,61,20,25,1,38,35,40,39,45,43,43,35,5,36,34,2,1,35,26,36,40,32,35,27,0
HG00438,27,44,39,29,37,42,46,41,29,38,56,45,37,77,25,25,0,43,32,23,20,52,23,47,29,3,30,34,5,2,23,15,27,30,38,35,46,0
HG01361,47,47,35,37,34,47,48,45,40,65,44,47,46,88,24,22,0,38,56,49,38,54,40,52,49,4,45,31,3,4,41,33,39,33,40,37,41,0
HG03579,45,56,59,40,57,57,42,49,47,55,63,60,47,77,62,47,0,61,66,56,29,57,17,51,60,4,34,36,4,5,23,11,44,50,66,42,43,0
HG01358,33,45,36,39,46,44,36,36,33,35,43,32,26,68,16,29,0,50,33,37,15,44,13,28,38,5,43,35,3,2,15,8,37,43,46,35,40,0
HG01106,32,52,44,48,54,50,56,46,40,47,40,38,50,61,45,44,0,39,54,45,48,60,25,43,64,3,46,36,2,2,47,24,27,51,40,44,41,0
HG02486,46,39,37,44,34,53,44,51,46,36,47,38,40,49,25,37,19,35,31,46,31,46,39,36,35,2,47,27,1,5,31,23,31,46,40,42,37,0
HG01928,11,41,24,23,35,35,37,29,21,47,31,32,40,72,0,46,1,23,36,38,23,29,26,36,52,2,36,28,3,6,34,12,19,25,31,23,28,0
HG01175,30,32,41,39,41,45,41,34,23,48,33,41,44,54,1,32,20,32,15,49,41,36,34,54,23,1,33,24,7,2,39,22,36,36,33,34,30,0
HG01071,22,35,28,25,28,37,29,31,24,43,27,13,28,56,15,28,0,35,18,24,19,45,14,29,21,0,24,26,4,0,17,10,34,18,27,30,29,0
HG00735,19,28,42,45,41,41,51,37,28,39,48,35,39,92,4,29,0,44,40,40,31,39,31,45,47,4,33,25,2,2,32,20,22,47,39,38,42,0
HG02257,17,33,29,31,34,32,27,32,45,41,43,47,24,46,18,29,3,30,38,37,27,48,39,36,32,4,37,23,4,0,24,19,31,17,44,33,38,0
HG01123,31,48,40,22,35,44,39,39,37,40,43,37,39,88,23,28,1,36,40,36,24,39,42,33,34,8,46,29,2,0,35,21,36,39,34,31,41,0
HG02572,37,19,27,24,22,30,20,25,18,21,29,31,25,46,46,26,0,25,27,47,21,21,38,21,38,6,31,14,0,4,32,27,35,29,27,17,23,0
HG02630,42,59,48,46,47,73,48,50,54,61,51,32,44,93,0,51,0,63,74,46,57,86,36,53,42,3,45,37,3,6,48,27,44,60,49,63,46,0
HG02886,35,51,54,53,44,51,49,54,50,38,48,47,46,90,24,28,3,52,39,54,30,51,49,55,40,2,37,39,4,4,47,32,46,52,39,48,42,0
HG03471,44,52,42,59,61,63,43,53,50,70,48,48,67,111,40,48,1,62,48,52,44,65,64,52,53,4,53,36,3,3,40,40,40,28,55,42,43,0
HG02622,29,49,40,51,47,61,43,51,47,56,48,30,41,88,2,64,1,43,60,44,24,56,29,42,54,2,42,31,2,3,34,21,32,45,48,54,38,0
HG02717,31,41,50,63,42,62,45,43,46,41,50,39,52,96,27,31,0,41,50,40,38,69,46,51,54,5,49,42,2,4,37,24,37,43,40,52,49,0
HG03453,50,62,40,48,48,64,51,52,52,53,32,50,50,114,28,31,2,59,46,65,40,54,50,48,41,4,47,34,2,5,33,37,20,51,58,50,47,0
HG03516,33,42,28,36,38,48,41,44,36,33,40,46,25,54,49,24,0,42,33,25,34,33,44,41,31,5,34,29,3,3,40,15,25,34,44,40,29,0
HG01243,21,37,41,38,34,35,49,36,25,37,44,44,29,45,49,34,0,31,35,31,37,34,31,44,34,3,43,31,2,2,26,23,38,44,37,36,29,0
HG02970,36,48,37,34,46,35,26,42,41,71,41,44,28,78,0,21,2,31,37,31,48,47,47,32,37,4,48,41,5,4,41,28,37,36,41,26,37,0
HG02818,29,35,35,41,33,55,29,35,40,25,41,34,29,51,41,36,0,38,27,41,34,38,36,36,33,5,33,35,4,1,33,15,39,28,34,36,34,0
NA20300,30,46,48,45,50,47,52,52,47,55,58,50,47,99,0,30,3,48,35,53,40,43,42,46,59,8,42,61,3,6,42,23,33,40,41,48,43,0
HG03486,40,37,36,35,31,37,41,42,35,49,39,43,23,60,36,33,0,37,47,42,30,43,42,49,39,6,39,30,6,2,38,18,28,32,33,34,49,0
HG03492,34,49,29,28,28,37,30,34,28,32,42,44,33,41,26,20,21,40,31,30,31,35,44,42,30,1,32,26,3,2,41,19,23,34,32,35,27,0
HG02723,41,49,43,47,51,46,44,54,43,44,34,44,61,93,20,36,2,46,42,47,47,41,41,59,49,4,40,34,3,4,47,26,41,46,52,40,51,0
NA21309,28,31,37,40,37,45,41,39,34,38,42,36,31,72,13,29,22,38,33,46,29,45,58,36,47,4,39,31,2,7,25,20,30,30,29,39,32,0
HG02109,26,25,29,38,31,26,37,30,32,33,34,39,26,45,22,20,0,36,32,32,10,56,18,30,34,8,33,29,1,2,15,11,27,26,29,34,27,0
HG01109,34,39,40,46,36,36,36,40,40,37,31,32,28,51,0,15,2,26,48,45,35,46,30,38,39,2,26,33,3,4,40,23,22,28,48,41,35,0
NA19030,17,25,24,23,27,32,20,37,31,38,17,24,31,34,25,28,1,29,16,39,37,36,25,25,31,4,34,36,1,6,39,11,34,22,29,23,30,0
HG03098,33,28,45,31,37,30,35,35,38,38,31,30,23,72,0,28,2,32,49,40,23,46,36,24,41,4,43,28,4,4,27,27,30,32,33,33,29,0
NA19240,43,37,33,33,34,51,34,42,43,49,44,50,31,59,23,40,15,35,35,42,25,45,34,48,51,5,46,32,3,2,27,21,33,38,39,42,35,0
NA18906,24,53,52,34,30,57,27,33,43,61,45,49,27,66,51,41,0,53,53,47,40,35,75,48,45,4,38,35,3,8,32,6,32,46,36,41,37,0
mHomSap3,19,14,20,24,19,24,14,18,23,24,24,25,19,48,0,20,3,25,18,19,25,19,16,22,22,2,23,26,1,3,16,6,17,19,26,23,12,0
HG02080,25,39,39,38,25,35,36,37,34,45,44,32,26,58,17,25,4,31,38,26,26,44,37,37,43,1,28,32,3,3,31,15,23,30,28,44,42,0
NA20129,28,44,34,37,33,37,38,34,27,61,31,51,39,65,38,32,0,37,32,31,25,40,36,39,37,1,51,27,4,0,24,20,29,21,39,31,34,0
HG02055,46,44,34,36,41,34,32,29,30,52,39,38,42,60,20,24,0,36,28,40,9,38,21,37,38,2,40,22,2,5,21,13,32,36,30,32,40,0
HG02145,29,45,34,37,34,36,31,25,34,40,45,43,23,60,28,25,20,41,46,48,41,46,35,49,39,2,35,39,4,4,37,21,38,41,37,31,31,0
