,Gene,Sample,Match,Total
0,A,HG03453,2,2
1,A,HG01106,2,2
2,A,NA18906,1,2
3,A,NA21309,2,2
4,A,HG01258,2,2
5,A,HG01109,2,2
6,A,HG02717,2,2
7,A,HG01952,0,2
8,A,HG02622,2,2
9,A,HG01071,2,2
10,A,HG03579,2,2
11,A,HG03516,2,2
12,A,HG02109,2,2
13,A,HG01891,2,2
14,A,HG01175,2,2
15,A,HG01928,0,2
16,A,HG03486,2,2
17,A,HG00621,2,2
18,A,HG03540,2,2
19,A,HG02055,2,2
20,A,HG02145,2,2
21,A,HG02886,2,2
22,A,HG00733,2,2
23,A,HG02148,2,2
24,A,HG01123,2,2
25,A,HG00438,2,2
26,A,HG02630,2,2
27,A,HG02572,2,2
28,A,HG03098,2,2
29,A,HG02486,2,2
30,A,HG02818,2,2
31,A,HG01978,0,2
32,A,HG01243,2,2
33,A,NA20129,2,2
34,A,HG02559,2,2
35,A,HG00735,2,2
36,A,HG00673,2,2
37,A,HG03492,2,2
38,A,HG02723,2,2
39,A,HG01361,2,2
40,A,HG00741,2,2
41,A,HG01358,2,2
42,A,NA19240,2,2
43,A,HG02257,2,2
44,A,HG02080,2,2
45,B,HG03453,2,2
46,B,HG01106,2,2
47,B,NA18906,2,2
48,B,NA21309,2,2
49,B,HG01258,2,2
50,B,HG01109,2,2
51,B,HG02717,2,2
52,B,HG01952,2,2
53,B,HG02622,2,2
54,B,HG01071,2,2
55,B,HG03579,2,2
56,B,HG03516,2,2
57,B,HG02109,1,2
58,B,HG01891,2,2
59,B,HG01175,2,2
60,B,HG01928,2,2
61,B,HG03486,2,2
62,B,HG00621,2,2
63,B,HG03540,2,2
64,B,HG02055,2,2
65,B,HG02145,2,2
66,B,HG02886,2,2
67,B,HG00733,2,2
68,B,HG02148,2,2
69,B,HG01123,2,2
70,B,HG00438,2,2
71,B,HG02630,2,2
72,B,HG02572,2,2
73,B,HG03098,2,2
74,B,HG02486,2,2
75,B,HG02818,2,2
76,B,HG01978,2,2
77,B,HG01243,2,2
78,B,NA20129,2,2
79,B,HG02559,2,2
80,B,HG00735,2,2
81,B,HG00673,2,2
82,B,HG03492,2,2
83,B,HG02723,1,2
84,B,HG01361,2,2
85,B,HG00741,2,2
86,B,HG01358,2,2
87,B,NA19240,2,2
88,B,HG02257,1,2
89,B,HG02080,2,2
90,C,HG03453,1,2
91,C,HG01106,2,2
92,C,NA18906,2,2
93,C,NA21309,2,2
94,C,HG01258,2,2
95,C,HG01109,2,2
96,C,HG02717,2,2
97,C,HG01952,2,2
98,C,HG02622,2,2
99,C,HG01071,2,2
100,C,HG03579,2,2
101,C,HG03516,2,2
102,C,HG02109,2,2
103,C,HG01891,1,2
104,C,HG01175,2,2
105,C,HG01928,2,2
106,C,HG03486,2,2
107,C,HG00621,2,2
108,C,HG03540,1,2
109,C,HG02055,1,2
110,C,HG02145,2,2
111,C,HG02886,2,2
112,C,HG00733,2,2
113,C,HG02148,2,2
114,C,HG01123,2,2
115,C,HG00438,2,2
116,C,HG02630,1,2
117,C,HG02572,2,2
118,C,HG03098,1,2
119,C,HG02486,1,2
120,C,HG02818,2,2
121,C,HG01978,2,2
122,C,HG01243,2,2
123,C,NA20129,2,2
124,C,HG02559,2,2
125,C,HG00735,2,2
126,C,HG00673,2,2
127,C,HG03492,2,2
128,C,HG02723,2,2
129,C,HG01361,2,2
130,C,HG00741,2,2
131,C,HG01358,2,2
132,C,NA19240,2,2
133,C,HG02257,1,2
134,C,HG02080,2,2
135,DPA1,HG03453,2,2
136,DPA1,HG01106,2,2
137,DPA1,NA18906,2,2
138,DPA1,NA21309,2,2
139,DPA1,HG01258,2,2
140,DPA1,HG01109,2,2
141,DPA1,HG02717,2,2
142,DPA1,HG01952,2,2
143,DPA1,HG02622,2,2
144,DPA1,HG01071,2,2
145,DPA1,HG03579,2,2
146,DPA1,HG03516,2,2
147,DPA1,HG02109,2,2
148,DPA1,HG01891,2,2
149,DPA1,HG01175,2,2
150,DPA1,HG01928,2,2
151,DPA1,HG03486,2,2
152,DPA1,HG00621,2,2
153,DPA1,HG03540,2,2
154,DPA1,HG02055,2,2
155,DPA1,HG02145,2,2
156,DPA1,HG02886,2,2
157,DPA1,HG00733,2,2
158,DPA1,HG02148,2,2
159,DPA1,HG01123,2,2
160,DPA1,HG00438,2,2
161,DPA1,HG02630,2,2
162,DPA1,HG02572,2,2
163,DPA1,HG03098,2,2
164,DPA1,HG02486,2,2
165,DPA1,HG02818,2,2
166,DPA1,HG01978,2,2
167,DPA1,HG01243,2,2
168,DPA1,NA20129,1,2
169,DPA1,HG02559,2,2
170,DPA1,HG00735,2,2
171,DPA1,HG00673,2,2
172,DPA1,HG03492,2,2
173,DPA1,HG02723,2,2
174,DPA1,HG01361,2,2
175,DPA1,HG00741,2,2
176,DPA1,HG01358,2,2
177,DPA1,NA19240,2,2
178,DPA1,HG02257,2,2
179,DPA1,HG02080,2,2
180,DPB1,HG03453,2,2
181,DPB1,HG01106,2,2
182,DPB1,NA18906,2,2
183,DPB1,NA21309,2,2
184,DPB1,HG01258,2,2
185,DPB1,HG01109,2,2
186,DPB1,HG02717,2,2
187,DPB1,HG01952,2,2
188,DPB1,HG02622,2,2
189,DPB1,HG01071,2,2
190,DPB1,HG03579,2,2
191,DPB1,HG03516,2,2
192,DPB1,HG02109,2,2
193,DPB1,HG01891,2,2
194,DPB1,HG01175,2,2
195,DPB1,HG01928,2,2
196,DPB1,HG03486,2,2
197,DPB1,HG00621,2,2
198,DPB1,HG03540,2,2
199,DPB1,HG02055,2,2
200,DPB1,HG02145,2,2
201,DPB1,HG02886,2,2
202,DPB1,HG00733,2,2
203,DPB1,HG02148,2,2
204,DPB1,HG01123,2,2
205,DPB1,HG00438,2,2
206,DPB1,HG02630,2,2
207,DPB1,HG02572,1,2
208,DPB1,HG03098,2,2
209,DPB1,HG02486,2,2
210,DPB1,HG02818,2,2
211,DPB1,HG01978,2,2
212,DPB1,HG01243,2,2
213,DPB1,NA20129,2,2
214,DPB1,HG02559,2,2
215,DPB1,HG00735,2,2
216,DPB1,HG00673,2,2
217,DPB1,HG03492,2,2
218,DPB1,HG02723,2,2
219,DPB1,HG01361,2,2
220,DPB1,HG00741,2,2
221,DPB1,HG01358,2,2
222,DPB1,NA19240,2,2
223,DPB1,HG02257,2,2
224,DPB1,HG02080,2,2
225,DQA1,HG03453,2,2
226,DQA1,HG01106,1,2
227,DQA1,NA18906,2,2
228,DQA1,NA21309,2,2
229,DQA1,HG01258,2,2
230,DQA1,HG01109,2,2
231,DQA1,HG02717,2,2
232,DQA1,HG01952,2,2
233,DQA1,HG02622,2,2
234,DQA1,HG01071,2,2
235,DQA1,HG03579,2,2
236,DQA1,HG03516,2,2
237,DQA1,HG02109,2,2
238,DQA1,HG01891,2,2
239,DQA1,HG01175,1,2
240,DQA1,HG01928,2,2
241,DQA1,HG03486,2,2
242,DQA1,HG00621,2,2
243,DQA1,HG03540,2,2
244,DQA1,HG02055,2,2
245,DQA1,HG02145,2,2
246,DQA1,HG02886,2,2
247,DQA1,HG00733,2,2
248,DQA1,HG02148,2,2
249,DQA1,HG01123,2,2
250,DQA1,HG00438,2,2
251,DQA1,HG02630,2,2
252,DQA1,HG02572,2,2
253,DQA1,HG03098,2,2
254,DQA1,HG02486,2,2
255,DQA1,HG02818,2,2
256,DQA1,HG01978,2,2
257,DQA1,HG01243,2,2
258,DQA1,NA20129,1,2
259,DQA1,HG02559,2,2
260,DQA1,HG00735,2,2
261,DQA1,HG00673,1,2
262,DQA1,HG03492,2,2
263,DQA1,HG02723,2,2
264,DQA1,HG01361,2,2
265,DQA1,HG00741,2,2
266,DQA1,HG01358,2,2
267,DQA1,NA19240,2,2
268,DQA1,HG02257,2,2
269,DQA1,HG02080,2,2
270,DQB1,HG03453,1,2
271,DQB1,HG01106,1,2
272,DQB1,NA18906,1,2
273,DQB1,NA21309,1,2
274,DQB1,HG01258,1,2
275,DQB1,HG01109,1,2
276,DQB1,HG02717,1,2
277,DQB1,HG01952,1,2
278,DQB1,HG02622,1,2
279,DQB1,HG01071,1,2
280,DQB1,HG03579,1,2
281,DQB1,HG03516,1,2
282,DQB1,HG02109,1,2
283,DQB1,HG01891,1,2
284,DQB1,HG01175,1,2
285,DQB1,HG01928,1,2
286,DQB1,HG03486,1,2
287,DQB1,HG00621,1,2
288,DQB1,HG03540,2,2
289,DQB1,HG02055,0,2
290,DQB1,HG02145,1,2
291,DQB1,HG02886,1,2
292,DQB1,HG00733,1,2
293,DQB1,HG02148,1,2
294,DQB1,HG01123,1,2
295,DQB1,HG00438,1,2
296,DQB1,HG02630,1,2
297,DQB1,HG02572,1,2
298,DQB1,HG03098,1,2
299,DQB1,HG02486,1,2
300,DQB1,HG02818,1,2
301,DQB1,HG01978,1,2
302,DQB1,HG01243,1,2
303,DQB1,NA20129,1,2
304,DQB1,HG02559,1,2
305,DQB1,HG00735,1,2
306,DQB1,HG00673,1,2
307,DQB1,HG03492,1,2
308,DQB1,HG02723,1,2
309,DQB1,HG01361,1,2
310,DQB1,HG00741,2,2
311,DQB1,HG01358,1,2
312,DQB1,NA19240,1,2
313,DQB1,HG02257,1,2
314,DQB1,HG02080,1,2
315,DRB1,HG03453,1,2
316,DRB1,HG01106,2,2
317,DRB1,NA18906,2,2
318,DRB1,NA21309,1,2
319,DRB1,HG01258,2,2
320,DRB1,HG01109,2,2
321,DRB1,HG02717,1,2
322,DRB1,HG01952,2,2
323,DRB1,HG02622,1,2
324,DRB1,HG01071,2,2
325,DRB1,HG03579,2,2
326,DRB1,HG03516,1,2
327,DRB1,HG02109,1,2
328,DRB1,HG01891,0,2
329,DRB1,HG01175,0,2
330,DRB1,HG01928,2,2
331,DRB1,HG03486,2,2
332,DRB1,HG00621,2,2
333,DRB1,HG03540,2,2
334,DRB1,HG02055,2,2
