userId	geneSymbol	geneName	entrezgene	gLink
TRBJ1-4	TRBJ1-4	T cell receptor beta joining 1-4	28632	https://www.ncbi.nlm.nih.gov/gene/?term=28632
IGHV4-34	IGHV4-34	immunoglobulin heavy variable 4-34	28395	https://www.ncbi.nlm.nih.gov/gene/?term=28395
TRGJP	TRGJP	T cell receptor gamma joining P	6970	https://www.ncbi.nlm.nih.gov/gene/?term=6970
IGLV4-69	IGLV4-69	immunoglobulin lambda variable 4-69	28784	https://www.ncbi.nlm.nih.gov/gene/?term=28784
IGLV1-36	IGLV1-36	immunoglobulin lambda variable 1-36	28826	https://www.ncbi.nlm.nih.gov/gene/?term=28826
HLA-U	HLA-U	major histocompatibility complex, class I, U (pseudogene)	352965	https://www.ncbi.nlm.nih.gov/gene/?term=352965
HLA-F	HLA-F	major histocompatibility complex, class I, F	3134	https://www.ncbi.nlm.nih.gov/gene/?term=3134
HLA-DOB	HLA-DOB	major histocompatibility complex, class II, DO beta	3112	https://www.ncbi.nlm.nih.gov/gene/?term=3112
TRBJ2-6	TRBJ2-6	T cell receptor beta joining 2-6	28623	https://www.ncbi.nlm.nih.gov/gene/?term=28623
IGKV1D-17	IGKV1D-17	immunoglobulin kappa variable 1D-17	28900	https://www.ncbi.nlm.nih.gov/gene/?term=28900
IGLV3-25	IGLV3-25	immunoglobulin lambda variable 3-25	28793	https://www.ncbi.nlm.nih.gov/gene/?term=28793
IGKV1-39	IGKV1-39	immunoglobulin kappa variable 1-39	28930	https://www.ncbi.nlm.nih.gov/gene/?term=28930
TRBD1	TRBD1	T cell receptor beta diversity 1	28637	https://www.ncbi.nlm.nih.gov/gene/?term=28637
IGHV1-24	IGHV1-24	immunoglobulin heavy variable 1-24	28467	https://www.ncbi.nlm.nih.gov/gene/?term=28467
IGLV7-43	IGLV7-43	immunoglobulin lambda variable 7-43	28776	https://www.ncbi.nlm.nih.gov/gene/?term=28776
IGKV2D-24	IGKV2D-24	immunoglobulin kappa variable 2D-24 (non-functional)	28885	https://www.ncbi.nlm.nih.gov/gene/?term=28885
IGKV1-33	IGKV1-33	immunoglobulin kappa variable 1-33	28933	https://www.ncbi.nlm.nih.gov/gene/?term=28933
IGKV6D-21	IGKV6D-21	immunoglobulin kappa variable 6D-21 (non-functional)	28870	https://www.ncbi.nlm.nih.gov/gene/?term=28870
IGHV3-33-2	IGHV3-33-2	immunoglobulin heavy variable 3-33-2 (pseudogene)	28433	https://www.ncbi.nlm.nih.gov/gene/?term=28433
TRBJ1-3	TRBJ1-3	T cell receptor beta joining 1-3	28633	https://www.ncbi.nlm.nih.gov/gene/?term=28633
IGKV3D-20	IGKV3D-20	immunoglobulin kappa variable 3D-20	28874	https://www.ncbi.nlm.nih.gov/gene/?term=28874
IGKV3D-7	IGKV3D-7	immunoglobulin kappa variable 3D-7	28877	https://www.ncbi.nlm.nih.gov/gene/?term=28877
IGKV6D-41	IGKV6D-41	immunoglobulin kappa variable 6D-41 (non-functional)	28869	https://www.ncbi.nlm.nih.gov/gene/?term=28869
IGHD2-2	IGHD2-2	immunoglobulin heavy diversity 2-2	28505	https://www.ncbi.nlm.nih.gov/gene/?term=28505
TRBJ1-5	TRBJ1-5	T cell receptor beta joining 1-5	28631	https://www.ncbi.nlm.nih.gov/gene/?term=28631
HLA-DOA	HLA-DOA	major histocompatibility complex, class II, DO alpha	3111	https://www.ncbi.nlm.nih.gov/gene/?term=3111
IGHV3-32	IGHV3-32	immunoglobulin heavy variable 3-32 (pseudogene)	28435	https://www.ncbi.nlm.nih.gov/gene/?term=28435
HLA-K	HLA-K	major histocompatibility complex, class I, K (pseudogene)	3138	https://www.ncbi.nlm.nih.gov/gene/?term=3138
