HLA_allele,KIR_allele,Pearson_r,p_value,p_value_PC_adjusted,bootstrap_pval,corr_tag,empirical_p_value,p_value_corrected,permutation_p_value,split_sample_replication_rate
HLA-DPB1*04,KIR2DL4*008,0.7503844890308649,1.0109180092105556e-05,0.014926347500330443,0.024,HLA_vs_KIR,0.0088,0.00029316622267106115,0.0,0.0
HLA-A*02,KIR3DL2*002,0.6750056075795907,0.00015506927941756404,0.003474732977245731,0.049,HLA_vs_KIR,0.0284,0.0015259205242960905,0.007978723404255319,0.6739130434782609
MICA*008,KIR3DL1*002,0.6744314668156505,0.00015785384734097487,0.01614363530322953,0.022,HLA_vs_KIR,0.0285,0.0015259205242960905,0.009042553191489361,
HLA-DPA1*01,CYP2A13*2,-0.7614660964645587,6.24227334419996e-06,0.021710711490128622,0.036,HLA_vs_CYP,0.0073,0.0002939562013592698,0.0008665511265164644,0.21428571428571427
MICA*004,CYP4F2*1,-0.7494913508898823,1.0498435762831064e-05,0.007998210633810666,0.038,HLA_vs_CYP,0.0089,0.0002939562013592698,0.00389948006932409,
HLA-DPA1*01,CYP2A13*1,0.7225295832039552,3.067907549062203e-05,0.0032078820199610927,0.006,HLA_vs_CYP,0.0134,0.00031006273900541963,0.009098786828422877,0.32
HLA-DPA1*01,CYP3A5*3,0.7193226241054895,3.457031794863223e-05,0.021140450051260806,0.014,HLA_vs_CYP,0.014,0.00031006273900541963,0.009098786828422877,0.15384615384615385
HLA-DRB3*02,CYP2A13*1,-0.7304704311310122,2.2664377745086447e-05,0.013447321077177145,0.017,HLA_vs_CYP,0.012,0.00031006273900541963,0.007365684575389948,0.22580645161290322
HLA-DQA1*05,CYP2C19*2,-0.72833847457209,2.460872973945371e-05,0.015466303810471732,0.007,HLA_vs_CYP,0.0124,0.00031006273900541963,0.00779896013864818,0.6666666666666666
HLA-DPB1*04,SLCO1B1*37,-0.7162110616321649,3.8757842375677454e-05,0.012931193669441827,0.018,HLA_vs_CYP,0.0146,0.00031006273900541963,0.009532062391681109,
MICB*002,CYP3A5*1,0.7071173490561352,5.3687631822348316e-05,0.043207653606182166,0.032,HLA_vs_CYP,0.0172,0.0003340563757835006,0.011265164644714038,0.35714285714285715
HLA-P*01,CYP2C19*17,0.7084412484514035,5.123871124187542e-05,0.035447020653692846,0.063,HLA_vs_CYP,0.0171,0.0003340563757835006,0.011265164644714038,
HLA-DPA2*02,SLCO1B1*37,0.6762448461179852,0.00014920574681856076,0.04282497069579425,0.045,HLA_vs_CYP,0.0275,0.0008355521821839403,0.01733102253032929,
HLA-T*03,CYP2C19*2,0.671561256666153,0.0001724437850028723,0.000997531225752648,0.005,HLA_vs_CYP,0.0296,0.0008778956327418953,0.018630849220103985,0.58
HLA-DPA1*02,SLCO1B1*1,-0.6616000792450419,0.00023268404860809933,0.04830852686095982,0.086,HLA_vs_CYP,0.0333,0.0010858588935044637,0.018630849220103985,0.125
HLA-DPB2*01,CYP3A5*3,0.6415444433016837,0.0004120283285687906,0.04798641098786392,0.195,HLA_vs_CYP,0.0416,0.001774891261527098,0.023830155979202773,0.2
TAP2*01,IGLV6-57*01,0.8032551100003459,7.820056857669048e-07,0.0243091628937632,0.047,HLA_vs_IG,0.0031,9.532360426774527e-05,0.0005920663114268798,0.21739130434782608
HLA-C*04,IGHV4-39*01,-0.7995812590891823,9.566936385061114e-07,0.009234161988063717,0.017,HLA_vs_IG,0.0032,9.532360426774527e-05,0.0005920663114268798,0.3333333333333333
HLA-K*01,IGLV4-69*01,0.8095058096403189,5.495172043021588e-07,4.350232412770742e-05,0.002,HLA_vs_IG,0.0027,9.532360426774527e-05,0.0002960331557134399,0.4117647058823529
HLA-DRB4*01,IGHV4-61*01,0.7961860592492606,1.1484771598523527e-06,0.021131132509321332,0.033,HLA_vs_IG,0.0033,9.532360426774527e-05,0.0008880994671403197,0.28
HLA-V*01,IGKJ4*01,0.7714076597168235,3.961306179036571e-06,4.6235127230610604e-06,0.0,HLA_vs_IG,0.0058,0.00020529976726866355,0.002960331557134399,0.7666666666666667
MICB*002,IGHV3-30*18,-0.7764501965278284,3.118177626975815e-06,0.008564684202780974,0.019,HLA_vs_IG,0.0053,0.00020529976726866355,0.0020722320899940793,0.5714285714285714
TAP2*02,IGHV3-54*02,0.769506748376508,4.328609550845316e-06,0.04671810133112459,0.073,HLA_vs_IG,0.0061,0.00020529976726866355,0.002960331557134399,0.10526315789473684
HLA-DPA1*02,IGKV3D-11*01,-0.7577202988074968,7.367820262243709e-06,0.04650245182672447,0.048,HLA_vs_IG,0.0079,0.00023433764827005335,0.0038484310242747188,0.26666666666666666
HLA-G*01,IGLV2-33*01,0.7565223173950414,7.764199189670443e-06,0.009035942446091707,0.038,HLA_vs_IG,0.0081,0.00023433764827005335,0.0041444641799881585,0.7777777777777778
HLA-DOB*01,IGLV4-69*01,0.7599460075092226,6.679044722430224e-06,0.0017497367139156265,0.024,HLA_vs_IG,0.0073,0.00023433764827005335,0.003552397868561279,0.5
HLA-P*02,IGHV5-51*03,-0.7612341760123528,6.30721737799575e-06,0.01072238293629698,0.009,HLA_vs_IG,0.0073,0.00023433764827005335,0.003552397868561279,0.16666666666666666
HLA-P*02,IGHV5-51*01,0.7427825490875616,1.3875955755466762e-05,0.012856922657005254,0.006,HLA_vs_IG,0.0098,0.0003290583793439261,0.005920663114268798,0.3076923076923077
HLA-F*01,IGLV3-31*01,0.7441762296437958,1.3103884743566415e-05,0.027384198989163413,0.063,HLA_vs_IG,0.0095,0.0003290583793439261,0.005624629958555358,0.9090909090909091
TAP2*01,IGLV1-47*01,0.743126026992949,1.3682008187793363e-05,0.04060006968872107,0.004,HLA_vs_IG,0.0097,0.0003290583793439261,0.005624629958555358,0.6842105263157895
HLA-DPA1*01,IGHJ6*02,0.7308385783927207,2.234281314911431e-05,0.023377912765954786,0.031,HLA_vs_IG,0.0118,0.0003460921566399056,0.008288928359976317,0.17647058823529413
HLA-DOB*01,IGHV4-34*01,0.7339628441130696,1.9772873001807312e-05,0.004504565995304857,0.012,HLA_vs_IG,0.0113,0.0003460921566399056,0.007400828892835998,0.5909090909090909
TAP2*01,IGHV4-55*01,0.7301655153635841,2.2933817608668444e-05,0.014737971190793743,0.021,HLA_vs_IG,0.012,0.0003460921566399056,0.008584961515689757,0.23809523809523808
HLA-DPB1*04,IGLV2-18*01,0.7368102708859302,1.7663158883925815e-05,0.01746706622920376,0.034,HLA_vs_IG,0.0109,0.0003460921566399056,0.006808762581409118,0.6666666666666666
HLA-K*01,IGLV3-31*01,0.7327114151466022,2.0768876388137084e-05,0.025578906198451667,0.09,HLA_vs_IG,0.0114,0.0003460921566399056,0.008288928359976317,0.36363636363636365
HLA-DOB*01,IGKV1D-43*01,0.7363883495232597,1.7962550736070384e-05,0.010599791705958584,0.173,HLA_vs_IG,0.0111,0.0003460921566399056,0.006808762581409118,0.7368421052631579
HLA-P*01,IGHV5-51*01,-0.7324645957162718,2.0970500119900406e-05,0.038227241549579745,0.024,HLA_vs_IG,0.0115,0.0003460921566399056,0.008288928359976317,
HLA-DOA*01,IGLV1-36*01,0.7389443061997821,1.621579679232538e-05,0.0008195446094450113,0.005,HLA_vs_IG,0.0106,0.0003460921566399056,0.006512729425695678,0.6153846153846154
HLA-F*01,IGLV7-43*01,0.7281195375250737,2.481655174897746e-05,0.014602467385018244,0.019,HLA_vs_IG,0.0124,0.0003484345425809673,0.008880994671403197,0.6
HLA-DPB2*01,IGLV3-22*01,0.7277322063413328,2.5188039222720527e-05,0.039003275072139104,0.091,HLA_vs_IG,0.0124,0.0003484345425809673,0.009177027827116636,0.3333333333333333
HLA-DPA1*01,IGLV7-46*01,-0.724334484503511,2.8664470162074785e-05,0.024382115745751325,0.058,HLA_vs_IG,0.013,0.00036959570533317496,0.009473060982830076,0.2692307692307692
HLA-DQA1*03,IGLV10-54*02,0.7240772293926582,2.894424198392334e-05,0.030908550755359993,0.064,HLA_vs_IG,0.0131,0.00036959570533317496,0.009473060982830076,0.375
HLA-DRB4*01,IGHV7-81*01,0.7223514139259147,3.0884598312779676e-05,0.04072970945013489,0.042,HLA_vs_IG,0.0134,0.00037976617184603157,0.009769094138543518,0.4
HLA-K*01,IGLV1-36*01,0.7153710756010184,3.996268423978712e-05,0.0027257763250165966,0.085,HLA_vs_IG,0.015,0.00041461284898779133,0.010657193605683837,0.6842105263157895
TAP2*02,IGHV4-55*01,-0.7154032167559975,3.991597875763095e-05,0.04289130801579518,0.077,HLA_vs_IG,0.015,0.00041461284898779133,0.010657193605683837,0.4166666666666667
MICA*001,IGHV3-71*04,0.716839807751455,3.7877173479826767e-05,0.0003761321043773512,0.007,HLA_vs_IG,0.0146,0.00041461284898779133,0.010657193605683837,0.625
HLA-F*01,IGLV4-69*01,0.7172880232545492,3.7260243196849295e-05,0.008785863386291455,0.014,HLA_vs_IG,0.0146,0.00041461284898779133,0.010657193605683837,0.8421052631578947
HLA-DOB*01,IGKV6D-21*02,0.7163928740997404,3.850133636111673e-05,0.0016967214264904476,0.008,HLA_vs_IG,0.0146,0.00041461284898779133,0.010657193605683837,0.7222222222222222
HLA-P*01,IGLV10-54*01,-0.7121383608642836,4.4915077467007363e-05,0.002104198009715376,0.006,HLA_vs_IG,0.0162,0.000451872900577165,0.011841326228537596,
HLA-P*02,IGLV10-54*01,0.7028159221656914,6.237458443196964e-05,0.00604637840978719,0.019,HLA_vs_IG,0.0184,0.000595324626995033,0.013321492007104795,0.5555555555555556
HLA-DQA1*03,IGHV3-54*04,0.70263758600821,6.276012633983782e-05,0.005989504098802787,0.087,HLA_vs_IG,0.0184,0.000595324626995033,0.013321492007104795,0.375
HLA-DOB*01,IGHV3-33-2*01,0.6987220678804575,7.177325555025295e-05,0.013082639889425794,0.063,HLA_vs_IG,0.0196,0.0006619089122967772,0.014209591474245116,0.7333333333333333
TAP2*02,IGHV4-55*02,0.6942778282110987,8.337255645964221e-05,0.047252631867911433,0.067,HLA_vs_IG,0.0213,0.0007480996958000328,0.014801657785671996,0.08333333333333333
HLA-DOB*01,IGKV3D-20*01,0.6931997507452461,8.642404279178814e-05,0.0018650308601174828,0.011,HLA_vs_IG,0.0217,0.0007533931259575329,0.014801657785671996,0.3888888888888889
HLA-H*01,IGLV2-14*03,0.6924850213111822,8.850099973597525e-05,0.016942788183307286,0.031,HLA_vs_IG,0.0219,0.0007533931259575329,0.015393724097098875,0.37777777777777777
