Community,Node,Family
0,HLA-DOB,HLA
0,TRBJ2-4,TCR
0,HLA-DOA,HLA
0,TRBV25-1,TCR
0,IGHV3-72,IG
0,TRGV8,TCR
0,TRBJ2-6,TCR
0,IGLV1-40,IG
0,TRAV2,TCR
0,IGLV4-69,IG
0,TRAJ41,TCR
0,IGLJ6,IG
0,TRGJP1,TCR
0,HLA-G,HLA
0,TRAJ1,TCR
0,TRAJ25,TCR
0,TRAJ12,TCR
0,TRAJ17,TCR
0,IGLV5-52,IG
0,TRDD2,TCR
0,TRBJ2-1,TCR
0,TRBV5-1,TCR
0,TRGJP,TCR
0,TRAJ2,TCR
0,TRAJ46,TCR
0,TRBV7-6,TCR
0,TRBV1,TCR
0,TRAJ35,TCR
0,TRAV11,TCR
0,TRDJ4,TCR
0,TRAJ30,TCR
0,TRAV8-1,TCR
0,TRAV39,TCR
0,IGKV1D-43,IG
0,TRBJ1-5,TCR
0,TRAV34,TCR
0,TRAJ19,TCR
0,TRAJ5,TCR
0,TRAJ7,TCR
0,IGKV1D-39,IG
0,IGKV1-33,IG
0,IGKV2D-24,IG
0,IGKV3D-7,IG
0,TRAJ58,TCR
0,TRAV3,TCR
0,TRAV41,TCR
0,TRAJ43,TCR
0,TRAJ40,TCR
0,TRBJ1-3,TCR
0,TRAV26-2,TCR
0,IGHV4-34,IG
0,TRBV5-4,TCR
0,TRAJ52,TCR
0,IGLJ4,IG
0,TRBJ1-4,TCR
0,TRAJ55,TCR
0,TRBV6-8,TCR
0,TRAJ56,TCR
0,HLA-F,HLA
0,TRDV1,TCR
0,IGHV5-78,IG
0,TRBV18,TCR
0,HLA-DQA2,HLA
0,TRAV25,TCR
0,TRGV11,TCR
0,TRAV12-1,TCR
0,TRAJ44,TCR
0,HLA-L,HLA
0,HLA-K,HLA
0,TRAV13-2,TCR
0,TRBJ2-2,TCR
0,IGHV3-32,IG
0,TRAJ34,TCR
0,TRBV6-1,TCR
0,TRBV7-1,TCR
0,TRDJ2,TCR
0,IGLV1-62,IG
0,TRAV18,TCR
0,TRAV12-3,TCR
0,TRDD1,TCR
0,IGKV1-39,IG
0,TRBV29-1,TCR
0,TRAJ27,TCR
0,TRGJ2,TCR
0,TRAJ22,TCR
0,TRAJ36,TCR
0,TRBV12-5,TCR
0,TRAV5,TCR
0,IGLV7-43,IG
0,TRAJ57,TCR
0,TRAJ3,TCR
0,HLA-DRA,HLA
0,TRAJ29,TCR
0,TRBD1,TCR
0,IGKV1D-17,IG
0,TRBV6-7,TCR
0,TRAJ28,TCR
0,IGKV3D-20,IG
0,TRAJ53,TCR
0,TRBJ2-5,TCR
0,TRAJ4,TCR
0,TRAJ60,TCR
0,TRAJ61,TCR
0,TRAJ23,TCR
0,TRAJ54,TCR
0,TRAJ10,TCR
0,IGKV6D-41,IG
0,TRBV12-4,TCR
0,TRAV7,TCR
0,TRBV23-1,TCR
0,TRBV3-1,TCR
0,TRAJ49,TCR
0,TRBJ2-3,TCR
0,TRBV27,TCR
0,TRAJ39,TCR
0,IGLV1-36,IG
0,TRAJ33,TCR
0,TRAV9-1,TCR
0,TRBV12-3,TCR
0,TRAJ20,TCR
0,IGKV6D-21,IG
0,TRBV5-7,TCR
0,TRBJ2-2P,TCR
0,IGLV3-25,IG
0,TRAV16,TCR
0,TRBV6-5,TCR
0,IGKV2D-40,IG
0,TRBV4-2,TCR
0,TRBV28,TCR
0,TRDJ1,TCR
0,TRBV12-2,TCR
0,TRAJ18,TCR
0,TRBV6-2,TCR
0,TRBV12-1,TCR
0,HLA-J,HLA
0,TRAJ48,TCR
0,TRGV5P,TCR
0,HLA-DMB,HLA
0,TRAV22,TCR
0,TRBV4-1,TCR
0,TRAV40,TCR
0,IGHV1-24,IG
0,HLA-U,HLA
0,TRGV10,TCR
0,IGHV3-33-2,IG
0,TRDD3,TCR
0,TRAJ9,TCR
0,TRGJP2,TCR
0,TRAJ59,TCR
0,TRAJ38,TCR
0,TRGVA,TCR
0,TRAJ45,TCR
0,TRDJ3,TCR
0,TRAJ6,TCR
0,IGLV3-31,IG
0,TRAV4,TCR
0,TRBV26,TCR
0,TRBJ1-2,TCR
0,IGLV9-49,IG
0,IGLV1-50,IG
0,TRBV5-6,TCR
0,HLA-DMA,HLA
0,TRAJ26,TCR
0,TRAJ42,TCR
0,TAP1,HLA
0,TRBV7-4,TCR
0,TRAV19,TCR
0,TRAV17,TCR
0,TRBJ1-1,TCR
0,TRBV13,TCR
0,TRAJ50,TCR
1,TRAJ16,TCR
1,KIR2DL4,KIR
1,HLA-DPB1,HLA
2,CYP2C9,CYP
2,IGHV4-61,IG
2,IGHV3-69-1,IG
3,IGKJ4,IG
3,HLA-V,HLA
4,TRGV1,TCR
4,IGKV2D-30,IG
5,IGHV1-69,IG
5,HLA-DQB1,HLA
6,TRAJ32,TCR
6,IGHV7-81,IG
7,TRAV1-1,TCR
7,IGHV3-43,IG
8,TRAJ21,TCR
8,IGLV3-19,IG
9,IGKV1D-33,IG
9,TRBV11-1,TCR
10,TRAJ14,TCR
10,IGKV2D-26,IG
