Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ETHNICITY,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR15475823,not collected,AMPLICON,7391,1419258,not applicable,PRJNA754842,SAMN20807824,Human,836141,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776339,Sequel,AR-155,m54042_190928_112019_AR-155_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-155,not collected,SRP332705,blood
SRR15475824,not collected,AMPLICON,6063,11222958,not applicable,PRJNA754842,SAMN20807824,Human,4959074,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776338,Sequel,AR-155,m54042_190928_112019_AR-155_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-155,not collected,SRP332705,blood
SRR15475825,not collected,AMPLICON,7293,1152427,not applicable,PRJNA754842,SAMN20807823,Human,703913,WALTER AND ELIZA HALL INSTITUTE,public,"sra,run.zq,bam","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776337,Sequel,AR-154,m54042_190928_112019_AR-154_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-154,not collected,SRP332705,blood
SRR15475826,not collected,AMPLICON,6004,8430683,not applicable,PRJNA754842,SAMN20807823,Human,3634545,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776336,Sequel,AR-154,m54042_190928_112019_AR-154_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-154,not collected,SRP332705,blood
SRR15475827,not collected,AMPLICON,7496,974593,not applicable,PRJNA754842,SAMN20807822,Human,652586,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776335,Sequel,AR-153,m54042_190928_112019_AR-153_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-153,not collected,SRP332705,blood
SRR15475828,not collected,AMPLICON,6107,5337829,not applicable,PRJNA754842,SAMN20807822,Human,2408552,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776334,Sequel,AR-153,m54042_190928_112019_AR-153_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-153,not collected,SRP332705,blood
SRR15475829,not collected,AMPLICON,7478,336518,not applicable,PRJNA754842,SAMN20807821,Human,298813,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776333,Sequel,AR-152,m54042_191115_043102_AR-152_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-152,not collected,SRP332705,blood
SRR15475830,not collected,AMPLICON,6086,1777288,not applicable,PRJNA754842,SAMN20807821,Human,844722,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776332,Sequel,AR-152,m54042_191115_043102_AR-152_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-152,not collected,SRP332705,blood
SRR15475831,not collected,AMPLICON,6105,11093543,not applicable,PRJNA754842,SAMN20807691,Human,4281383,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776331,Sequel,AR-016,m54042_190926_081310_AR-016_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-016,not collected,SRP332705,blood
SRR15475832,not collected,AMPLICON,6135,4202671,not applicable,PRJNA754842,SAMN20807792,Human,1953627,WALTER AND ELIZA HALL INSTITUTE,public,"sra,run.zq,bam","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776330,Sequel,AR-122,m54042_190928_112019_AR-122_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-122,not collected,SRP332705,blood
