url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861399/HG02492-clr-r54329U_20191115_214119-A01.bam	8938ad0b5aee8dc6243f65507142adbb	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG02492	Punjabi in Lahore, Pakistan	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861404/HG03683-clr-r54329U_20191209_223449-A01.bam	449779fa96d7cbd3f069384651a387a4	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03683	Sri Lankan Tamil in the UK	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861415/HG03009-clr-r64076_20191115_214147-C01.bam	30fad9681b765d8de110c921037f7cf0	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03009	Bengali in Bangladesh	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861406/HG00732-clr-r64076_20191216_203928-A01.bam	b72f2f47e5799a6f23bddf245ba625cc	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4982317/HG00514-clr-r54329U_20200724_230506-A01.bam	cf0a7631df7c814faa9edecd99dca881	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG00514	Han Chinese South	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101149/HG00171_20200108_CLEE_m54336U_191225_081415.subreads.bam	43597f5559bb1d07dae95fa7113cceda	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG00171	Finnish in Finland	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101154/HG02587_20200108_CLEE_m54336U_191014_193201.subreads.bam	c0be8fee150be5298b48f09e1f094ebd	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG02587	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101161/NA19239_20200108_CLEE_m54336U_191222_173559.subreads.bam	70b13927d344b86420cca07a2fdc9aa0	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	NA19239	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR496/ERR4968418/HG02587_20200108_CLEE_m64039_191009_121554.subreads.bam	f8e50079831ca25187701ec49baf9c5e	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG02587	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861407/HG03371-clr-r64076_20191113_194424-B01.bam	dda7b4eaf8edf0704d923b7424442521	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03371	Esan in Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861416/HG03009-clr-r64076_20191120_002050-A01.bam	f5296bbe233a1ce1e3aa00e67910f6a3	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03009	Bengali in Bangladesh	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861398/HG03065-clr-r54329U_20191118_223523-B01.bam	1c0e5e8d5a56e38bec442854e5273b93	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03065	Mende in Sierra Leone	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861409/NA12329-clr-r64076_20191206_001229-A01.bam	6bc450033df3f3782fee582a89b50ef9	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	NA12329	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101148/HG00171_20200108_CLEE_m54336U_191222_015919.subreads.bam	e757fb92cde3a19a06315cbfbd00a1f6	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG00171	Finnish in Finland	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101150/HG01114_20200108_CLEE_m54336U_191205_151927.subreads.bam	76d37274ad57efdac7699f2dfd6ddfa3	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG01114	Colombian in Medellin, Colombia	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101155/HG02587_20200108_CLEE_m54336U_191229_075124.subreads.bam	c7ff1052745b818b1ead04f07996d6b0	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG02587	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
