gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,8,8,1.0,KIR,KIR2,0,1
KIR2DL3,4,4,1.0,KIR,KIR2,0,1
KIR2DL4,13,14,0.929,KIR,KIR2,0,1
KIR2DP1,6,6,1.0,KIR,KIR2,0,1
KIR2DS4,5,6,0.833,KIR,KIR2,0,1
KIR3DL1,6,6,1.0,KIR,KIR3,0,1
KIR3DL2,11,12,0.917,KIR,KIR3,0,1
KIR3DL3,11,12,0.917,KIR,KIR3,0,1
KIR3DP1,10,10,1.0,KIR,KIR3,0,1
KIR2DL1,8,8,1.0,KIR,KIR2,5,1
KIR2DL3,4,4,1.0,KIR,KIR2,5,1
KIR2DL4,13,14,0.929,KIR,KIR2,5,1
KIR2DP1,6,6,1.0,KIR,KIR2,5,1
KIR2DS4,5,6,0.833,KIR,KIR2,5,1
KIR3DL1,6,6,1.0,KIR,KIR3,5,1
KIR3DL2,11,12,0.917,KIR,KIR3,5,1
KIR3DL3,11,12,0.917,KIR,KIR3,5,1
KIR3DP1,10,10,1.0,KIR,KIR3,5,1
KIR2DL1,8,8,1.0,KIR,KIR2,10,1
KIR2DL3,4,4,1.0,KIR,KIR2,10,1
KIR2DL4,13,14,0.929,KIR,KIR2,10,1
KIR2DP1,6,6,1.0,KIR,KIR2,10,1
KIR2DS4,5,6,0.833,KIR,KIR2,10,1
KIR3DL1,6,6,1.0,KIR,KIR3,10,1
KIR3DL2,11,12,0.917,KIR,KIR3,10,1
KIR3DL3,11,12,0.917,KIR,KIR3,10,1
KIR3DP1,8,8,1.0,KIR,KIR3,10,1
KIR2DL1,8,8,1.0,KIR,KIR2,15,1
KIR2DL3,4,4,1.0,KIR,KIR2,15,1
KIR2DL4,13,14,0.929,KIR,KIR2,15,1
KIR2DP1,6,6,1.0,KIR,KIR2,15,1
KIR2DS4,5,6,0.833,KIR,KIR2,15,1
KIR3DL1,6,6,1.0,KIR,KIR3,15,1
KIR3DL2,11,12,0.917,KIR,KIR3,15,1
KIR3DL3,11,12,0.917,KIR,KIR3,15,1
KIR3DP1,4,4,1.0,KIR,KIR3,15,1
KIR2DL1,8,8,1.0,KIR,KIR2,20,1
KIR2DL3,4,4,1.0,KIR,KIR2,20,1
KIR2DL4,13,14,0.929,KIR,KIR2,20,1
KIR2DP1,6,6,1.0,KIR,KIR2,20,1
KIR2DS4,5,6,0.833,KIR,KIR2,20,1
KIR3DL1,6,6,1.0,KIR,KIR3,20,1
KIR3DL2,11,12,0.917,KIR,KIR3,20,1
KIR3DL3,11,12,0.917,KIR,KIR3,20,1
