gene,correct,total,accuracy,class,subclass,cutoff
KIR2DL1,52,54,0.963,KIR,KIR2,0
KIR2DL2,1,2,0.5,KIR,KIR2,0
KIR2DL3,43,48,0.896,KIR,KIR2,0
KIR2DL4,69,74,0.932,KIR,KIR2,0
KIR2DL5A,2,2,1.0,KIR,KIR2,0
KIR2DL5B,2,2,1.0,KIR,KIR2,0
KIR2DP1,48,68,0.706,KIR,KIR2,0
KIR2DS1,4,4,1.0,KIR,KIR2,0
KIR2DS2,2,2,1.0,KIR,KIR2,0
KIR2DS3,2,2,1.0,KIR,KIR2,0
KIR2DS4,47,60,0.783,KIR,KIR2,0
KIR2DS5,4,4,1.0,KIR,KIR2,0
KIR3DL1,58,64,0.906,KIR,KIR3,0
KIR3DL2,68,86,0.791,KIR,KIR3,0
KIR3DL3,78,90,0.867,KIR,KIR3,0
KIR3DP1,38,50,0.76,KIR,KIR3,0
KIR3DS1,2,2,1.0,KIR,KIR3,0
