gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,42,42,1.0,KIR,KIR2,0,2
KIR2DL2,4,4,1.0,KIR,KIR2,0,2
KIR2DL3,32,34,0.941,KIR,KIR2,0,2
KIR2DL4,44,46,0.957,KIR,KIR2,0,2
KIR2DL5A,2,2,1.0,KIR,KIR2,0,2
KIR2DL5B,2,2,1.0,KIR,KIR2,0,2
KIR2DP1,36,44,0.818,KIR,KIR2,0,2
KIR2DS1,4,4,1.0,KIR,KIR2,0,2
KIR2DS2,2,2,1.0,KIR,KIR2,0,2
KIR2DS3,2,2,1.0,KIR,KIR2,0,2
KIR2DS4,38,38,1.0,KIR,KIR2,0,2
KIR2DS5,4,4,1.0,KIR,KIR2,0,2
KIR3DL1,39,40,0.975,KIR,KIR3,0,2
KIR3DL2,48,54,0.889,KIR,KIR3,0,2
KIR3DL3,52,56,0.929,KIR,KIR3,0,2
KIR3DP1,22,30,0.733,KIR,KIR3,0,2
KIR3DS1,2,2,1.0,KIR,KIR3,0,2
KIR2DL1,42,42,1.0,KIR,KIR2,5,2
KIR2DL2,4,4,1.0,KIR,KIR2,5,2
KIR2DL3,32,34,0.941,KIR,KIR2,5,2
KIR2DL4,44,46,0.957,KIR,KIR2,5,2
KIR2DL5A,2,2,1.0,KIR,KIR2,5,2
KIR2DL5B,2,2,1.0,KIR,KIR2,5,2
KIR2DP1,36,44,0.818,KIR,KIR2,5,2
KIR2DS1,4,4,1.0,KIR,KIR2,5,2
KIR2DS2,2,2,1.0,KIR,KIR2,5,2
KIR2DS3,2,2,1.0,KIR,KIR2,5,2
KIR2DS4,38,38,1.0,KIR,KIR2,5,2
KIR2DS5,4,4,1.0,KIR,KIR2,5,2
KIR3DL1,39,40,0.975,KIR,KIR3,5,2
KIR3DL2,48,54,0.889,KIR,KIR3,5,2
KIR3DL3,52,56,0.929,KIR,KIR3,5,2
KIR3DP1,21,28,0.75,KIR,KIR3,5,2
KIR3DS1,2,2,1.0,KIR,KIR3,5,2
KIR2DL1,42,42,1.0,KIR,KIR2,10,2
KIR2DL2,4,4,1.0,KIR,KIR2,10,2
KIR2DL3,32,34,0.941,KIR,KIR2,10,2
KIR2DL4,44,46,0.957,KIR,KIR2,10,2
KIR2DL5A,2,2,1.0,KIR,KIR2,10,2
KIR2DL5B,2,2,1.0,KIR,KIR2,10,2
KIR2DP1,36,44,0.818,KIR,KIR2,10,2
KIR2DS1,4,4,1.0,KIR,KIR2,10,2
KIR2DS2,2,2,1.0,KIR,KIR2,10,2
KIR2DS3,2,2,1.0,KIR,KIR2,10,2
KIR2DS4,38,38,1.0,KIR,KIR2,10,2
KIR2DS5,4,4,1.0,KIR,KIR2,10,2
KIR3DL1,39,40,0.975,KIR,KIR3,10,2
KIR3DL2,48,54,0.889,KIR,KIR3,10,2
KIR3DL3,52,56,0.929,KIR,KIR3,10,2
KIR3DP1,14,18,0.778,KIR,KIR3,10,2
KIR3DS1,2,2,1.0,KIR,KIR3,10,2
KIR2DL1,42,42,1.0,KIR,KIR2,15,2
KIR2DL2,4,4,1.0,KIR,KIR2,15,2
KIR2DL3,32,34,0.941,KIR,KIR2,15,2
KIR2DL4,44,46,0.957,KIR,KIR2,15,2
KIR2DL5A,2,2,1.0,KIR,KIR2,15,2
KIR2DL5B,2,2,1.0,KIR,KIR2,15,2
KIR2DP1,36,44,0.818,KIR,KIR2,15,2
KIR2DS1,4,4,1.0,KIR,KIR2,15,2
KIR2DS2,2,2,1.0,KIR,KIR2,15,2
KIR2DS3,2,2,1.0,KIR,KIR2,15,2
KIR2DS4,38,38,1.0,KIR,KIR2,15,2
KIR2DS5,4,4,1.0,KIR,KIR2,15,2
KIR3DL1,39,40,0.975,KIR,KIR3,15,2
KIR3DL2,48,54,0.889,KIR,KIR3,15,2
KIR3DL3,52,56,0.929,KIR,KIR3,15,2
KIR3DP1,7,8,0.875,KIR,KIR3,15,2
KIR3DS1,2,2,1.0,KIR,KIR3,15,2
KIR2DL1,42,42,1.0,KIR,KIR2,20,2
KIR2DL2,4,4,1.0,KIR,KIR2,20,2
KIR2DL3,32,34,0.941,KIR,KIR2,20,2
KIR2DL4,44,46,0.957,KIR,KIR2,20,2
KIR2DL5A,2,2,1.0,KIR,KIR2,20,2
KIR2DP1,36,44,0.818,KIR,KIR2,20,2
KIR2DS1,4,4,1.0,KIR,KIR2,20,2
KIR2DS2,2,2,1.0,KIR,KIR2,20,2
KIR2DS3,2,2,1.0,KIR,KIR2,20,2
KIR2DS4,38,38,1.0,KIR,KIR2,20,2
KIR2DS5,4,4,1.0,KIR,KIR2,20,2
KIR3DL1,39,40,0.975,KIR,KIR3,20,2
KIR3DL2,48,54,0.889,KIR,KIR3,20,2
KIR3DL3,52,56,0.929,KIR,KIR3,20,2
KIR3DP1,3,4,0.75,KIR,KIR3,20,2
KIR3DS1,2,2,1.0,KIR,KIR3,20,2
