gene,count,subclass,cutoff,resolution,type
KIR2DL1,42,KIR2,0,3,correct
KIR2DL1,42,KIR2,0,3,total
KIR2DL2,4,KIR2,0,3,correct
KIR2DL2,4,KIR2,0,3,total
KIR2DL3,32,KIR2,0,3,correct
KIR2DL3,34,KIR2,0,3,total
KIR2DL4,43,KIR2,0,3,correct
KIR2DL4,46,KIR2,0,3,total
KIR2DL5A,2,KIR2,0,3,correct
KIR2DL5A,2,KIR2,0,3,total
KIR2DL5B,2,KIR2,0,3,correct
KIR2DL5B,2,KIR2,0,3,total
KIR2DP1,36,KIR2,0,3,correct
KIR2DP1,44,KIR2,0,3,total
KIR2DS1,4,KIR2,0,3,correct
KIR2DS1,4,KIR2,0,3,total
KIR2DS2,2,KIR2,0,3,correct
KIR2DS2,2,KIR2,0,3,total
KIR2DS3,2,KIR2,0,3,correct
KIR2DS3,2,KIR2,0,3,total
KIR2DS4,34,KIR2,0,3,correct
KIR2DS4,38,KIR2,0,3,total
KIR2DS5,4,KIR2,0,3,correct
KIR2DS5,4,KIR2,0,3,total
KIR3DL1,39,KIR3,0,3,correct
KIR3DL1,40,KIR3,0,3,total
KIR3DL2,45,KIR3,0,3,correct
KIR3DL2,54,KIR3,0,3,total
KIR3DL3,50,KIR3,0,3,correct
KIR3DL3,56,KIR3,0,3,total
KIR3DP1,21,KIR3,0,3,correct
KIR3DP1,30,KIR3,0,3,total
KIR3DS1,2,KIR3,0,3,correct
KIR3DS1,2,KIR3,0,3,total
