gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,65,66,0.985,KIR,KIR2,0,3
KIR2DL2,4,4,1.0,KIR,KIR2,0,3
KIR2DL3,47,50,0.94,KIR,KIR2,0,3
KIR2DL4,72,76,0.947,KIR,KIR2,0,3
KIR2DL5A,2,2,1.0,KIR,KIR2,0,3
KIR2DL5B,2,2,1.0,KIR,KIR2,0,3
KIR2DP1,58,68,0.853,KIR,KIR2,0,3
KIR2DS1,4,4,1.0,KIR,KIR2,0,3
KIR2DS2,2,2,1.0,KIR,KIR2,0,3
KIR2DS3,2,2,1.0,KIR,KIR2,0,3
KIR2DS4,56,60,0.933,KIR,KIR2,0,3
KIR2DS5,4,4,1.0,KIR,KIR2,0,3
KIR3DL1,61,64,0.953,KIR,KIR3,0,3
KIR3DL2,68,86,0.791,KIR,KIR3,0,3
KIR3DL3,79,90,0.878,KIR,KIR3,0,3
KIR3DP1,42,52,0.808,KIR,KIR3,0,3
KIR3DS1,2,2,1.0,KIR,KIR3,0,3
KIR2DL1,65,66,0.985,KIR,KIR2,5,3
KIR2DL2,4,4,1.0,KIR,KIR2,5,3
KIR2DL3,47,50,0.94,KIR,KIR2,5,3
KIR2DL4,72,76,0.947,KIR,KIR2,5,3
KIR2DL5A,2,2,1.0,KIR,KIR2,5,3
KIR2DL5B,2,2,1.0,KIR,KIR2,5,3
KIR2DP1,58,68,0.853,KIR,KIR2,5,3
KIR2DS1,4,4,1.0,KIR,KIR2,5,3
KIR2DS2,2,2,1.0,KIR,KIR2,5,3
KIR2DS3,2,2,1.0,KIR,KIR2,5,3
KIR2DS4,56,60,0.933,KIR,KIR2,5,3
KIR2DS5,4,4,1.0,KIR,KIR2,5,3
KIR3DL1,61,64,0.953,KIR,KIR3,5,3
KIR3DL2,68,86,0.791,KIR,KIR3,5,3
KIR3DL3,79,90,0.878,KIR,KIR3,5,3
KIR3DP1,41,50,0.82,KIR,KIR3,5,3
KIR3DS1,2,2,1.0,KIR,KIR3,5,3
KIR2DL1,65,66,0.985,KIR,KIR2,10,3
KIR2DL2,4,4,1.0,KIR,KIR2,10,3
KIR2DL3,47,50,0.94,KIR,KIR2,10,3
KIR2DL4,72,76,0.947,KIR,KIR2,10,3
KIR2DL5A,2,2,1.0,KIR,KIR2,10,3
KIR2DL5B,2,2,1.0,KIR,KIR2,10,3
KIR2DP1,58,68,0.853,KIR,KIR2,10,3
KIR2DS1,4,4,1.0,KIR,KIR2,10,3
KIR2DS2,2,2,1.0,KIR,KIR2,10,3
KIR2DS3,2,2,1.0,KIR,KIR2,10,3
KIR2DS4,56,60,0.933,KIR,KIR2,10,3
KIR2DS5,4,4,1.0,KIR,KIR2,10,3
KIR3DL1,61,64,0.953,KIR,KIR3,10,3
KIR3DL2,68,86,0.791,KIR,KIR3,10,3
KIR3DL3,79,90,0.878,KIR,KIR3,10,3
KIR3DP1,21,26,0.808,KIR,KIR3,10,3
KIR3DS1,2,2,1.0,KIR,KIR3,10,3
KIR2DL1,65,66,0.985,KIR,KIR2,15,3
KIR2DL2,4,4,1.0,KIR,KIR2,15,3
KIR2DL3,47,50,0.94,KIR,KIR2,15,3
KIR2DL4,72,76,0.947,KIR,KIR2,15,3
KIR2DL5A,2,2,1.0,KIR,KIR2,15,3
KIR2DL5B,2,2,1.0,KIR,KIR2,15,3
KIR2DP1,58,68,0.853,KIR,KIR2,15,3
KIR2DS1,4,4,1.0,KIR,KIR2,15,3
KIR2DS2,2,2,1.0,KIR,KIR2,15,3
KIR2DS3,2,2,1.0,KIR,KIR2,15,3
KIR2DS4,56,60,0.933,KIR,KIR2,15,3
KIR2DS5,4,4,1.0,KIR,KIR2,15,3
KIR3DL1,61,64,0.953,KIR,KIR3,15,3
KIR3DL2,68,86,0.791,KIR,KIR3,15,3
KIR3DL3,79,90,0.878,KIR,KIR3,15,3
KIR3DP1,8,10,0.8,KIR,KIR3,15,3
KIR3DS1,2,2,1.0,KIR,KIR3,15,3
KIR2DL1,65,66,0.985,KIR,KIR2,20,3
KIR2DL2,4,4,1.0,KIR,KIR2,20,3
KIR2DL3,47,50,0.94,KIR,KIR2,20,3
KIR2DL4,72,76,0.947,KIR,KIR2,20,3
KIR2DL5A,2,2,1.0,KIR,KIR2,20,3
KIR2DP1,58,68,0.853,KIR,KIR2,20,3
KIR2DS1,4,4,1.0,KIR,KIR2,20,3
KIR2DS2,2,2,1.0,KIR,KIR2,20,3
KIR2DS3,2,2,1.0,KIR,KIR2,20,3
KIR2DS4,56,60,0.933,KIR,KIR2,20,3
KIR2DS5,4,4,1.0,KIR,KIR2,20,3
KIR3DL1,61,64,0.953,KIR,KIR3,20,3
KIR3DL2,68,86,0.791,KIR,KIR3,20,3
KIR3DL3,79,90,0.878,KIR,KIR3,20,3
KIR3DP1,2,4,0.5,KIR,KIR3,20,3
KIR3DS1,2,2,1.0,KIR,KIR3,20,3
