sample,gene,read_num
HG00438,KIR2DL1,53
HG00438,KIR2DL2,0
HG00438,KIR2DL3,41
HG00438,KIR2DL4,58
HG00438,KIR2DL5A,0
HG00438,KIR2DL5B,0
HG00438,KIR2DP1,44
HG00438,KIR2DS1,0
HG00438,KIR2DS2,0
HG00438,KIR2DS3,0
HG00438,KIR2DS4,45
HG00438,KIR2DS5,0
HG00438,KIR3DL1,46
HG00438,KIR3DL2,159
HG00438,KIR3DL3,57
HG00438,KIR3DP1,5
HG00438,KIR3DS1,0
HG00621,KIR2DL1,59
HG00621,KIR2DL2,0
HG00621,KIR2DL3,47
HG00621,KIR2DL4,56
HG00621,KIR2DL5A,0
HG00621,KIR2DL5B,0
HG00621,KIR2DP1,39
HG00621,KIR2DS1,0
HG00621,KIR2DS2,0
HG00621,KIR2DS3,0
HG00621,KIR2DS4,61
HG00621,KIR2DS5,0
HG00621,KIR3DL1,50
HG00621,KIR3DL2,166
HG00621,KIR3DL3,55
HG00621,KIR3DP1,13
HG00621,KIR3DS1,0
HG00673,KIR2DL1,62
HG00673,KIR2DL2,0
HG00673,KIR2DL3,68
HG00673,KIR2DL4,41
HG00673,KIR2DL5A,12
HG00673,KIR2DL5B,0
HG00673,KIR2DP1,58
HG00673,KIR2DS1,12
HG00673,KIR2DS2,0
HG00673,KIR2DS3,0
HG00673,KIR2DS4,31
HG00673,KIR2DS5,15
HG00673,KIR3DL1,25
HG00673,KIR3DL2,160
HG00673,KIR3DL3,65
HG00673,KIR3DP1,8
HG00673,KIR3DS1,22
HG00733,KIR2DL1,49
HG00733,KIR2DL2,28
HG00733,KIR2DL3,39
HG00733,KIR2DL4,103
HG00733,KIR2DL5A,1
HG00733,KIR2DL5B,24
HG00733,KIR2DP1,49
HG00733,KIR2DS1,0
HG00733,KIR2DS2,16
HG00733,KIR2DS3,24
HG00733,KIR2DS4,58
HG00733,KIR2DS5,0
HG00733,KIR3DL1,61
HG00733,KIR3DL2,175
HG00733,KIR3DL3,64
HG00733,KIR3DP1,22
HG00733,KIR3DS1,37
HG00735,KIR2DL1,20
HG00735,KIR2DL2,20
HG00735,KIR2DL3,26
HG00735,KIR2DL4,57
HG00735,KIR2DL5A,0
HG00735,KIR2DL5B,0
HG00735,KIR2DP1,20
HG00735,KIR2DS1,0
HG00735,KIR2DS2,13
HG00735,KIR2DS3,0
HG00735,KIR2DS4,59
HG00735,KIR2DS5,0
HG00735,KIR3DL1,58
HG00735,KIR3DL2,118
HG00735,KIR3DL3,54
HG00735,KIR3DP1,12
HG00735,KIR3DS1,0
HG00741,KIR2DL1,23
HG00741,KIR2DL2,0
HG00741,KIR2DL3,46
HG00741,KIR2DL4,17
HG00741,KIR2DL5A,0
HG00741,KIR2DL5B,0
HG00741,KIR2DP1,35
HG00741,KIR2DS1,18
HG00741,KIR2DS2,0
HG00741,KIR2DS3,0
HG00741,KIR2DS4,22
HG00741,KIR2DS5,0
HG00741,KIR3DL1,21
HG00741,KIR3DL2,91
HG00741,KIR3DL3,48
HG00741,KIR3DP1,4
HG00741,KIR3DS1,0
HG01071,KIR2DL1,44
HG01071,KIR2DL2,0
HG01071,KIR2DL3,37
HG01071,KIR2DL4,35
HG01071,KIR2DL5A,0
HG01071,KIR2DL5B,0
HG01071,KIR2DP1,43
HG01071,KIR2DS1,0
HG01071,KIR2DS2,0
HG01071,KIR2DS3,0
HG01071,KIR2DS4,29
HG01071,KIR2DS5,0
HG01071,KIR3DL1,37
HG01071,KIR3DL2,90
HG01071,KIR3DL3,45
