gene,count,subclass,cutoff,resolution,type
KIR2DL1,40,KIR2,0,2,correct
KIR2DL1,42,KIR2,0,2,total
KIR2DL2,2,KIR2,0,2,correct
KIR2DL2,2,KIR2,0,2,total
KIR2DL3,34,KIR2,0,2,correct
KIR2DL3,34,KIR2,0,2,total
KIR2DL4,41,KIR2,0,2,correct
KIR2DL4,44,KIR2,0,2,total
KIR2DL5A,0,KIR2,0,2,correct
KIR2DL5A,0,KIR2,0,2,total
KIR2DL5B,0,KIR2,0,2,correct
KIR2DL5B,0,KIR2,0,2,total
KIR2DP1,41,KIR2,0,2,correct
KIR2DP1,42,KIR2,0,2,total
KIR2DS1,2,KIR2,0,2,correct
KIR2DS1,2,KIR2,0,2,total
KIR2DS2,2,KIR2,0,2,correct
KIR2DS2,2,KIR2,0,2,total
KIR2DS3,2,KIR2,0,2,correct
KIR2DS3,2,KIR2,0,2,total
KIR2DS4,33,KIR2,0,2,correct
KIR2DS4,34,KIR2,0,2,total
KIR2DS5,2,KIR2,0,2,correct
KIR2DS5,2,KIR2,0,2,total
KIR3DL1,27,KIR3,0,2,correct
KIR3DL1,34,KIR3,0,2,total
KIR3DL2,48,KIR3,0,2,correct
KIR3DL2,52,KIR3,0,2,total
KIR3DL3,51,KIR3,0,2,correct
KIR3DL3,56,KIR3,0,2,total
KIR3DP1,3,KIR3,0,2,correct
KIR3DP1,4,KIR3,0,2,total
KIR3DS1,0,KIR3,0,2,correct
KIR3DS1,0,KIR3,0,2,total
