gene,count,subclass,cutoff,resolution,type
KIR2DL1,14,KIR2,0,1,correct
KIR2DL1,14,KIR2,0,1,total
KIR2DL2,0,KIR2,0,1,correct
KIR2DL2,0,KIR2,0,1,total
KIR2DL3,6,KIR2,0,1,correct
KIR2DL3,6,KIR2,0,1,total
KIR2DL4,27,KIR2,0,1,correct
KIR2DL4,30,KIR2,0,1,total
KIR2DL5A,1,KIR2,0,1,correct
KIR2DL5A,2,KIR2,0,1,total
KIR2DL5B,0,KIR2,0,1,correct
KIR2DL5B,0,KIR2,0,1,total
KIR2DP1,11,KIR2,0,1,correct
KIR2DP1,12,KIR2,0,1,total
KIR2DS1,2,KIR2,0,1,correct
KIR2DS1,2,KIR2,0,1,total
KIR2DS2,0,KIR2,0,1,correct
KIR2DS2,0,KIR2,0,1,total
KIR2DS3,0,KIR2,0,1,correct
KIR2DS3,0,KIR2,0,1,total
KIR2DS4,6,KIR2,0,1,correct
KIR2DS4,6,KIR2,0,1,total
KIR2DS5,0,KIR2,0,1,correct
KIR2DS5,0,KIR2,0,1,total
KIR3DL1,9,KIR3,0,1,correct
KIR3DL1,10,KIR3,0,1,total
KIR3DL2,25,KIR3,0,1,correct
KIR3DL2,28,KIR3,0,1,total
KIR3DL3,22,KIR3,0,1,correct
KIR3DL3,22,KIR3,0,1,total
KIR3DP1,13,KIR3,0,1,correct
KIR3DP1,18,KIR3,0,1,total
KIR3DS1,2,KIR3,0,1,correct
KIR3DS1,2,KIR3,0,1,total
