sample,gene,read_num
HG00171,KIR2DL1,75
HG00171,KIR2DL2,0
HG00171,KIR2DL3,53
HG00171,KIR2DL4,49
HG00171,KIR2DL5A,1
HG00171,KIR2DL5B,1
HG00171,KIR2DP1,46
HG00171,KIR2DS1,0
HG00171,KIR2DS2,0
HG00171,KIR2DS3,0
HG00171,KIR2DS4,58
HG00171,KIR2DS5,0
HG00171,KIR3DL1,58
HG00171,KIR3DL2,106
HG00171,KIR3DL3,63
HG00171,KIR3DP1,8
HG00171,KIR3DS1,1
HG00514,KIR2DL1,19
HG00514,KIR2DL2,14
HG00514,KIR2DL3,23
HG00514,KIR2DL4,39
HG00514,KIR2DL5A,0
HG00514,KIR2DL5B,0
HG00514,KIR2DP1,14
HG00514,KIR2DS1,0
HG00514,KIR2DS2,9
HG00514,KIR2DS3,0
HG00514,KIR2DS4,53
HG00514,KIR2DS5,0
HG00514,KIR3DL1,41
HG00514,KIR3DL2,69
HG00514,KIR3DL3,39
HG00514,KIR3DP1,5
HG00514,KIR3DS1,0
HG00731,KIR2DL1,61
HG00731,KIR2DL2,59
HG00731,KIR2DL3,0
HG00731,KIR2DL4,97
HG00731,KIR2DL5A,2
HG00731,KIR2DL5B,15
HG00731,KIR2DP1,35
HG00731,KIR2DS1,0
HG00731,KIR2DS2,59
HG00731,KIR2DS3,30
HG00731,KIR2DS4,81
HG00731,KIR2DS5,0
HG00731,KIR3DL1,95
HG00731,KIR3DL2,128
HG00731,KIR3DL3,58
HG00731,KIR3DP1,13
HG00731,KIR3DS1,40
HG00732,KIR2DL1,61
HG00732,KIR2DL2,0
HG00732,KIR2DL3,77
HG00732,KIR2DL4,51
HG00732,KIR2DL5A,15
HG00732,KIR2DL5B,2
HG00732,KIR2DP1,68
HG00732,KIR2DS1,19
HG00732,KIR2DS2,0
HG00732,KIR2DS3,0
HG00732,KIR2DS4,34
HG00732,KIR2DS5,24
HG00732,KIR3DL1,32
HG00732,KIR3DL2,105
HG00732,KIR3DL3,70
HG00732,KIR3DP1,1
HG00732,KIR3DS1,23
HG00733,KIR2DL1,65
HG00733,KIR2DL2,20
HG00733,KIR2DL3,41
HG00733,KIR2DL4,79
HG00733,KIR2DL5A,1
HG00733,KIR2DL5B,11
HG00733,KIR2DP1,69
HG00733,KIR2DS1,1
HG00733,KIR2DS2,25
HG00733,KIR2DS3,19
HG00733,KIR2DS4,76
HG00733,KIR2DS5,0
HG00733,KIR3DL1,73
HG00733,KIR3DL2,114
HG00733,KIR3DL3,77
HG00733,KIR3DP1,10
HG00733,KIR3DS1,32
HG01114,KIR2DL1,61
HG01114,KIR2DL2,0
HG01114,KIR2DL3,64
HG01114,KIR2DL4,34
HG01114,KIR2DL5A,17
HG01114,KIR2DL5B,0
HG01114,KIR2DP1,34
HG01114,KIR2DS1,21
HG01114,KIR2DS2,0
HG01114,KIR2DS3,0
HG01114,KIR2DS4,27
HG01114,KIR2DS5,15
HG01114,KIR3DL1,21
HG01114,KIR3DL2,89
HG01114,KIR3DL3,66
HG01114,KIR3DP1,9
HG01114,KIR3DS1,21
HG01596,KIR2DL1,47
HG01596,KIR2DL2,0
HG01596,KIR2DL3,37
HG01596,KIR2DL4,44
HG01596,KIR2DL5A,0
HG01596,KIR2DL5B,0
HG01596,KIR2DP1,30
HG01596,KIR2DS1,0
HG01596,KIR2DS2,0
HG01596,KIR2DS3,0
HG01596,KIR2DS4,52
HG01596,KIR2DS5,0
HG01596,KIR3DL1,44
HG01596,KIR3DL2,84
HG01596,KIR3DL3,38
HG01596,KIR3DP1,6
HG01596,KIR3DS1,0
HG02011,KIR2DL1,66
HG02011,KIR2DL2,20
HG02011,KIR2DL3,39
HG02011,KIR2DL4,47
HG02011,KIR2DL5A,10
HG02011,KIR2DL5B,11
HG02011,KIR2DP1,61
HG02011,KIR2DS1,21
HG02011,KIR2DS2,29
HG02011,KIR2DS3,28
HG02011,KIR2DS4,26
HG02011,KIR2DS5,14
HG02011,KIR3DL1,33
HG02011,KIR3DL2,107
HG02011,KIR3DL3,92
HG02011,KIR3DP1,9
HG02011,KIR3DS1,22
HG02492,KIR2DL1,31
HG02492,KIR2DL2,16
HG02492,KIR2DL3,40
HG02492,KIR2DL4,17
HG02492,KIR2DL5A,22
HG02492,KIR2DL5B,11
HG02492,KIR2DP1,20
HG02492,KIR2DS1,50
HG02492,KIR2DS2,26
HG02492,KIR2DS3,0
HG02492,KIR2DS4,0
HG02492,KIR2DS5,39
HG02492,KIR3DL1,0
HG02492,KIR3DL2,106
HG02492,KIR3DL3,68
HG02492,KIR3DP1,8
HG02492,KIR3DS1,21
HG02587,KIR2DL1,63
HG02587,KIR2DL2,0
HG02587,KIR2DL3,73
HG02587,KIR2DL4,60
HG02587,KIR2DL5A,0
HG02587,KIR2DL5B,1
HG02587,KIR2DP1,56
HG02587,KIR2DS1,1
HG02587,KIR2DS2,0
HG02587,KIR2DS3,0
HG02587,KIR2DS4,80
HG02587,KIR2DS5,0
HG02587,KIR3DL1,77
HG02587,KIR3DL2,105
HG02587,KIR3DL3,76
HG02587,KIR3DP1,11
HG02587,KIR3DS1,1
HG03009,KIR2DL1,71
HG03009,KIR2DL2,0
HG03009,KIR2DL3,61
HG03009,KIR2DL4,82
HG03009,KIR2DL5A,17
HG03009,KIR2DL5B,1
HG03009,KIR2DP1,27
HG03009,KIR2DS1,18
HG03009,KIR2DS2,0
HG03009,KIR2DS3,19
HG03009,KIR2DS4,39
HG03009,KIR2DS5,1
HG03009,KIR3DL1,32
HG03009,KIR3DL2,98
HG03009,KIR3DL3,66
HG03009,KIR3DP1,36
HG03009,KIR3DS1,49
HG03065,KIR2DL1,32
HG03065,KIR2DL2,28
HG03065,KIR2DL3,33
HG03065,KIR2DL4,53
HG03065,KIR2DL5A,0
HG03065,KIR2DL5B,0
HG03065,KIR2DP1,24
HG03065,KIR2DS1,0
HG03065,KIR2DS2,20
HG03065,KIR2DS3,0
HG03065,KIR2DS4,65
HG03065,KIR2DS5,0
HG03065,KIR3DL1,53
