Software,Class,Common_Samples,Total_Matches,Total_Alleles,Accuracy_Common,CI_Low,CI_Upp,Dataset
HLA*LA,Class I Genes,57,100,114,0.8771929824561403,0.8043737386135157,0.9254194753279106,hgsvc2_clr
HLA*LA,Class II Genes,93,150,186,0.8064516129032258,0.7437081840450999,0.8567924438467847,hgsvc2_clr
HLA*LA,All Genes,150,250,300,0.8333333333333334,0.7870024256968671,0.8712352876379759,hgsvc2_clr
HLA*LA,Overall,150,250,300,0.8333333333333334,0.7870024256968671,0.8712352876379759,hgsvc2_clr
SpecHLA,Class I Genes,57,110,114,0.9649122807017544,0.9132402851480909,0.986272280872737,hgsvc2_clr
SpecHLA,Class II Genes,93,147,186,0.7903225806451613,0.7262424374686993,0.8426528942183493,hgsvc2_clr
SpecHLA,All Genes,150,257,300,0.8566666666666667,0.8124985303950185,0.8918158228732633,hgsvc2_clr
SpecHLA,Overall,150,257,300,0.8566666666666667,0.8124985303950185,0.8918158228732633,hgsvc2_clr
SpecLong,Class I Genes,57,112,114,0.9824561403508771,0.9382807541193635,0.9951756823173447,hgsvc2_clr
SpecLong,Class II Genes,93,175,186,0.9408602150537635,0.8972179585123472,0.9666601377531712,hgsvc2_clr
SpecLong,All Genes,150,287,300,0.9566666666666667,0.927281870871939,0.9745037963967957,hgsvc2_clr
SpecLong,Overall,150,287,300,0.9566666666666667,0.927281870871939,0.9745037963967957,hgsvc2_clr
HLA*LA,Class I Genes,27,48,54,0.8888888888888888,0.7780505106792327,0.9480704818244324,hgsvc2_hifi
HLA*LA,Class II Genes,44,69,88,0.7840909090909091,0.6872227423488249,0.8571928601668108,hgsvc2_hifi
HLA*LA,All Genes,71,117,142,0.823943661971831,0.7530100768181585,0.8778113074782288,hgsvc2_hifi
HLA*LA,Overall,71,117,142,0.823943661971831,0.7530100768181585,0.8778113074782288,hgsvc2_hifi
SpecHLA,Class I Genes,27,53,54,0.9814814814814815,0.902283346415128,0.996723596684648,hgsvc2_hifi
SpecHLA,Class II Genes,44,70,88,0.7954545454545454,0.69967842462109,0.8665138019951709,hgsvc2_hifi
SpecHLA,All Genes,71,123,142,0.8661971830985915,0.800462485425338,0.9126399489966649,hgsvc2_hifi
SpecHLA,Overall,71,123,142,0.8661971830985915,0.800462485425338,0.9126399489966649,hgsvc2_hifi
SpecLong,Class I Genes,27,54,54,1.0,0.9335841332189981,1.0,hgsvc2_hifi
SpecLong,Class II Genes,44,86,88,0.9772727272727273,0.9208730093704057,0.9937452028558621,hgsvc2_hifi
SpecLong,All Genes,71,140,142,0.9859154929577465,0.9501030115661628,0.996129064878418,hgsvc2_hifi
