Software,Class,Expected_Total_Alleles,Actual_Total_Alleles,Total_Matches,Accuracy_With_Penalty,Accuracy_No_Penalty,Dataset
HLA*LA,Class I Genes,228,228,214,0.9385964912280702,0.9385964912280702,hgsvc2_clr
HLA*LA,Class I Pseudogenes,90,90,79,0.8777777777777778,0.8777777777777778,hgsvc2_clr
HLA*LA,Class II Genes,252,252,207,0.8214285714285714,0.8214285714285714,hgsvc2_clr
HLA*LA,All Genes,570,570,500,0.8771929824561403,0.8771929824561403,hgsvc2_clr
HLA*LA,Overall,570,570,500,0.8771929824561403,0.8771929824561403,hgsvc2_clr
SpecHLA,Class I Genes,114,114,110,0.9649122807017544,0.9649122807017544,hgsvc2_clr
SpecHLA,Class II Genes,186,186,147,0.7903225806451613,0.7903225806451613,hgsvc2_clr
SpecHLA,All Genes,300,300,257,0.8566666666666667,0.8566666666666667,hgsvc2_clr
SpecHLA,Overall,300,300,257,0.8566666666666667,0.8566666666666667,hgsvc2_clr
SpecLong,Class I Genes,228,228,226,0.9912280701754386,0.9912280701754386,hgsvc2_clr
SpecLong,Class I Pseudogenes,368,368,345,0.9375,0.9375,hgsvc2_clr
SpecLong,Class II Genes,546,546,508,0.9304029304029304,0.9304029304029304,hgsvc2_clr
SpecLong,Non-HLA Genes,144,144,121,0.8402777777777778,0.8402777777777778,hgsvc2_clr
SpecLong,All Genes,1324,1324,1200,0.9063444108761329,0.9063444108761329,hgsvc2_clr
SpecLong,Overall,1324,1324,1200,0.9063444108761329,0.9063444108761329,hgsvc2_clr
HLA*LA,Class I Genes,108,108,102,0.9444444444444444,0.9444444444444444,hgsvc2_hifi
HLA*LA,Class I Pseudogenes,40,40,35,0.875,0.875,hgsvc2_hifi
HLA*LA,Class II Genes,114,114,94,0.8245614035087719,0.8245614035087719,hgsvc2_hifi
HLA*LA,All Genes,262,262,231,0.8816793893129771,0.8816793893129771,hgsvc2_hifi
HLA*LA,Overall,262,262,231,0.8816793893129771,0.8816793893129771,hgsvc2_hifi
SpecHLA,Class I Genes,54,54,53,0.9814814814814815,0.9814814814814815,hgsvc2_hifi
SpecHLA,Class II Genes,88,88,70,0.7954545454545454,0.7954545454545454,hgsvc2_hifi
SpecHLA,All Genes,142,142,123,0.8661971830985915,0.8661971830985915,hgsvc2_hifi
SpecHLA,Overall,142,142,123,0.8661971830985915,0.8661971830985915,hgsvc2_hifi
SpecLong,Class I Genes,108,108,108,1.0,1.0,hgsvc2_hifi
SpecLong,Class I Pseudogenes,164,164,159,0.9695121951219512,0.9695121951219512,hgsvc2_hifi
SpecLong,Class II Genes,256,256,243,0.94921875,0.94921875,hgsvc2_hifi
SpecLong,Non-HLA Genes,72,72,61,0.8472222222222222,0.8472222222222222,hgsvc2_hifi
SpecLong,All Genes,618,618,571,0.9239482200647249,0.9239482200647249,hgsvc2_hifi
SpecLong,Overall,618,618,571,0.9239482200647249,0.9239482200647249,hgsvc2_hifi
