Dataset,Software,Depth Cutoff,Average Accuracy < Depth,Average Accuracy >= Depth
hgsvc2_clr,HLA*LA,5,0.21428571428571427,0.1625110570544007
hgsvc2_clr,SpecHLA,5,,0.8554459064327484
hgsvc2_clr,SpecLong,5,0.8728991596638656,0.9522795530922465
hgsvc2_clr,HLA*LA,10,0.17857142857142858,0.18089340999557715
hgsvc2_clr,SpecHLA,10,,0.8554459064327484
hgsvc2_clr,SpecLong,10,0.8740601503759398,0.943437650160512
hgsvc2_clr,HLA*LA,15,0.17857142857142858,0.18089340999557715
hgsvc2_clr,SpecHLA,15,,0.8554459064327484
hgsvc2_clr,SpecLong,15,0.8327067669172932,0.9471663433423302
hgsvc2_clr,HLA*LA,20,0.08928571428571429,0.18089340999557715
hgsvc2_clr,SpecHLA,20,,0.8554459064327484
hgsvc2_clr,SpecLong,20,0.8745300751879699,0.9468658625730995
hgsvc2_clr,HLA*LA,25,0.14285714285714288,0.18124355005159956
hgsvc2_clr,SpecHLA,25,,0.8554459064327484
hgsvc2_clr,SpecLong,25,0.9239006607427659,0.9476722404970761
hgsvc2_clr,HLA*LA,30,0.1326530612244898,0.18098555211558306
hgsvc2_clr,SpecHLA,30,1.0,0.8536915204678364
hgsvc2_clr,SpecLong,30,0.95812447786132,0.947452942251462
hgsvc2_clr,HLA*LA,35,0.1868131868131868,0.18199730872741252
hgsvc2_clr,SpecHLA,35,0.9375,0.8592455123995373
hgsvc2_clr,SpecLong,35,0.9278418584339635,0.9525636513801897
hgsvc2_clr,HLA*LA,40,0.18000000000000002,0.16387429971988796
hgsvc2_clr,SpecHLA,40,0.9291666666666668,0.8520066738816738
hgsvc2_clr,SpecLong,40,0.9328725756151741,0.9676578599275967
hgsvc2_clr,HLA*LA,45,0.15952380952380954,0.16711738782051283
hgsvc2_clr,SpecHLA,45,0.844551282051282,0.863763197586727
hgsvc2_clr,SpecLong,45,0.938088678239054,0.9662267471091002
hgsvc2_clr,HLA*LA,50,0.15808823529411764,0.1757305194805195
hgsvc2_clr,SpecHLA,50,0.847842261904762,0.862707604895105
hgsvc2_clr,SpecLong,50,0.9357011847801321,0.9684841021047916
hgsvc2_hifi,HLA*LA,5,1.0,0.8800843253968254
hgsvc2_hifi,SpecHLA,5,,0.8680555555555556
hgsvc2_hifi,SpecLong,5,0.875,0.9795033670033668
hgsvc2_hifi,HLA*LA,10,1.0,0.872089947089947
hgsvc2_hifi,SpecHLA,10,,0.8680555555555556
hgsvc2_hifi,SpecLong,10,0.875,0.9774537037037037
hgsvc2_hifi,HLA*LA,15,1.0,0.872089947089947
hgsvc2_hifi,SpecHLA,15,,0.8680555555555556
hgsvc2_hifi,SpecLong,15,0.9166666666666666,0.9769907407407407
hgsvc2_hifi,HLA*LA,20,0.9642857142857143,0.8685185185185185
hgsvc2_hifi,SpecHLA,20,1.0,0.8680555555555556
hgsvc2_hifi,SpecLong,20,0.96875,0.9761973180076627
hgsvc2_hifi,HLA*LA,25,0.9551282051282051,0.8510582010582011
hgsvc2_hifi,SpecHLA,25,0.9722222222222223,0.875
hgsvc2_hifi,SpecLong,25,0.9827586206896551,0.9729024943310657
hgsvc2_hifi,HLA*LA,30,0.8932291666666666,0.85
hgsvc2_hifi,SpecHLA,30,0.925,0.8660714285714286
hgsvc2_hifi,SpecLong,30,0.9583333333333331,0.9809098639455783
hgsvc2_hifi,HLA*LA,35,0.8758556547619049,0.8775510204081632
hgsvc2_hifi,SpecHLA,35,0.9114583333333333,0.8660714285714286
hgsvc2_hifi,SpecLong,35,0.9632352941176471,0.9823633156966489
hgsvc2_hifi,HLA*LA,40,0.8741815476190476,0.8571428571428571
hgsvc2_hifi,SpecHLA,40,0.9160714285714286,0.8469387755102041
hgsvc2_hifi,SpecLong,40,0.9648109243697479,0.9859307359307359
hgsvc2_hifi,HLA*LA,45,0.8767857142857143,0.90625
hgsvc2_hifi,SpecHLA,45,0.8799603174603176,0.75
hgsvc2_hifi,SpecLong,45,0.9679330065359479,0.9739583333333334
hgsvc2_hifi,HLA*LA,50,0.8731398809523809,0.875
hgsvc2_hifi,SpecHLA,50,0.8506944444444445,0.9166666666666667
hgsvc2_hifi,SpecLong,50,0.9651960784313725,0.9642857142857143
hprc_hifi,HLA*LA,5,1.0,0.8781195956643527
hprc_hifi,SpecHLA,5,,0.8666666666666667
hprc_hifi,SpecLong,5,0.6689205653021442,0.9578549469853819
hprc_hifi,HLA*LA,10,1.0,0.8705020703933748
hprc_hifi,SpecHLA,10,,0.8666666666666667
hprc_hifi,SpecLong,10,0.6802083333333333,0.9564182194616978
hprc_hifi,HLA*LA,15,1.0,0.8704302313129151
hprc_hifi,SpecHLA,15,0.25,0.8706896551724138
hprc_hifi,SpecLong,15,0.7151041666666667,0.9573249882995011
hprc_hifi,HLA*LA,20,0.7142857142857143,0.8738273332669886
hprc_hifi,SpecHLA,20,0.6666666666666666,0.8720625798212005
hprc_hifi,SpecLong,20,0.8272435897435897,0.9594947834206147
hprc_hifi,HLA*LA,25,0.8159722222222222,0.8747918299373041
hprc_hifi,SpecHLA,25,0.8466666666666667,0.8704741379310346
hprc_hifi,SpecLong,25,0.9200892857142856,0.9627203825336009
hprc_hifi,HLA*LA,30,0.9015151515151516,0.8736294616371848
hprc_hifi,SpecHLA,30,0.8834647495361782,0.8731325361755212
hprc_hifi,SpecLong,30,0.9325391006842618,0.9633922833904686
hprc_hifi,HLA*LA,35,0.9329605579605579,0.8637534114436288
hprc_hifi,SpecHLA,35,0.864856968428397,0.8775938735177866
hprc_hifi,SpecLong,35,0.932595486111111,0.962281314699793
hprc_hifi,HLA*LA,40,0.9238474810213941,0.8696614583333334
hprc_hifi,SpecHLA,40,0.8789288179039731,0.8858506944444445
hprc_hifi,SpecLong,40,0.9354738223235518,0.9603110209601081
hprc_hifi,HLA*LA,45,0.8548599475215188,0.8623141226589502
hprc_hifi,SpecHLA,45,0.8994625869916116,0.8809267241379312
hprc_hifi,SpecLong,45,0.9368036734663526,0.9626795977011494
hprc_hifi,HLA*LA,50,0.8833058085803036,0.8710508241758241
hprc_hifi,SpecHLA,50,0.8376501853240046,0.9170673076923077
hprc_hifi,SpecLong,50,0.9297001198598561,0.9576025641025641
hprc_ont,HLA*LA,5,0.8541666666666666,0.8627569523107049
hprc_ont,SpecHLA,5,0.0,0.6421079638752052
hprc_ont,SpecLong,5,0.8243987381309346,0.9528841059567833
hprc_ont,HLA*LA,10,0.8256926406926407,0.8595872530767584
hprc_ont,SpecHLA,10,0.22083333333333333,0.6900236486991547
hprc_ont,SpecLong,10,0.9154742578849719,0.9556242607966745
hprc_ont,HLA*LA,15,0.8371575906732157,0.8655762275005696
hprc_ont,SpecHLA,15,0.36529806998556996,0.7561316287878788
hprc_ont,SpecLong,15,0.9073270794861704,0.9626043468589106
hprc_ont,HLA*LA,20,0.8379799918408551,0.8871345413165266
hprc_ont,SpecHLA,20,0.49101774961149963,0.8017930088702148
hprc_ont,SpecLong,20,0.9140000269035281,0.9609435780581825
hprc_ont,HLA*LA,25,0.8421947111402881,0.8708353683353685
hprc_ont,SpecHLA,25,0.5411819602676381,0.8313778235653236
hprc_ont,SpecLong,25,0.9149476601972732,0.9640873015873017
hprc_ont,HLA*LA,30,0.8540350889519688,0.8980725623582766
hprc_ont,SpecHLA,30,0.5949588907469342,0.8350198412698413
hprc_ont,SpecLong,30,0.9191783190842506,0.9612139917695472
hprc_ont,HLA*LA,35,0.8559219131725526,0.9081196581196581
hprc_ont,SpecHLA,35,0.6122049247049246,0.84375
hprc_ont,SpecLong,35,0.9208836725077252,0.959903381642512
