Comparison,Class,Common_Samples,SpecLong_Accuracy,HLA*LA_Accuracy,Accuracy_Difference,Fisher_P,McNemar_P,Effect_Size,Both_Correct,SpecLong_Only_Correct,HLA*LA_Only_Correct,Both_Wrong,SpecHLA_Accuracy,SpecHLA_Only_Correct,Fisher_P_Adjusted,Fisher_Significant,McNemar_P_Adjusted,McNemar_Significant,Dataset
SpecLong vs HLA*LA,Class I Genes,114,0.9912280701754386,0.9385964912280702,0.05263157894736836,0.0035876401825860214,0.0009765625,Medium,101,11.0,0.0,2,,,0.007175280365172043,True,0.001953125,True,hgsvc2_clr
SpecLong vs HLA*LA,Class I Pseudogenes,45,0.9888888888888889,0.8777777777777778,0.11111111111111116,0.0048404577103483525,0.01171875,Large,34,10.0,1.0,0,,,0.008067429517247255,True,0.01953125,True,hgsvc2_clr
SpecLong vs HLA*LA,Class II Genes,126,0.9365079365079365,0.8214285714285714,0.11507936507936511,0.00010287101638885895,1.5497207641601562e-06,Large,88,24.0,1.0,13,,,0.0002571775409721474,True,7.748603820800781e-06,True,hgsvc2_clr
SpecLong vs HLA*LA,All Genes,285,0.9666666666666667,0.8771929824561403,0.08947368421052637,1.4513685010045229e-08,1.6044054973463062e-11,Medium,223,45.0,2.0,15,,,1.4513685010045228e-07,True,1.6044054973463062e-10,True,hgsvc2_clr
SpecLong vs SpecHLA,Class I Genes,57,0.9824561403508771,,0.01754385964912275,0.6833145664184168,0.5,Negligible,53,2.0,,2,0.9649122807017544,0.0,0.7592384071315742,False,0.5555555555555556,False,hgsvc2_clr
SpecLong vs SpecHLA,Class II Genes,93,0.9408602150537635,,0.15053763440860224,2.7192609924120676e-05,1.049041748046875e-05,Large,59,24.0,,8,0.7903225806451613,2.0,0.00010786513951691404,True,2.6226043701171875e-05,True,hgsvc2_clr
SpecLong vs SpecHLA,All Genes,150,0.9566666666666667,,0.09999999999999998,3.235954185507421e-05,3.032386302947998e-06,Medium,112,26.0,,10,0.8566666666666667,2.0,0.00010786513951691404,True,1.0107954343159994e-05,True,hgsvc2_clr
HLA*LA vs SpecHLA,Class I Genes,57,,0.8771929824561403,-0.08771929824561409,0.024646066511522718,0.0224609375,Medium,42,,2.0,2,0.9649122807017544,11.0,0.035208666445032455,True,0.032087053571428575,True,hgsvc2_clr
HLA*LA vs SpecHLA,Class II Genes,93,,0.8064516129032258,0.016129032258064502,0.7961899649130744,0.735878800856881,Negligible,45,,19.0,13,0.7903225806451613,16.0,0.7961899649130744,False,0.735878800856881,False,hgsvc2_clr
HLA*LA vs SpecHLA,All Genes,150,,0.8333333333333334,-0.023333333333333317,0.49866733377730543,0.470879013621712,Small,87,,21.0,15,0.8566666666666667,27.0,0.6233341672216317,False,0.5555555555555556,False,hgsvc2_clr
SpecLong vs HLA*LA,Class I Genes,54,1.0,0.9444444444444444,0.05555555555555558,0.029100426431619586,0.0625,Medium,49,5.0,0.0,0,,,0.05820085286323917,False,0.125,False,hgsvc2_hifi
SpecLong vs HLA*LA,Class I Pseudogenes,20,1.0,0.875,0.125,0.05474272562880157,0.125,Large,16,4.0,0.0,0,,,0.09123787604800263,False,0.20833333333333334,False,hgsvc2_hifi
SpecLong vs HLA*LA,Class II Genes,57,0.9736842105263158,0.8245614035087719,0.14912280701754388,0.0002491020343956195,0.000244140625,Large,41,13.0,0.0,3,,,0.0006227550859890487,True,0.0008138020833333334,True,hgsvc2_hifi
SpecLong vs HLA*LA,All Genes,131,0.9885496183206107,0.8816793893129771,0.10687022900763365,3.525419045530656e-07,4.76837158203125e-07,Large,106,22.0,0.0,3,,,3.5254190455306557e-06,True,4.76837158203125e-06,True,hgsvc2_hifi
SpecLong vs SpecHLA,Class I Genes,27,1.0,,0.01851851851851849,1.0,1.0,Negligible,26,1.0,,0,0.9814814814814815,0.0,1.0,False,1.0,False,hgsvc2_hifi
SpecLong vs SpecHLA,Class II Genes,44,0.9772727272727273,,0.18181818181818188,0.0001850326541400891,0.00048828125,Large,30,12.0,,2,0.7954545454545454,0.0,0.000616775513800297,True,0.001220703125,True,hgsvc2_hifi
SpecLong vs SpecHLA,All Genes,71,0.9859154929577465,,0.11971830985915499,0.00013126309066774426,0.000244140625,Large,56,13.0,,2,0.8661971830985915,0.0,0.000616775513800297,True,0.0008138020833333334,True,hgsvc2_hifi
HLA*LA vs SpecHLA,Class I Genes,27,,0.8888888888888888,-0.09259259259259267,0.11273931585155614,0.21875,Medium,21,,1.0,0,0.9814814814814815,5.0,0.16105616550222307,False,0.3125,False,hgsvc2_hifi
HLA*LA vs SpecHLA,Class II Genes,44,,0.7840909090909091,-0.011363636363636354,1.0,1.0,Negligible,20,,9.0,5,0.7954545454545454,10.0,1.0,False,1.0,False,hgsvc2_hifi
HLA*LA vs SpecHLA,All Genes,71,,0.823943661971831,-0.04225352112676051,0.4124688075225598,0.42435622215270996,Small,41,,10.0,5,0.8661971830985915,15.0,0.5155860094031998,False,0.5304452776908875,False,hgsvc2_hifi
SpecLong vs HLA*LA,Class I Genes,270,0.9981481481481481,0.9407407407407408,0.05740740740740735,5.073961073268913e-09,5.774199962615967e-08,Medium,240,29.0,1.0,0,,,1.0147922146537826e-08,True,1.1548399925231934e-07,True,hprc_hifi
