sample,gene,truth_1,truth_2,infer_1,infer_2
NA18506,TRAV1-1,02,02,TRAV1-1*02,TRAV1-1*02
NA18506,TRAV1-2,01,01,TRAV1-2*01,TRAV1-2*01
NA18506,TRAV2,01,01,TRAV2*01,TRAV2*01
NA18506,TRAV3,01,01,TRAV3*01,TRAV3*01
NA18506,TRAV4,01,N_146,TRAV4*01,TRAV4*01
NA18506,TRAV5,01,01,TRAV5*01,TRAV5*01
NA18506,TRAV6,02,02,TRAV6*02,TRAV6*02
NA18506,TRAV7,01,01,TRAV7*01,TRAV7*01
NA18506,TRAV8-1,01,01,TRAV8-1*01,TRAV8-1*01
NA18506,TRAV9-1,01,01,TRAV9-1*01,TRAV9-1*01
NA18506,TRAV10,01,01,TRAV10*01,TRAV10*01
NA18506,TRAV12-1,01,01,TRAV12-1*01,TRAV12-1*01
NA18506,TRAV8-2,01,01,TRAV8-2*01,TRAV8-2*01
NA18506,TRAV8-3,01,02,TRAV8-3*02,TRAV8-3*01
NA18506,TRAV13-1,02,02,TRAV13-1*02,TRAV13-1*02
NA18506,TRAV12-2,01,02,TRAV12-2*01,TRAV12-2*02
NA18506,TRAV8-4,01,N_83,TRAV8-4*01,TRAV8-4*03
NA18506,TRAV13-2,N_150,N_85,TRAV13-2*01,TRAV13-2*01
NA18506,TRAV9-2,01,02,TRAV9-2*02,TRAV9-2*01
NA18506,TRAV12-3,01,01,TRAV12-3*01,TRAV12-3*01
NA18506,TRAV8-6,02,02,TRAV8-6*02,TRAV8-6*02
NA18506,TRAV16,01,01,TRAV16*01,TRAV16*01
NA18506,TRAV17,01,01,TRAV17*01,TRAV17*01
NA18506,TRAV18,01,01,TRAV18*01,TRAV18*01
NA18506,TRAV19,01,01,TRAV19*01,TRAV19*01
NA18506,TRAV20,02,02,TRAV20*02,TRAV20*02
NA18506,TRAV21,01,01,TRAV21*01,TRAV21*01
NA18506,TRAV22,01,01,TRAV22*01,TRAV22*01
NA18506,TRAV24,01,01,TRAV24*01,TRAV24*01
