gene,correct,total,accuracy,class,subclass,cutoff
TRAV1-1,18,18,1.0,TRA,TRAV,0
TRAV1-2,18,18,1.0,TRA,TRAV,0
TRAV2,18,18,1.0,TRA,TRAV,0
TRAV3,18,18,1.0,TRA,TRAV,0
TRAV4,18,18,1.0,TRA,TRAV,0
TRAV5,18,18,1.0,TRA,TRAV,0
TRAV6,17,18,0.944,TRA,TRAV,0
TRAV7,18,18,1.0,TRA,TRAV,0
TRAV8-1,18,18,1.0,TRA,TRAV,0
TRAV9-1,18,18,1.0,TRA,TRAV,0
TRAV10,18,18,1.0,TRA,TRAV,0
TRAV11,18,18,1.0,TRA,TRAV,0
TRAV12-1,18,18,1.0,TRA,TRAV,0
TRAV8-2,18,18,1.0,TRA,TRAV,0
TRAV8-3,18,18,1.0,TRA,TRAV,0
TRAV13-1,18,18,1.0,TRA,TRAV,0
TRAV12-2,18,18,1.0,TRA,TRAV,0
TRAV8-4,18,18,1.0,TRA,TRAV,0
TRAV13-2,18,18,1.0,TRA,TRAV,0
TRAV9-2,18,18,1.0,TRA,TRAV,0
TRAV12-3,18,18,1.0,TRA,TRAV,0
TRAV8-6,18,18,1.0,TRA,TRAV,0
TRAV16,18,18,1.0,TRA,TRAV,0
TRAV17,18,18,1.0,TRA,TRAV,0
TRAV18,18,18,1.0,TRA,TRAV,0
TRAV19,16,16,1.0,TRA,TRAV,0
TRAV20,18,18,1.0,TRA,TRAV,0
TRAV21,18,18,1.0,TRA,TRAV,0
TRAV22,18,18,1.0,TRA,TRAV,0
TRDV1,18,18,1.0,TRD,TRDV,0
TRAV24,18,18,1.0,TRA,TRAV,0
TRAV25,16,16,1.0,TRA,TRAV,0
TRAV26-1,18,18,1.0,TRA,TRAV,0
TRAV8-7,18,18,1.0,TRA,TRAV,0
TRAV27,18,18,1.0,TRA,TRAV,0
TRAV30,18,18,1.0,TRA,TRAV,0
TRAV26-2,18,18,1.0,TRA,TRAV,0
TRAV34,18,18,1.0,TRA,TRAV,0
TRAV35,18,18,1.0,TRA,TRAV,0
TRAV38-1,18,18,1.0,TRA,TRAV,0
TRAV39,18,18,1.0,TRA,TRAV,0
TRAV40,18,18,1.0,TRA,TRAV,0
TRAV41,18,18,1.0,TRA,TRAV,0
TRDV2,18,18,1.0,TRD,TRDV,0
TRDV3,18,18,1.0,TRD,TRDV,0
TRDJ1,18,18,1.0,TRD,TRDJ,0
TRDJ4,12,12,1.0,TRD,TRDJ,0
TRDJ2,18,18,1.0,TRD,TRDJ,0
TRDJ3,18,18,1.0,TRD,TRDJ,0
TRAJ61,18,18,1.0,TRA,TRAJ,0
TRAJ60,18,18,1.0,TRA,TRAJ,0
TRAJ59,18,18,1.0,TRA,TRAJ,0
TRAJ58,18,18,1.0,TRA,TRAJ,0
TRAJ57,12,12,1.0,TRA,TRAJ,0
TRAJ56,18,18,1.0,TRA,TRAJ,0
TRAJ55,18,18,1.0,TRA,TRAJ,0
TRAJ54,18,18,1.0,TRA,TRAJ,0
TRAJ53,12,12,1.0,TRA,TRAJ,0
