gene,correct,total,accuracy,class,subclass,cutoff
TRAV1-1,90,90,1.0,TRA,TRAV,0
TRAV1-2,90,90,1.0,TRA,TRAV,0
TRAV2,90,90,1.0,TRA,TRAV,0
TRAV3,90,90,1.0,TRA,TRAV,0
TRAV4,90,90,1.0,TRA,TRAV,0
TRAV5,90,90,1.0,TRA,TRAV,0
TRAV6,76,90,0.844,TRA,TRAV,0
TRAV7,90,90,1.0,TRA,TRAV,0
TRAV8-1,90,90,1.0,TRA,TRAV,0
TRAV9-1,90,90,1.0,TRA,TRAV,0
TRAV10,90,90,1.0,TRA,TRAV,0
TRAV11,90,90,1.0,TRA,TRAV,0
TRAV12-1,90,90,1.0,TRA,TRAV,0
TRAV8-2,90,90,1.0,TRA,TRAV,0
TRAV8-3,90,90,1.0,TRA,TRAV,0
TRAV13-1,90,90,1.0,TRA,TRAV,0
TRAV12-2,90,90,1.0,TRA,TRAV,0
TRAV8-4,90,90,1.0,TRA,TRAV,0
TRAV13-2,90,90,1.0,TRA,TRAV,0
TRAV9-2,90,90,1.0,TRA,TRAV,0
TRAV12-3,90,90,1.0,TRA,TRAV,0
TRAV8-6,90,90,1.0,TRA,TRAV,0
TRAV16,90,90,1.0,TRA,TRAV,0
TRAV17,90,90,1.0,TRA,TRAV,0
TRAV18,90,90,1.0,TRA,TRAV,0
TRAV19,80,80,1.0,TRA,TRAV,0
TRAV20,90,90,1.0,TRA,TRAV,0
TRAV21,90,90,1.0,TRA,TRAV,0
TRAV22,90,90,1.0,TRA,TRAV,0
TRDV1,90,90,1.0,TRD,TRDV,0
TRAV24,90,90,1.0,TRA,TRAV,0
TRAV25,90,90,1.0,TRA,TRAV,0
TRAV26-1,90,90,1.0,TRA,TRAV,0
TRAV8-7,90,90,1.0,TRA,TRAV,0
TRAV27,90,90,1.0,TRA,TRAV,0
TRAV30,90,90,1.0,TRA,TRAV,0
TRAV26-2,90,90,1.0,TRA,TRAV,0
TRAV34,90,90,1.0,TRA,TRAV,0
TRAV35,90,90,1.0,TRA,TRAV,0
TRAV38-1,90,90,1.0,TRA,TRAV,0
TRAV39,90,90,1.0,TRA,TRAV,0
TRAV40,90,90,1.0,TRA,TRAV,0
TRAV41,90,90,1.0,TRA,TRAV,0
TRDV2,90,90,1.0,TRD,TRDV,0
TRDV3,90,90,1.0,TRD,TRDV,0
TRDJ1,90,90,1.0,TRD,TRDJ,0
TRDJ4,44,44,1.0,TRD,TRDJ,0
TRDJ2,88,88,1.0,TRD,TRDJ,0
TRDJ3,84,84,1.0,TRD,TRDJ,0
TRAJ61,90,90,1.0,TRA,TRAJ,0
TRAJ60,90,90,1.0,TRA,TRAJ,0
TRAJ59,90,90,1.0,TRA,TRAJ,0
TRAJ58,90,90,1.0,TRA,TRAJ,0
TRAJ57,80,80,1.0,TRA,TRAJ,0
TRAJ56,90,90,1.0,TRA,TRAJ,0
TRAJ55,90,90,1.0,TRA,TRAJ,0
TRAJ54,84,84,1.0,TRA,TRAJ,0
TRAJ53,88,88,1.0,TRA,TRAJ,0
TRAJ52,84,84,1.0,TRA,TRAJ,0
TRAJ51,90,90,1.0,TRA,TRAJ,0
TRAJ50,90,90,1.0,TRA,TRAJ,0
TRAJ49,90,90,1.0,TRA,TRAJ,0
TRAJ48,90,90,1.0,TRA,TRAJ,0
TRAJ47,86,86,1.0,TRA,TRAJ,0
TRAJ46,90,90,1.0,TRA,TRAJ,0
TRAJ45,90,90,1.0,TRA,TRAJ,0
TRAJ44,82,82,1.0,TRA,TRAJ,0
TRAJ43,90,90,1.0,TRA,TRAJ,0
TRAJ42,90,90,1.0,TRA,TRAJ,0
TRAJ41,84,84,1.0,TRA,TRAJ,0
TRAJ40,90,90,1.0,TRA,TRAJ,0
TRAJ39,90,90,1.0,TRA,TRAJ,0
TRAJ38,80,80,1.0,TRA,TRAJ,0
TRAJ37,90,90,1.0,TRA,TRAJ,0
TRAJ36,88,88,1.0,TRA,TRAJ,0
TRAJ35,90,90,1.0,TRA,TRAJ,0
TRAJ34,90,90,1.0,TRA,TRAJ,0
TRAJ33,90,90,1.0,TRA,TRAJ,0
TRAJ32,89,90,0.989,TRA,TRAJ,0
TRAJ31,90,90,1.0,TRA,TRAJ,0
TRAJ30,90,90,1.0,TRA,TRAJ,0
TRAJ29,90,90,1.0,TRA,TRAJ,0
TRAJ28,90,90,1.0,TRA,TRAJ,0
TRAJ27,90,90,1.0,TRA,TRAJ,0
TRAJ26,90,90,1.0,TRA,TRAJ,0
TRAJ25,90,90,1.0,TRA,TRAJ,0
TRAJ24,90,90,1.0,TRA,TRAJ,0
TRAJ23,90,90,1.0,TRA,TRAJ,0
TRAJ22,90,90,1.0,TRA,TRAJ,0
TRAJ21,90,90,1.0,TRA,TRAJ,0
TRAJ20,90,90,1.0,TRA,TRAJ,0
TRAJ19,84,84,1.0,TRA,TRAJ,0
TRAJ18,88,88,1.0,TRA,TRAJ,0
TRAJ17,82,82,1.0,TRA,TRAJ,0
TRAJ16,89,90,0.989,TRA,TRAJ,0
TRAJ14,90,90,1.0,TRA,TRAJ,0
TRAJ13,90,90,1.0,TRA,TRAJ,0
TRAJ12,90,90,1.0,TRA,TRAJ,0
TRAJ11,90,90,1.0,TRA,TRAJ,0
TRAJ10,90,90,1.0,TRA,TRAJ,0
TRAJ9,90,90,1.0,TRA,TRAJ,0
TRAJ8,90,90,1.0,TRA,TRAJ,0
TRAJ7,90,90,1.0,TRA,TRAJ,0
TRAJ6,90,90,1.0,TRA,TRAJ,0
TRAJ5,88,88,1.0,TRA,TRAJ,0
TRAJ4,88,88,1.0,TRA,TRAJ,0
TRAJ3,82,82,1.0,TRA,TRAJ,0
TRAJ2,90,90,1.0,TRA,TRAJ,0
TRAJ1,70,70,1.0,TRA,TRAJ,0
TRGJ2,90,90,1.0,TRG,TRGJ,0
TRGJP2,82,82,1.0,TRG,TRGJ,0
TRGJ1,90,90,1.0,TRG,TRGJ,0
TRGJP,74,74,1.0,TRG,TRGJ,0
TRGJP1,90,90,1.0,TRG,TRGJ,0
TRGV11,88,88,1.0,TRG,TRGV,0
TRGV10,90,90,1.0,TRG,TRGV,0
TRGV9,90,90,1.0,TRG,TRGV,0
TRGVA,44,44,1.0,TRG,TRGV,0
TRGV8,90,90,1.0,TRG,TRGV,0
TRGV5P,88,88,1.0,TRG,TRGV,0
TRGV5,54,54,1.0,TRG,TRGV,0
TRGV4,30,30,1.0,TRG,TRGV,0
TRGV3,90,90,1.0,TRG,TRGV,0
TRGV2,90,90,1.0,TRG,TRGV,0
TRGV1,90,90,1.0,TRG,TRGV,0
TRBV1,90,90,1.0,TRB,TRBV,0
TRBV2,90,90,1.0,TRB,TRBV,0
TRBV3-1,90,90,1.0,TRB,TRBV,0
TRBV4-1,90,90,1.0,TRB,TRBV,0
TRBV5-1,90,90,1.0,TRB,TRBV,0
TRBV6-1,90,90,1.0,TRB,TRBV,0
TRBV7-1,90,90,1.0,TRB,TRBV,0
