chain,correct,total,class,accuracy,cutoff
TRA,9052,9068,TRA,0.9982355535950596,0
TRD,576,576,TRD,1.0,0
TRG,1270,1270,TRG,1.0,0
TRB,5933,5936,TRB,0.9994946091644205,0
IGH,4376,4712,IGH,0.9286926994906621,0
IGK,3611,3772,IGK,0.9573170731707317,0
IGL,4115,4170,IGL,0.986810551558753,0
TRA,9052,9068,TRA,0.9982355535950596,5
TRD,576,576,TRD,1.0,5
TRG,1270,1270,TRG,1.0,5
TRB,5933,5936,TRB,0.9994946091644205,5
IGH,4300,4456,IGH,0.9649910233393177,5
IGK,3584,3654,IGK,0.9808429118773946,5
IGL,4105,4114,IGL,0.9978123480797277,5
TRA,9052,9068,TRA,0.9982355535950596,10
TRD,576,576,TRD,1.0,10
TRG,1270,1270,TRG,1.0,10
TRB,5931,5934,TRB,0.9994944388270981,10
IGH,3583,3674,IGH,0.9752313554708765,10
IGK,3428,3486,IGK,0.9833620195065979,10
IGL,4036,4044,IGL,0.9980217606330366,10
TRA,9042,9058,TRA,0.9982336056524619,15
TRD,576,576,TRD,1.0,15
TRG,1268,1268,TRG,1.0,15
TRB,5919,5922,TRB,0.9994934143870314,15
IGH,2529,2586,IGH,0.9779582366589327,15
IGK,3109,3156,IGK,0.9851077313054499,15
IGL,3787,3794,IGL,0.9981549815498155,15
TRA,9032,9048,TRA,0.9982316534040672,20
TRD,576,576,TRD,1.0,20
TRG,1252,1252,TRG,1.0,20
TRB,5897,5900,TRB,0.9994915254237288,20
IGH,1455,1488,IGH,0.9778225806451613,20
IGK,2727,2764,IGK,0.9866136034732272,20
IGL,3517,3524,IGL,0.9980136208853575,20
