chain,correct,total,class,accuracy,cutoff
TRA,3796,3802,TRA,0.9984218832193582,0
TRD,248,248,TRD,1.0,0
TRG,548,548,TRG,1.0,0
TRB,2533,2540,TRB,0.997244094488189,0
IGH,1734,1830,IGH,0.9475409836065574,0
IGK,768,824,IGK,0.9320388349514563,0
IGL,1825,1830,IGL,0.9972677595628415,0
TRA,3796,3802,TRA,0.9984218832193582,5
TRD,248,248,TRD,1.0,5
TRG,548,548,TRG,1.0,5
TRB,2533,2540,TRB,0.997244094488189,5
IGH,1730,1816,IGH,0.9526431718061674,5
IGK,762,798,IGK,0.9548872180451128,5
IGL,1819,1820,IGL,0.9994505494505495,5
TRA,3796,3802,TRA,0.9984218832193582,10
TRD,248,248,TRD,1.0,10
TRG,548,548,TRG,1.0,10
TRB,2533,2540,TRB,0.997244094488189,10
IGH,1667,1746,IGH,0.95475372279496,10
IGK,757,792,IGK,0.9558080808080808,10
IGL,1813,1814,IGL,0.9994487320837927,10
TRA,3796,3802,TRA,0.9984218832193582,15
TRD,248,248,TRD,1.0,15
TRG,548,548,TRG,1.0,15
TRB,2533,2540,TRB,0.997244094488189,15
IGH,1573,1640,IGH,0.9591463414634146,15
IGK,745,780,IGK,0.9551282051282052,15
IGL,1803,1804,IGL,0.9994456762749445,15
TRA,3796,3802,TRA,0.9984218832193582,20
TRD,248,248,TRD,1.0,20
TRG,548,548,TRG,1.0,20
TRB,2533,2540,TRB,0.997244094488189,20
IGH,1415,1468,IGH,0.9638964577656676,20
IGK,720,752,IGK,0.9574468085106383,20
IGL,1785,1786,IGL,0.9994400895856663,20
