gene,chr,start,end,strand,family
HLA-A,chr6,29941260,29949572,+,HLA
HLA-B,chr6,31353872,31367067,-,HLA
HLA-C,chr6,31268749,31272130,-,HLA
HLA-DMA,chr6,32948613,32969094,-,HLA
HLA-DMB,chr6,32934629,32941028,-,HLA
HLA-DOA,chr6,33004182,33009591,-,HLA
HLA-DOB,chr6,32812763,32820466,-,HLA
HLA-DPA1,chr6,33064569,33080775,-,HLA
HLA-DPB1,chr6,33075936,33089696,+,HLA
HLA-DPB2,chr6,33112516,33129084,+,HLA
HLA-DQA1,chr6,32628179,32647062,+,HLA
HLA-DQB1,chr6,32659467,32668383,-,HLA
HLA-DRA,chr6,32439878,32445046,+,HLA
HLA-DRB1,chr6,32577902,32589848,-,HLA
HLA-DRB3,-,-,-,-,HLA
HLA-DRB4,-,-,-,-,HLA
HLA-DRB5,chr6,32517353,32530287,-,HLA
HLA-E,chr6,30489509,30494194,+,HLA
HLA-F,chr6,29722775,29738528,+,HLA
HLA-G,chr6,29826967,29831125,+,HLA
HLA-H,chr6,29887752,29890482,+,HLA
HLA-J,chr6,30006606,30009539,+,HLA
HLA-K,chr6,29926459,29929232,+,HLA
HLA-L,chr6,30259625,30261703,+,HLA
HLA-P,chr6,29800415,29802425,+,HLA
HLA-V,chr6,29792234,29793136,+,HLA
HLA-DQA2,chr6,32741391,32747198,+,HLA
HLA-DPA2,chr6,33091753,33097295,-,HLA
HLA-N,chr6,30351416,30351550,+,HLA
HLA-S,chr6,31382074,31382288,-,HLA
HLA-T,chr6,29896654,29897786,+,HLA
HLA-U,chr6,29934101,29934286,+,HLA
HLA-W,chr6,29956596,29958570,+,HLA
MICA,chr6,31399784,31415315,+,HLA
MICB,chr6,31494881,31511124,+,HLA
TAP1,chr6,32845209,32853816,-,HLA
TAP2,chr6,32821833,32838739,-,HLA
KIR2DL1,chr19,54769793,54784322,+,KIR
KIR2DL2,-,-,-,-,KIR
KIR2DL3,chr19,54738513,54753052,+,KIR
KIR2DL4,chr19,54803610,54814517,+,KIR
KIR2DL5A,-,-,-,-,KIR
KIR2DL5B,-,-,-,-,KIR
KIR2DP1,chr19,54755023,54767371,+,KIR
KIR2DS1,-,-,-,-,KIR
KIR2DS2,-,-,-,-,KIR
KIR2DS3,-,-,-,-,KIR
KIR2DS4,chr19,54832676,54848569,+,KIR
KIR2DS5,-,-,-,-,KIR
KIR3DL1,chr19,54816468,54830778,+,KIR
KIR3DL2,chr19,54850443,54867207,+,KIR
KIR3DL3,chr19,54724442,54736632,+,KIR
KIR3DP1,chr19,54786355,54790318,+,KIR
KIR3DS1,-,-,-,-,KIR
CYP2A13,chr19,41088451,41096195,+,CYP
CYP2A6,chr19,40843541,40850447,-,CYP
CYP2B6,chr19,40991282,41018398,+,CYP
CYP2C19,chr10,94762681,94855547,+,CYP
